Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
engine::TT::probe,17.713820,17.713820,0.0,0.0,69.8,69.8,1.5,0.0,62.5,12.5,69.4,0.1,0.5,7.6,0.1,0.0,0.0,0.0,0.0,,,21312420000,4.269815,5137236314.093142
engine::TT::put,17.158857,17.158857,0.0,0.0,64.0,64.0,0.0,1.3,73.3,0.1,54.4,0.2,0.9,6.5,0.0,0.0,0.2,0.0,100.0,AVX(128),,18811595000,4.793345,5255039105.211538
chess::Attacks::`anonymous namespace'::sliderLookup,5.686621,5.686621,0.0,0.0,10.3,10.3,6.8,0.3,3.1,1.7,11.0,3.7,5.8,1.3,0.1,0.0,0.0,0.0,0.0,,,82290620000,0.362498,5245680837.066995
engine::Search::stopConditions,5.077662,5.077662,0.0,0.0,26.5,26.5,0.0,0.0,31.1,7.1,37.4,0.2,0.7,0.7,0.0,0.0,0.0,0.0,0.0,,,20342040000,1.256625,5034270903.337929
chess::Attacks::attacks,4.197720,4.197720,0.0,0.0,18.8,18.8,5.6,0.0,6.0,0.5,10.0,0.7,1.0,2.2,0.1,0.0,0.1,0.0,100.0,,,59295010000,0.365795,5167040187.370176
"std::_Atomic_storage<unsigned __int64,8>::store",2.462836,2.462836,0.0,0.0,86.2,86.2,60.1,2.3,28.5,0.0,53.9,39.0,1.3,30.8,0.0,0.0,0.0,0.0,0.0,,,2953070000,4.259635,5107526535.931790
"std::_Atomic_storage<unsigned __int64,8>::load",2.280848,2.280848,0.0,0.0,67.7,67.7,0.0,1.0,9.3,69.7,61.9,0.0,1.8,40.6,0.8,0.0,0.0,0.0,0.0,,,2375035000,5.055485,5264250221.573872
engine::PawnTT::probe,2.241851,2.241851,0.0,0.0,28.2,28.2,0.0,0.0,37.1,0.7,55.0,0.6,0.8,1.4,0.1,0.0,3.4,0.0,100.0,,,7837915000,1.497134,5234251383.505798
engine::PawnTT::prefetch,2.131858,2.131858,0.0,0.0,49.2,49.2,2.6,0.0,36.7,19.2,65.8,17.3,2.1,2.1,0.0,0.0,0.0,0.0,0.0,,,1105155000,9.886179,5124994249.305817
[Loop at line 1564 in engine::Search::search],1.449903,1.449903,0.0,0.0,8.2,8.2,7.0,1.3,2.8,0.6,11.9,5.7,1.7,3.2,0.1,0.0,0.0,0.0,0.0,,,18530065000,0.401487,5131086574.593103
