Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
engine::TT::probe,27.013201,64.5,0.0,0.0,63.5,6.9,0.2,70.7,0.9,0.2,4.4,0.0,4406532192,3850415509,2200924,frankycpp_v1.5.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14024abd0
engine::TT::put,25.866277,64.7,2.8,0.2,69.2,0.0,0.5,45.3,1.1,0.3,5.1,0.0,6741902251,4253227593,0,frankycpp_v1.5.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14024a990
engine::TT::prefetch,8.581428,62.9,1.9,0.0,69.6,0.2,0.4,70.3,0.9,0.5,3.1,0.0,3937718128,1403942117,0,frankycpp_v1.5.exe,engine::TT::prefetch,TT.h,0x14020c771
engine::TT::prefetch,8.111460,64.2,3.0,0.7,70.5,0.1,0.4,86.9,1.1,0.7,3.2,0.0,3732011957,1298838964,0,frankycpp_v1.5.exe,engine::TT::prefetch,TT.h,0x14020baf6
chess::Attacks::`anonymous namespace'::sliderLookup,5.936605,9.7,7.3,1.1,1.9,2.7,5.1,13.2,6.8,0.2,0.0,0.0,22125563747,12701181024,0,frankycpp_v1.5.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x1401694e0
"std::_Atomic_storage<unsigned __int64,8>::store",5.287648,86.9,62.5,1.7,22.8,0.1,0.2,67.1,51.0,0.0,0.3,0.0,544416332,401612048,0,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024ab93
engine::Search::stopConditions,4.851677,22.1,0.0,1.7,33.7,6.4,1.7,38.3,1.6,0.2,0.1,0.0,6906607192,4678540352,0,frankycpp_v1.5.exe,engine::Search::stopConditions(void),Search.cpp,0x14020edf0
chess::Attacks::attacks,4.091727,18.0,6.2,0.7,5.2,0.5,13.7,11.1,1.0,0.2,0.3,0.0,16689000655,9181775445,0,frankycpp_v1.5.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x140169540
"std::_Atomic_storage<unsigned __int64,8>::load",3.206786,77.6,10.1,0.4,19.2,55.7,0.1,65.0,5.9,0.9,14.8,0.0,1903957117,1474444232,0,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14024ac03
engine::Search::search,2.082861,24.0,14.0,0.7,7.4,0.6,8.7,27.7,17.8,0.0,0.3,0.0,6613098387,2764982947,550231,frankycpp_v1.5.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14020a770
engine::Search::qsearch,1.882875,37.1,16.5,3.9,14.3,1.4,7.0,44.8,35.7,0.0,0.6,0.0,4055221653,2153164593,0,frankycpp_v1.5.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x14020c1a0
