Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
engine::TT::put,17.611828,17.611828,0.0,0.0,20662505000,4.3,4.3,4.495869,frankycpp_v1.5.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14024a990
engine::TT::probe,17.298849,17.298849,0.0,0.0,21240540000,4.4,4.4,4.250564,frankycpp_v1.5.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14024abd0
chess::Attacks::`anonymous namespace'::sliderLookup,6.053597,6.053597,0.0,0.0,85941525000,47.6,47.6,0.361248,frankycpp_v1.5.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x1401694e0
engine::Search::stopConditions,5.886608,5.886608,0.0,0.0,23762330000,15.5,15.5,1.284724,frankycpp_v1.5.exe,engine::Search::stopConditions(void),Search.cpp,0x14020edf0
chess::Attacks::attacks,4.279715,4.279715,0.0,0.0,62535600000,48.6,48.6,0.343774,frankycpp_v1.5.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x140169540
"std::_Atomic_storage<unsigned __int64,8>::load",2.867809,2.867809,0.0,0.0,1722125000,2.3,2.3,8.622609,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14024ac03
"std::_Atomic_storage<unsigned __int64,8>::store",2.854810,2.854810,0.0,0.0,2932105000,3.7,3.7,5.170582,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024ab93
engine::Search::search,1.945871,1.945871,0.0,0.0,24337370000,42.4,42.4,0.417302,frankycpp_v1.5.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14020a770
engine::PawnTT::probe,1.890874,1.890874,0.0,0.0,8164370000,16.0,16.0,1.222304,frankycpp_v1.5.exe,engine::PawnTT::probe(unsigned __int64),PawnTT.cpp,0x140246e70
engine::Search::qsearch,1.807880,1.807880,0.0,0.0,15322420000,28.6,28.6,0.586787,frankycpp_v1.5.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x14020c1a0
engine::Evaluator::pieceEval,1.426905,1.426905,0.0,0.0,14606615000,32.8,32.8,0.503998,frankycpp_v1.5.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x140248ec0
engine::Search::thread,1.400907,1.400907,0.0,0.0,9829590000,26.2,26.2,0.695003,frankycpp_v1.5.exe,engine::Search::thread,Search.h,0x14020c783
chess::MoveGenerator::updateSortValues,1.333911,1.333911,0.0,0.0,15879490000,37.8,37.8,0.449642,frankycpp_v1.5.exe,"chess::MoveGenerator::updateSortValues(class chess::Position const &,class chess::StaticMoveList<256> *)",MoveGenerator.cpp,0x140242770
"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",1.317912,1.317912,0.0,0.0,11791315000,28.6,28.6,0.562611,frankycpp_v1.5.exe,"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x14021b100
"std::_Atomic_storage<unsigned __int64,8>::store",1.238918,1.238918,0.0,0.0,2258230000,5.8,5.8,2.728117,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024aa78
chess::Position::givesCheck,1.169922,1.169922,0.0,0.0,16586310000,48.3,48.3,0.350307,frankycpp_v1.5.exe,chess::Position::givesCheck(class chess::Move),Position.cpp,0x14023bd10
chess::MoveGenerator::fillOnDemandMoveList,1.168922,1.168922,0.0,0.0,13815935000,40.1,40.1,0.431823,frankycpp_v1.5.exe,"chess::MoveGenerator::fillOnDemandMoveList(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140242420
chess::MoveGenerator::getNextPseudoLegalMove,1.168922,1.168922,0.0,0.0,15579990000,43.5,43.5,0.384660,frankycpp_v1.5.exe,"chess::MoveGenerator::getNextPseudoLegalMove(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x1402406f0
chess::MoveGenerator::generateMoves,1.138924,1.138924,0.0,0.0,14091475000,42.9,42.9,0.401275,frankycpp_v1.5.exe,"chess::MoveGenerator::generateMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x1402433d0
engine::Search::thread,1.129925,1.129925,0.0,0.0,9841570000,29.9,29.9,0.600426,frankycpp_v1.5.exe,engine::Search::thread,Search.h,0x14020bb0c
chess::Position::removePiece,1.123925,1.123925,0.0,0.0,10482500000,33.8,33.8,0.493143,frankycpp_v1.5.exe,chess::Position::removePiece(class chess::Square),Position.cpp,0x14023cf20
chess::Position::doMove,1.053930,1.053930,0.0,0.0,11351050000,39.2,39.2,0.455409,frankycpp_v1.5.exe,chess::Position::doMove(class chess::Move),Position.cpp,0x14023b180
engine::Evaluator::kingEval,1.053930,1.053930,0.0,0.0,16211935000,49.3,49.3,0.313320,frankycpp_v1.5.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x140249710
engine::Evaluator::evaluate,0.893941,0.893941,0.0,0.0,11953045000,44.2,44.2,0.390378,frankycpp_v1.5.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x1402487a0
engine::Evaluator::rookEval,0.803946,0.803946,0.0,0.0,11042565000,44.7,44.7,0.382425,frankycpp_v1.5.exe,engine::Evaluator::rookEval,Evaluator.cpp,0x140249068
chess::Position::putPiece,0.740951,0.740951,0.0,0.0,8538745000,41.9,41.9,0.452122,frankycpp_v1.5.exe,"chess::Position::putPiece(enum chess::Piece,class chess::Square)",Position.cpp,0x14023ce10
chess::MoveGenerator::generatePawnMoves,0.733951,0.733951,0.0,0.0,6990330000,32.9,32.9,0.530848,frankycpp_v1.5.exe,"chess::MoveGenerator::generatePawnMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x1402429a0
chess::Position::isAttacked,0.732951,0.732951,0.0,0.0,9200640000,47.7,47.7,0.372721,frankycpp_v1.5.exe,"chess::Position::isAttacked(class chess::Square,class chess::Color)",Position.cpp,0x14023b9e0
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.597960,0.597960,0.0,0.0,9362370000,49.7,49.7,0.325336,frankycpp_v1.5.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140244e80
engine::See::see,0.575962,0.575962,0.0,0.0,8964035000,53.1,53.1,0.326094,frankycpp_v1.5.exe,"engine::See::see(class chess::Position const &,class chess::Move)",See.cpp,0x14027b9f0
func@0x1800126c0,0.570962,0.570962,0.0,0.0,2995000,1.0,1.0,1026.000000,vcruntime140.dll,func@0x1800126c0,[Unknown],0x1800126c0
engine::Evaluator::queenEval,0.372975,0.372975,0.0,0.0,6280515000,53.2,53.2,0.316643,frankycpp_v1.5.exe,engine::Evaluator::queenEval,Evaluator.cpp,0x140248f48
"std::ranges::_Sort_fn::_Sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",0.351977,0.351977,0.0,0.0,3153735000,32.5,32.5,0.456790,frankycpp_v1.5.exe,"std::ranges::_Sort_fn::_Sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, __int64, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x140243be0
chess::Position::undoMove,0.344977,0.344977,0.0,0.0,4073200000,41.8,41.8,0.442647,frankycpp_v1.5.exe,chess::Position::undoMove(void),Position.cpp,0x14023b660
engine::Evaluator::bishopEval,0.342977,0.342977,0.0,0.0,5546740000,53.6,53.6,0.328834,frankycpp_v1.5.exe,engine::Evaluator::bishopEval,Evaluator.cpp,0x1402491b8
chess::Position::wasLegalMove,0.320979,0.320979,0.0,0.0,5190335000,52.6,52.6,0.320831,frankycpp_v1.5.exe,chess::Position::wasLegalMove(void),Position.cpp,0x14023bed0
chess::Move::encode,0.304980,0.304980,0.0,0.0,3144750000,42.0,42.0,0.446667,frankycpp_v1.5.exe,chess::Move::encode,move.h,0x140243525
std::_Checked_popcount<unsigned __int64>,0.302980,0.302980,0.0,0.0,4854895000,53.1,53.1,0.320790,frankycpp_v1.5.exe,std::_Checked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140220a90
"std::array<int,64>::operator[]",0.292981,0.292981,0.0,0.0,3758725000,40.9,40.9,0.383267,frankycpp_v1.5.exe,"std::array<int,64>::operator[]",array,0x140242837
engine::See::attacksTo,0.284981,0.284981,0.0,0.0,4660220000,57.8,57.8,0.276350,frankycpp_v1.5.exe,"engine::See::attacksTo(class chess::Position const &,class chess::Square,class chess::Color)",See.cpp,0x14027bd60
chess::moveValueGreaterComparator::operator(),0.280981,0.280981,0.0,0.0,3444250000,34.3,34.3,0.452174,frankycpp_v1.5.exe,chess::moveValueGreaterComparator::operator(),move.h,0x14021b120
engine::Evaluator::knightEval,0.247983,0.247983,0.0,0.0,3177695000,38.3,38.3,0.422243,frankycpp_v1.5.exe,engine::Evaluator::knightEval,Evaluator.cpp,0x140249270
chess::Bitboard::shifted,0.246984,0.246984,0.0,0.0,4007310000,50.6,50.6,0.327354,frankycpp_v1.5.exe,chess::Bitboard::shifted,bitboard.h,0x140242a9d
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.242984,0.242984,0.0,0.0,859565000,10.1,10.1,1.550523,frankycpp_v1.5.exe,"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",xatomic.h,0x1402486e0
chess::Position::hasCheck,0.239984,0.239984,0.0,0.0,1548415000,20.5,20.5,0.866538,frankycpp_v1.5.exe,chess::Position::hasCheck(void),Position.cpp,0x14023bcc0
chess::MoveGenerator::generateKingMoves,0.228985,0.228985,0.0,0.0,2617630000,42.4,42.4,0.434783,frankycpp_v1.5.exe,"chess::MoveGenerator::generateKingMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140243690
"std::_Atomic_storage<unsigned __int64,8>::load",0.216986,0.216986,0.0,0.0,449250000,10.0,10.0,2.413333,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246ea2
engine::See::revealedAttacks,0.211986,0.211986,0.0,0.0,3177695000,57.3,57.3,0.321395,frankycpp_v1.5.exe,"engine::See::revealedAttacks(class chess::Position const &,class chess::Square,class chess::Bitboard,class chess::Color)",See.cpp,0x14027beb0
chess::Bitboard::operator bool,0.208986,0.208986,0.0,0.0,2980025000,42.7,42.7,0.372864,frankycpp_v1.5.exe,chess::Bitboard::operator bool,bitboard.h,0x1402434c4
chess::Move::operator==,0.198987,0.198987,0.0,0.0,2261225000,44.2,44.2,0.411921,frankycpp_v1.5.exe,chess::Move::operator==,PVTable.h,0x1402428a6
chess::Position::getPieceBb,0.198987,0.198987,0.0,0.0,2596665000,40.0,40.0,0.444060,frankycpp_v1.5.exe,chess::Position::getPieceBb,Position.h,0x140248ed2
engine::TT::prefetch,0.191987,0.191987,0.0,0.0,3333435000,57.6,57.6,0.256065,frankycpp_v1.5.exe,engine::TT::prefetch,TT.h,0x14020c771
engine::Evaluator::pawnEval,0.190987,0.190987,0.0,0.0,2686515000,56.7,56.7,0.354515,frankycpp_v1.5.exe,"engine::Evaluator::pawnEval(class chess::Position const &,struct chess::Score &)",Evaluator.cpp,0x140248ae0
"std::array<chess::Bitboard,64>::operator[]",0.184988,0.184988,0.0,0.0,2980025000,50.5,50.5,0.329648,frankycpp_v1.5.exe,"std::array<chess::Bitboard,64>::operator[]",array,0x1401695d0
chess::Position::movePiece,0.183988,0.183988,0.0,0.0,2363055000,43.5,43.5,0.444867,frankycpp_v1.5.exe,"chess::Position::movePiece(class chess::Square,class chess::Square)",Position.cpp,0x14023cde0
std::popcount,0.182988,0.182988,0.0,0.0,1785020000,35.8,35.8,0.411074,frankycpp_v1.5.exe,std::popcount,bit,0x1402490b1
func@0x1400e0a60,0.168989,0.168989,0.0,0.0,2995000,0.6,0.6,251.000000,nvlddmkm.sys,func@0x1400e0a60,[Unknown],0x1400e0a60
"std::array<unsigned __int64,64>::operator[]",0.164989,0.164989,0.0,0.0,2488845000,41.3,41.3,0.341757,frankycpp_v1.5.exe,"std::array<unsigned __int64,64>::operator[]",array,0x14023cf62
chess::Bitboard::operator^=,0.158989,0.158989,0.0,0.0,2306150000,39.0,39.0,0.388312,frankycpp_v1.5.exe,chess::Bitboard::operator^=,bitboard.h,0x14023cf75
chess::makePiece,0.158989,0.158989,0.0,0.0,2659560000,52.8,52.8,0.308559,frankycpp_v1.5.exe,chess::makePiece,piece.h,0x140249799
engine::Search::sendSearchUpdateToUci,0.155990,0.155990,0.0,0.0,440265000,10.9,10.9,2.006803,frankycpp_v1.5.exe,engine::Search::sendSearchUpdateToUci(void),Search.cpp,0x140212d00
chess::Square::{ctor},0.154990,0.154990,0.0,0.0,2303155000,46.2,46.2,0.379714,frankycpp_v1.5.exe,chess::Square::{ctor},square.h,0x14023bd45
std::_Unchecked_popcount<unsigned __int64>,0.141991,0.141991,0.0,0.0,2363055000,47.1,47.1,0.338403,frankycpp_v1.5.exe,std::_Unchecked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140220a80
engine::Search::storeTt,0.137991,0.137991,0.0,0.0,1985685000,42.7,42.7,0.407240,frankycpp_v1.5.exe,"engine::Search::storeTt(class chess::Position const &,enum chess::Depth,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",Search.cpp,0x14020cbb0
chess::Position::getPieceBb,0.135991,0.135991,0.0,0.0,1030280000,22.0,22.0,0.773256,frankycpp_v1.5.exe,chess::Position::getPieceBb,Position.h,0x1402429d1
chess::Bitboard::shifted,0.130991,0.130991,0.0,0.0,1377700000,39.7,39.7,0.478261,frankycpp_v1.5.exe,chess::Bitboard::shifted(class chess::Direction),bitboard.h,0x140244c60
chess::Bitboard::operator|=,0.128991,0.128991,0.0,0.0,1434605000,41.3,41.3,0.463466,frankycpp_v1.5.exe,chess::Bitboard::operator|=,bitboard.h,0x14023ce62
chess::operator<,0.127991,0.127991,0.0,0.0,2228280000,50.7,50.7,0.282258,frankycpp_v1.5.exe,chess::operator<,rank.h,0x140249781
