Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
TT::put,25.776283,25.776283,0.0,0.0,19674155000,3.0,3.0,6.874258,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140246cb0
TT::probe,23.829413,23.829413,0.0,0.0,12962360000,2.2,2.2,9.711414,frankycpp_v1.4.exe,TT::probe(unsigned __int64 const &),TT.cpp,0x140246e30
TT::prefetch,11.015266,11.015266,0.0,0.0,14289145000,4.4,4.4,4.106686,frankycpp_v1.4.exe,TT::prefetch,TT.h,0x14020a501
"std::_Atomic_storage<unsigned __int64,8>::load",10.891275,10.891275,0.0,0.0,8020610000,2.4,2.4,7.340926,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246e4d
TT::prefetch,10.381309,10.381309,0.0,0.0,13438565000,4.4,4.4,4.058837,frankycpp_v1.4.exe,TT::prefetch,TT.h,0x1402098f9
Attacks::`anonymous namespace'::sliderLookup,6.046597,6.046597,0.0,0.0,83311915000,43.3,43.3,0.389870,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
Search::stopConditions,5.331645,5.331645,0.0,0.0,21614915000,15.5,15.5,1.290287,frankycpp_v1.4.exe,Search::stopConditions(void),Search.cpp,0x14020cb70
"std::_Atomic_storage<unsigned __int64,8>::load",5.100660,5.100660,0.0,0.0,182695000,0.7,0.7,149.245902,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246cd3
Attacks::attacks,4.259716,4.259716,0.0,0.0,60741595000,45.2,45.2,0.372072,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
Position::doMove,3.023799,3.023799,0.0,0.0,14645550000,15.3,15.3,1.091820,frankycpp_v1.4.exe,Position::doMove(class Move),Position.cpp,0x140238a60
Search::search,2.583828,2.583828,0.0,0.0,25697100000,32.8,32.8,0.517133,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208620
TT::clear::__l2::<lambda_1>::operator(),2.450837,2.450837,0.0,0.0,3611970000,7.6,7.6,3.162521,frankycpp_v1.4.exe,TT::clear::__l2::<lambda_1>::operator(),TT.cpp,0x140247abc
Search::qsearch,2.272849,2.272849,0.0,0.0,15633900000,22.3,22.3,0.756897,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x140209f80
MoveGenerator::getNextPseudoLegalMove,1.977868,1.977868,0.0,0.0,17326075000,28.2,28.2,0.619188,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023dfb0
Evaluator::pieceEval,1.861876,1.861876,0.0,0.0,16104115000,26.8,26.8,0.605170,frankycpp_v1.4.exe,"Evaluator::pieceEval(class Position const &,struct Score &,class Color,enum PieceType)",Evaluator.cpp,0x140245620
MoveGenerator::updateSortValues,1.612893,1.612893,0.0,0.0,17640550000,33.4,33.4,0.467912,frankycpp_v1.4.exe,"MoveGenerator::updateSortValues(class Position const &,class StaticMoveList<256> *)",MoveGenerator.cpp,0x14023fdf0
MoveGenerator::fillOnDemandMoveList,1.582895,1.582895,0.0,0.0,14546715000,29.2,29.2,0.582252,frankycpp_v1.4.exe,"MoveGenerator::fillOnDemandMoveList(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023f990
Search::thread,1.457903,1.457903,0.0,0.0,245590000,0.8,0.8,31.109756,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020a513
MoveGenerator::generateMoves,1.367909,1.367909,0.0,0.0,14295135000,32.4,32.4,0.503038,frankycpp_v1.4.exe,"MoveGenerator::generateMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240a50
MoveGenerator::generatePawnMoves,1.360909,1.360909,0.0,0.0,8949060000,18.7,18.7,0.834003,frankycpp_v1.4.exe,"MoveGenerator::generatePawnMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240020
Position::givesCheck,1.348910,1.348910,0.0,0.0,17946040000,40.8,40.8,0.398031,frankycpp_v1.4.exe,Position::givesCheck(class Move),Position.cpp,0x1402395f0
Search::thread,1.221919,1.221919,0.0,0.0,233610000,0.9,0.9,27.679487,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020990f
