Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
TT::put,21.169590,67.1,1.7,0.0,71.4,0.1,0.9,46.7,1.0,0.4,4.2,0.0,6437793128,3559106770,0,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140246cb0
TT::probe,19.874676,62.6,0.6,0.0,59.9,8.0,0.2,71.3,1.0,0.3,5.4,0.5,3477804331,2664679938,1100462,frankycpp_v1.4.exe,TT::probe(unsigned __int64 const &),TT.cpp,0x140246e30
"std::_Atomic_storage<unsigned __int64,8>::load",9.650357,75.4,3.2,1.5,53.9,22.4,0.0,68.1,1.8,0.2,6.1,0.0,2205266156,1572447172,0,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246e4d
TT::prefetch,9.235385,69.1,2.9,0.0,71.4,0.1,0.3,67.0,0.4,0.5,3.6,0.0,4147924434,1414142423,0,frankycpp_v1.4.exe,TT::prefetch,TT.h,0x14020a501
TT::prefetch,8.716419,66.9,0.0,1.5,68.9,0.1,0.2,77.4,0.9,0.6,3.3,0.0,3892716778,1352640578,0,frankycpp_v1.4.exe,TT::prefetch,TT.h,0x1402098f9
Attacks::`anonymous namespace'::sliderLookup,6.183588,13.7,8.2,0.5,3.1,2.0,4.7,14.3,5.9,0.3,0.0,0.0,23052891566,12695080841,550231,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
Search::stopConditions,4.914673,29.9,5.0,0.0,31.7,5.8,3.3,41.0,0.5,0.2,0.2,0.0,7245917371,4836745098,0,frankycpp_v1.4.exe,Search::stopConditions(void),Search.cpp,0x14020cb70
"std::_Atomic_storage<unsigned __int64,8>::load",4.342711,55.3,2.2,1.5,58.4,0.0,0.6,42.6,1.9,0.7,9.8,0.0,111203336,11600348,0,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246cd3
Attacks::attacks,4.024732,16.3,6.1,0.6,5.3,0.6,8.9,8.2,1.3,0.2,0.6,0.0,16443893302,9280078394,550231,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
TT::clear::__l2::<lambda_1>::operator(),2.462836,100.0,0.0,0.0,57.3,31.5,5.5,61.3,1.1,0.4,0.6,2.9,931027930,1668850064,2751155,frankycpp_v1.4.exe,TT::clear::__l2::<lambda_1>::operator(),TT.cpp,0x140247abc
Position::doMove,2.432838,64.1,3.3,0.8,1.2,0.3,64.7,11.0,0.0,0.3,0.1,0.0,4065621965,1951458542,0,frankycpp_v1.4.exe,Position::doMove(class Move),Position.cpp,0x140238a60
Search::search,2.355843,29.8,14.1,0.8,8.6,0.3,15.0,34.8,2.8,0.1,0.6,0.0,7215616462,3140194203,0,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208620
Search::qsearch,1.992867,42.1,11.1,0.0,20.8,1.3,14.5,21.8,2.5,0.1,1.7,0.0,4438333146,2150164503,0,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x140209f80
MoveGenerator::getNextPseudoLegalMove,1.810879,37.3,0.0,2.6,4.9,0.7,36.2,28.1,1.3,0.1,0.2,0.0,4806444189,2161864854,0,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023dfb0
Evaluator::pieceEval,1.689887,62.2,1.5,0.4,0.0,0.3,55.1,13.7,1.8,0.1,0.0,0.0,4105423159,2458773761,550231,frankycpp_v1.4.exe,"Evaluator::pieceEval(class Position const &,struct Score &,class Color,enum PieceType)",Evaluator.cpp,0x140245620
MoveGenerator::updateSortValues,1.527898,18.3,7.3,0.0,3.6,4.8,13.9,14.0,4.1,0.9,0.3,0.2,4050321506,1556046680,0,frankycpp_v1.4.exe,"MoveGenerator::updateSortValues(class Position const &,class StaticMoveList<256> *)",MoveGenerator.cpp,0x14023fdf0
MoveGenerator::fillOnDemandMoveList,1.494900,39.5,2.2,1.2,2.3,0.0,31.8,14.4,1.3,0.1,0.1,0.0,3661309836,2565376959,0,frankycpp_v1.4.exe,"MoveGenerator::fillOnDemandMoveList(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023f990
Search::thread,1.441904,74.1,14.3,0.4,64.5,2.4,0.2,82.1,60.2,0.2,3.2,0.0,125503765,10300309,0,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020a513
Search::thread,1.283914,88.9,12.4,6.0,57.6,2.4,3.0,92.8,62.3,0.3,4.0,0.0,105003150,12200366,0,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020990f
Position::givesCheck,1.277915,18.8,5.5,0.2,1.1,0.0,11.9,8.8,2.7,0.1,0.2,0.0,4788043637,2083862514,0,frankycpp_v1.4.exe,Position::givesCheck(class Move),Position.cpp,0x1402395f0
MoveGenerator::generateMoves,1.250917,32.0,9.8,0.0,1.8,0.0,30.9,4.5,3.6,0.1,0.0,0.0,2960088800,2117563525,0,frankycpp_v1.4.exe,"MoveGenerator::generateMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240a50
MoveGenerator::generatePawnMoves,1.191921,81.3,3.1,0.0,1.6,0.0,59.0,8.3,2.0,0.0,0.0,0.0,1803054090,1687750631,0,frankycpp_v1.4.exe,"MoveGenerator::generatePawnMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240020
"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>",1.040931,3.6,9.6,0.6,0.6,0.2,2.8,1.3,1.8,0.0,0.0,0.0,1747852434,765122953,0,frankycpp_v1.4.exe,"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>(class Move *, class Move *, struct moveValueGreaterComparator, struct std::identity)",algorithm,0x140218b90
Position::removePiece,0.963936,46.9,6.7,2.2,8.0,0.0,29.2,14.9,2.3,0.1,0.6,0.0,2357270716,1373941217,0,frankycpp_v1.4.exe,Position::removePiece(class Square),Position.cpp,0x14023a800
Position::putPiece,0.927938,23.5,5.4,3.0,15.8,0.0,11.4,62.4,0.3,0.0,0.0,0.0,2265767971,1640749221,0,frankycpp_v1.4.exe,"Position::putPiece(enum Piece,class Square)",Position.cpp,0x14023a6f0
Evaluator::kingEval,0.920939,0.4,6.4,0.5,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,2934188023,1149334479,0,frankycpp_v1.4.exe,"Evaluator::kingEval(class Position const &,struct Score &,class Color)",Evaluator.cpp,0x140245e70
Evaluator::evaluate,0.875942,34.4,4.1,1.4,1.1,0.5,23.1,31.0,2.3,0.0,0.0,0.0,2376471292,1190935727,0,frankycpp_v1.4.exe,Evaluator::evaluate(class Position const &),Evaluator.cpp,0x140244ee0
See::see,0.842944,43.8,3.6,0.0,0.3,0.0,40.5,3.4,0.0,0.0,0.0,0.0,2497174913,1247537425,0,frankycpp_v1.4.exe,"See::see(class Position const &,class Move)",See.cpp,0x140277340
Evaluator::rookEval,0.754950,1.9,8.6,0.6,0.6,0.0,1.5,4.0,2.5,0.1,0.1,0.0,2568977067,1318439552,0,frankycpp_v1.4.exe,Evaluator::rookEval,Evaluator.cpp,0x1402457c8
Position::isAttacked,0.702953,33.1,3.9,2.8,12.4,1.4,6.4,12.4,1.6,0.1,1.0,0.0,2787183613,1686250586,0,frankycpp_v1.4.exe,"Position::isAttacked(class Square,class Color)",Position.cpp,0x1402392c0
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.640957,23.8,6.6,0.7,1.0,0.0,17.1,2.7,2.7,0.1,0.0,0.0,2267768031,1404542135,0,frankycpp_v1.4.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241750
PawnTT::clear::__l2::<lambda_1>::operator(),0.601960,100.0,9.8,0.0,2.1,0.7,98.8,66.7,1.7,0.0,0.0,0.0,56701701,190305709,0,frankycpp_v1.4.exe,PawnTT::clear::__l2::<lambda_1>::operator(),PawnTT.cpp,0x140244137
Evaluator::bishopEval,0.567962,58.9,4.4,0.7,0.0,0.0,52.4,4.3,5.3,0.1,0.0,0.0,1577547325,1064131923,0,frankycpp_v1.4.exe,Evaluator::bishopEval,Evaluator.cpp,0x140245918
