Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
TT::put,24.319380,24.319380,0.0,0.0,20641540000,3.1,3.1,6.263349,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140246cb0
TT::probe,22.760484,22.760484,0.0,0.0,13399630000,2.3,2.3,9.096334,frankycpp_v1.4.exe,TT::probe(unsigned __int64 const &),TT.cpp,0x140246e30
"std::_Atomic_storage<unsigned __int64,8>::load",10.877275,10.877275,0.0,0.0,7619280000,2.4,2.4,7.596698,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246e4d
TT::prefetch,10.770283,10.770283,0.0,0.0,14585650000,4.8,4.8,3.923819,frankycpp_v1.4.exe,TT::prefetch,TT.h,0x14020a501
TT::prefetch,9.640358,9.640358,0.0,0.0,13938730000,4.9,4.9,3.773958,frankycpp_v1.4.exe,TT::prefetch,TT.h,0x1402098f9
Search::stopConditions,6.557563,6.557563,0.0,0.0,22914745000,13.2,13.2,1.520063,frankycpp_v1.4.exe,Search::stopConditions(void),Search.cpp,0x14020cb70
Attacks::`anonymous namespace'::sliderLookup,6.259583,6.259583,0.0,0.0,87684615000,44.3,44.3,0.392117,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
"std::_Atomic_storage<unsigned __int64,8>::load",5.239651,5.239651,0.0,0.0,128785000,0.6,0.6,213.720930,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246cd3
Attacks::attacks,4.504700,4.504700,0.0,0.0,63158560000,45.9,45.9,0.367602,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
Position::doMove,2.794814,2.794814,0.0,0.0,14465850000,16.4,16.4,1.042857,frankycpp_v1.4.exe,Position::doMove(class Move),Position.cpp,0x140238a60
Search::search,2.466836,2.466836,0.0,0.0,26116400000,32.4,32.4,0.500115,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208620
TT::clear::__l2::<lambda_1>::operator(),2.179855,2.179855,0.0,0.0,3498160000,8.0,8.0,2.938356,frankycpp_v1.4.exe,TT::clear::__l2::<lambda_1>::operator(),TT.cpp,0x140247abc
Search::qsearch,2.177855,2.177855,0.0,0.0,15618925000,23.3,23.3,0.750911,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x140209f80
Evaluator::pieceEval,2.054863,2.054863,0.0,0.0,18604940000,26.5,26.5,0.588377,frankycpp_v1.4.exe,"Evaluator::pieceEval(class Position const &,struct Score &,class Color,enum PieceType)",Evaluator.cpp,0x140245620
MoveGenerator::getNextPseudoLegalMove,1.863876,1.863876,0.0,0.0,17658520000,31.7,31.7,0.574796,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023dfb0
MoveGenerator::updateSortValues,1.681888,1.681888,0.0,0.0,18524075000,33.9,33.9,0.478254,frankycpp_v1.4.exe,"MoveGenerator::updateSortValues(class Position const &,class StaticMoveList<256> *)",MoveGenerator.cpp,0x14023fdf0
MoveGenerator::fillOnDemandMoveList,1.590894,1.590894,0.0,0.0,15502120000,30.0,30.0,0.545595,frankycpp_v1.4.exe,"MoveGenerator::fillOnDemandMoveList(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023f990
MoveGenerator::generateMoves,1.480901,1.480901,0.0,0.0,15082820000,31.6,31.6,0.520651,frankycpp_v1.4.exe,"MoveGenerator::generateMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240a50
Search::thread,1.455903,1.455903,0.0,0.0,227620000,0.8,0.8,35.276316,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020a513
Position::removePiece,1.393907,1.393907,0.0,0.0,9985330000,22.4,22.4,0.756149,frankycpp_v1.4.exe,Position::removePiece(class Square),Position.cpp,0x14023a800
