Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
TT::probe,17.073863,17.073863,0.0,0.0,63.7,63.7,0.3,1.4,50.4,18.4,76.5,0.2,1.4,9.3,6.5,0.0,0.0,0.0,0.0,,,17925075000,4.810025,5049827423.928316
"std::_Atomic_storage<unsigned __int64,8>::load",11.176256,11.176256,0.0,0.0,62.4,62.4,4.2,0.0,71.2,0.2,61.1,0.1,1.7,3.8,0.0,0.0,0.4,0.0,100.0,,,12998300000,4.380415,5094545739.690615
Attacks::`anonymous namespace'::sliderLookup,6.477569,6.477569,0.0,0.0,10.4,10.4,7.4,0.6,3.5,1.4,11.3,3.0,7.1,0.6,0.1,0.0,0.0,0.0,100.0,,,85800760000,0.394862,5230271189.661007
Search::stopConditions,5.660623,5.660623,0.0,0.0,32.2,32.2,3.1,0.2,32.0,8.2,44.8,0.1,1.0,1.2,0.0,0.0,0.0,0.0,0.0,,,22213915000,1.304301,5118452567.099099
Attacks::attacks,4.664689,4.664689,0.0,0.0,10.9,10.9,7.1,0.7,7.1,0.6,10.7,0.4,1.1,4.0,0.2,0.0,0.1,0.0,100.0,,,64332600000,0.372114,5131967764.091318
TT::put,3.475768,3.475768,0.0,0.0,56.9,56.9,2.6,0.5,64.1,0.0,56.6,0.6,3.5,30.0,0.0,0.0,0.0,0.0,0.0,,,3375365000,5.399290,5243322488.397584
"std::_Atomic_storage<unsigned __int64,8>::load",3.018799,3.018799,0.0,0.0,76.1,76.1,0.0,0.0,5.0,81.8,75.0,0.5,2.8,38.3,0.0,0.0,0.0,0.0,0.0,,,1758065000,8.875639,5168926600.006624
TT::clear::__l2::<lambda_1>::operator(),2.390841,2.390841,0.0,0.0,93.8,93.8,11.2,0.7,52.0,27.3,57.9,0.3,1.2,1.8,19.2,0.0,0.0,0.0,0.0,,,3510140000,3.233788,4747723175.483061
[Loop at line 1517 in Search::search],2.017866,2.017866,0.0,0.0,11.9,11.9,6.8,0.7,3.9,0.2,14.4,4.1,1.9,4.1,0.1,0.0,0.0,0.0,0.0,,,23082465000,0.418581,4788163326.784935
MoveGenerator::getNextPseudoLegalMove,1.698887,1.698887,0.0,0.0,24.2,24.2,2.6,3.4,6.1,0.3,18.0,0.4,5.1,5.8,0.3,0.0,0.2,0.0,100.0,,,17332065000,0.470537,4800428630.927605
Search::thread,1.406906,1.406906,0.0,0.0,4.5,4.5,3.8,0.0,4.5,1.2,33.7,61.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,,,9179675000,0.777488,5072892973.181236
Position::doMove,1.394907,1.394907,0.0,0.0,37.6,37.6,4.7,0.8,2.8,0.2,10.8,0.4,6.0,1.3,0.0,0.0,0.0,0.0,0.0,,,12219600000,0.605882,5307622343.329032
Evaluator::pieceEval,1.374908,1.374908,0.0,0.0,32.1,32.1,6.1,0.1,0.4,0.2,10.3,1.8,3.0,0.8,0.4,0.0,1.0,0.0,100.0,,,16897790000,0.417760,5134316528.155637
Position::givesCheck,1.330911,1.330911,0.0,0.0,6.0,6.0,7.4,0.1,2.4,0.0,5.0,1.5,1.8,2.1,0.3,0.0,0.0,0.0,0.0,,,17922080000,0.376504,5070010877.540195
Search::thread,1.238917,1.238917,0.0,0.0,4.5,4.5,3.9,0.9,4.8,0.7,37.1,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9161705000,0.667212,4933980777.709443
Search::qsearch,1.209919,1.209919,0.0,0.0,23.1,23.1,0.3,1.5,19.3,2.8,31.5,1.0,2.2,19.6,0.2,0.0,0.6,0.0,100.0,,,7556385000,0.820452,5124018982.760331
Position::removePiece,1.184921,1.184921,0.0,0.0,33.6,33.6,3.1,1.2,13.4,0.1,25.6,0.7,1.5,15.0,0.0,0.0,0.0,0.0,0.0,,,10123100000,0.627219,5358500374.886076
Position::putPiece,1.071929,1.071929,0.0,0.0,27.7,27.7,11.2,0.0,17.8,0.2,45.2,0.4,4.0,5.3,0.0,0.0,0.0,0.0,0.0,,,9880505000,0.522886,4819700691.184701
MoveGenerator::fillOnDemandMoveList,1.058929,1.058929,0.0,0.0,17.7,17.7,8.4,1.2,2.9,0.2,17.2,1.0,1.9,3.3,0.1,0.0,0.6,0.0,100.0,,,11461865000,0.470865,5096647311.240793
[Loop at line 604 in MoveGenerator::updateSortValues],1.040931,1.040931,0.0,0.0,7.3,7.3,7.4,0.1,1.8,7.4,13.5,1.2,17.5,3.6,1.7,0.0,0.0,0.0,0.0,,,11728420000,0.464760,5236563970.835735
Evaluator::evaluate,0.988934,0.988934,0.0,0.0,14.9,14.9,5.5,0.0,4.6,1.0,28.5,0.0,1.6,2.0,3.0,0.0,0.2,0.0,100.0,AVX(128),,13213940000,0.364687,4872877652.899899
[Loop at line 2051 in Search::qsearch],0.929938,0.929938,0.0,0.0,21.7,21.7,5.1,0.0,14.2,2.2,31.6,22.9,3.1,9.1,0.0,0.0,0.0,0.0,0.0,,,8329095000,0.521036,4666714062.793549
Evaluator::rookEval,0.859943,0.859943,0.0,0.0,4.2,4.2,7.6,1.2,0.4,0.0,4.9,0.6,2.3,0.6,0.1,0.0,0.0,0.0,0.0,,,12096805000,0.358752,5046562881.858139
[Loop at line 827 in MoveGenerator::generateMoves],0.766949,0.766949,0.0,0.0,3.8,3.8,9.0,0.8,1.0,0.0,4.1,0.9,3.1,0.2,0.0,0.0,0.0,0.0,0.0,,,8955050000,0.407023,4752487345.415906
Position::isAttacked,0.754950,0.754950,0.0,0.0,22.3,22.3,4.7,1.4,16.9,2.6,19.4,0.9,0.5,10.8,0.1,0.0,0.0,0.0,0.0,,,9005965000,0.426339,5085888425.912583
[Loop at line 414 in Evaluator::kingEval],0.752950,0.752950,0.0,0.0,0.9,0.9,6.3,0.2,0.3,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,,,11369020000,0.352476,5322147322.278884
