Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
"std::_Atomic_storage<unsigned __int64,8>::load",2.919806,2.919806,0.0,0.0,7412625000,7.9,7.9,2.172121,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026d603
chess::Attacks::`anonymous namespace'::sliderLookup,1.915873,1.915873,0.0,0.0,28033200000,40.5,40.5,0.386325,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
chess::Attacks::attacks,0.910940,0.910940,0.0,0.0,13851875000,45.4,45.4,0.364108,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
engine::TT::ageEntries::__l2::<lambda_1>::operator(),0.763949,0.763949,0.0,0.0,2710475000,12.0,12.0,1.390055,frankycpp_v1.8.exe,engine::TT::ageEntries::__l2::<lambda_1>::operator(),TT.cpp,0x14026e693
engine::Evaluator::kingEval,0.695954,0.695954,0.0,0.0,9862535000,37.8,37.8,0.397510,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026ad90
engine::Search::search,0.572962,0.572962,0.0,0.0,6699815000,34.8,34.8,0.433169,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f280
engine::Evaluator::pieceEval,0.435971,0.435971,0.0,0.0,6445240000,50.0,50.0,0.359201,frankycpp_v1.8.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x14026a320
func@0x1800126c0,0.413973,0.413973,0.0,0.0,5990000,1.2,1.2,374.500000,vcruntime140.dll,func@0x1800126c0,[Unknown],0x1800126c0
engine::Search::qsearch,0.381975,0.381975,0.0,0.0,3986345000,28.8,28.8,0.513148,frankycpp_v1.8.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x140220ca0
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.326978,0.326978,0.0,0.0,5621615000,,,0.328183,frankycpp_v1.8.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140265580
engine::Search::thread,0.319979,0.319979,0.0,0.0,1985685000,21.6,21.6,0.886878,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x1402212c6
chess::MoveGenerator::getNextPseudoLegalMove,0.316979,0.316979,0.0,0.0,3779690000,41.9,41.9,0.421553,frankycpp_v1.8.exe,"chess::MoveGenerator::getNextPseudoLegalMove(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140260df0
engine::Search::thread,0.299980,0.299980,0.0,0.0,1572375000,21.6,21.6,0.868571,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x140220604
std::_Checked_popcount<unsigned __int64>,0.296980,0.296980,0.0,0.0,3893500000,40.0,40.0,0.439231,frankycpp_v1.8.exe,std::_Checked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241510
chess::MoveGenerator::fillOnDemandMoveList,0.280981,0.280981,0.0,0.0,3698825000,38.5,38.5,0.438866,frankycpp_v1.8.exe,"chess::MoveGenerator::fillOnDemandMoveList(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140262b20
"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",0.280981,0.280981,0.0,0.0,2662555000,,,0.583802,frankycpp_v1.8.exe,"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x140236d80
engine::Evaluator::rookEval,0.274982,0.274982,0.0,0.0,4938755000,50.6,50.6,0.328684,frankycpp_v1.8.exe,"engine::Evaluator::rookEval(class chess::Position const &,struct chess::Score &,class chess::Color,class chess::Color,class chess::Square)",Evaluator.cpp,0x14026a9c0
chess::MoveGenerator::updateSortValues,0.272982,0.272982,0.0,0.0,3737760000,37.2,37.2,0.433494,frankycpp_v1.8.exe,"chess::MoveGenerator::updateSortValues(class chess::Position const &,class chess::StaticMoveList<256> *)",MoveGenerator.cpp,0x140262e70
engine::TT::put,0.261983,0.261983,0.0,0.0,3387345000,36.5,36.5,0.491600,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14026d390
engine::Evaluator::coordinationEval,0.260983,0.260983,0.0,0.0,2821290000,35.0,35.0,0.502123,frankycpp_v1.8.exe,"engine::Evaluator::coordinationEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b380
chess::Position::givesCheck,0.256983,0.256983,0.0,0.0,3953400000,39.6,39.6,0.349242,frankycpp_v1.8.exe,chess::Position::givesCheck(class chess::Move),Position.cpp,0x14025c510
"std::_Atomic_storage<unsigned __int64,8>::load",0.254983,0.254983,0.0,0.0,883525000,11.0,11.0,1.569492,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140267581
chess::MoveGenerator::generateMoves,0.238984,0.238984,0.0,0.0,3168710000,,,0.466919,frankycpp_v1.8.exe,"chess::MoveGenerator::generateMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x140263ad0
engine::Evaluator::evaluate,0.223985,0.223985,0.0,0.0,4073200000,55.5,55.5,0.285294,frankycpp_v1.8.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x140269890
engine::Evaluator::threatEval,0.200987,0.200987,0.0,0.0,3324450000,42.9,42.9,0.379279,frankycpp_v1.8.exe,"engine::Evaluator::threatEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b1e0
chess::Position::removePiece,0.183988,0.183988,0.0,0.0,2219295000,35.6,35.6,0.438596,frankycpp_v1.8.exe,chess::Position::removePiece(class chess::Square),Position.cpp,0x14025d720
chess::Position::putPiece,0.169989,0.169989,0.0,0.0,2162390000,,,0.421053,frankycpp_v1.8.exe,"chess::Position::putPiece(enum chess::Piece,class chess::Square)",Position.cpp,0x14025d610
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.169989,0.169989,0.0,0.0,3153735000,39.0,39.0,0.350427,frankycpp_v1.8.exe,"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",xatomic.h,0x140268d20
chess::Position::isAttacked,0.166989,0.166989,0.0,0.0,2153405000,45.4,45.4,0.378303,frankycpp_v1.8.exe,"chess::Position::isAttacked(class chess::Square,class chess::Color)",Position.cpp,0x14025c1e0
engine::Evaluator::knightEval,0.154990,0.154990,0.0,0.0,2428945000,,,0.330456,frankycpp_v1.8.exe,"engine::Evaluator::knightEval(class chess::Position const &,struct chess::Score &,class chess::Color,class chess::Color,class chess::Square)",Evaluator.cpp,0x14026a6d0
chess::Position::doMove,0.150990,0.150990,0.0,0.0,2306150000,,,0.441558,frankycpp_v1.8.exe,chess::Position::doMove(class chess::Move),Position.cpp,0x14025b980
engine::Evaluator::bishopEval,0.144990,0.144990,0.0,0.0,2114470000,42.4,42.4,0.355524,frankycpp_v1.8.exe,engine::Evaluator::bishopEval,Evaluator.cpp,0x14026a5b8
engine::See::see,0.139991,0.139991,0.0,0.0,1958730000,44.7,44.7,0.353211,frankycpp_v1.8.exe,"engine::See::see(class chess::Position const &,class chess::Move)",See.cpp,0x14029e620
chess::MoveGenerator::generatePawnMoves,0.109993,0.109993,0.0,0.0,1446585000,,,0.422360,frankycpp_v1.8.exe,"chess::MoveGenerator::generatePawnMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x1402630a0
"std::_Atomic_storage<unsigned __int64,8>::store",0.096994,0.096994,0.0,0.0,1602325000,,,0.362617,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d478
std::_Unchecked_popcount<unsigned __int64>,0.091994,0.091994,0.0,0.0,943425000,,,0.555556,frankycpp_v1.8.exe,std::_Unchecked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241500
