Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
"std::_Atomic_storage<unsigned __int64,8>::load",2.924806,2.924806,0.0,0.0,66.0,66.0,0.0,0.4,2.2,70.3,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7697150000,2.049416,5393405525.860513
chess::Attacks::`anonymous namespace'::sliderLookup,1.941871,1.941871,0.0,0.0,3.6,3.6,3.9,1.7,0.0,5.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,27727710000,0.393606,5620238822.422245
chess::Attacks::attacks,0.937938,0.937938,0.0,0.0,4.6,4.6,6.5,0.0,1.1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13480495000,0.375028,5390080256.597015
[Loop at line 288 in engine::TT::ageEntries::__l2::<lambda_1>::operator()],0.716952,0.716952,0.0,0.0,66.8,66.8,0.0,0.0,41.6,34.4,69.1,0.3,0.7,0.7,51.5,0.0,0.0,0.0,0.0,,,2198330000,1.651226,5063013577.004184
engine::Evaluator::kingEval,0.456970,0.456970,0.0,0.0,0.7,0.7,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5861215000,0.413899,5308776558.118162
func@0x1800126c0,0.420972,0.420972,0.0,0.0,90.4,90.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2995000,771.000000,5485268742.627079
engine::Evaluator::pieceEval,0.404973,0.404973,0.0,0.0,1.2,1.2,5.0,0.7,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5936090000,0.368819,5406148631.125926
[Loop at line 1661 in engine::Search::search],0.392974,0.392974,0.0,0.0,1.7,1.7,5.6,1.2,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4941750000,0.414545,5213017455.938931
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.334978,0.334978,0.0,0.0,0.5,0.5,9.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5570700000,0.344086,5722170509.373135
engine::Evaluator::rookEval,0.320979,0.320979,0.0,0.0,1.5,1.5,6.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5130435000,0.310566,4964005199.476635
chess::MoveGenerator::getNextPseudoLegalMove,0.316979,0.316979,0.0,0.0,1.9,1.9,11.3,0.0,0.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,100.0,,,3920455000,0.417876,5168371130.668770
std::_Checked_popcount<unsigned __int64>,0.305980,0.305980,0.0,0.0,1.0,1.0,9.0,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3845580000,0.404206,5080091787.235294
engine::Search::thread,0.288981,0.288981,0.0,0.0,11.6,11.6,5.5,3.8,1.2,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1901825000,0.910236,5990397252.000000
"std::_Atomic_storage<unsigned __int64,8>::load",0.265982,0.265982,0.0,0.0,43.1,43.1,4.8,0.0,1.6,56.9,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,100.0,,,883525000,1.759322,5844015364.263158
engine::Evaluator::threatEval,0.264982,0.264982,0.0,0.0,0.7,0.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3276530000,0.381170,4713199347.328302
engine::Search::thread,0.257983,0.257983,0.0,0.0,3.8,3.8,10.4,0.4,6.1,6.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1629280000,0.854779,5398323105.000000
chess::Position::givesCheck,0.250983,0.250983,0.0,0.0,0.0,0.0,9.7,0.0,1.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3695830000,0.378444,5572740073.075697
engine::Evaluator::coordinationEval,0.234984,0.234984,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2710475000,0.427624,4932518588.348936
[Loop at line 803 in chess::MoveGenerator::updateSortValues],0.222985,0.222985,0.0,0.0,1.6,1.6,13.3,1.8,0.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2449910000,0.443765,4875592382.233184
chess::Position::removePiece,0.212986,0.212986,0.0,0.0,0.9,0.9,5.3,1.1,0.0,0.5,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2036600000,0.464706,4443581060.169014
engine::Evaluator::evaluate,0.210986,0.210986,0.0,0.0,2.4,2.4,11.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,100.0,AVX(128); AVX(256),,4043250000,0.294074,5635515898.208530
engine::Search::qsearch,0.208986,0.208986,0.0,0.0,4.2,4.2,6.4,0.8,0.8,3.2,0.0,0.0,0.0,0.0,,0.0,1.2,0.0,100.0,,,2036600000,0.611765,5961735064.191387
