Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
"std::_Atomic_storage<unsigned __int64,8>::load",3.008801,61.1,0.0,3.0,0.5,66.2,0.1,44.5,0.0,0.0,0.0,0.0,2031160933,1592247766,550231,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026d603
chess::Attacks::`anonymous namespace'::sliderLookup,1.909873,5.8,6.6,0.0,2.2,5.0,0.0,2.7,0.0,0.0,0.4,0.0,6965808968,3402602075,0,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
chess::Attacks::attacks,0.889941,4.6,8.0,0.0,2.7,4.9,0.2,,0.0,0.0,0.0,0.0,3456803701,1940258206,550231,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
engine::TT::ageEntries::__l2::<lambda_1>::operator(),0.749950,94.3,0.0,0.0,43.6,43.6,0.0,65.2,1.3,0.5,1.5,34.2,503215096,243107293,4952079,frankycpp_v1.8.exe,engine::TT::ageEntries::__l2::<lambda_1>::operator(),TT.cpp,0x14026e693
engine::Evaluator::kingEval,0.672955,0.0,7.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601448042,582017460,0,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026ad90
engine::Search::search,0.566962,3.7,8.3,1.5,0.0,0.8,0.0,,0.0,0.0,0.0,0.0,1876756301,778923367,550231,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f280
engine::Evaluator::pieceEval,0.445970,0.8,6.4,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1700751021,1284538535,0,frankycpp_v1.8.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x14026a320
func@0x1800126c0,0.408973,100.0,0.0,0.5,0.0,0.0,86.9,0.0,0.0,0.0,0.0,0.0,2200066,0,0,vcruntime140.dll,func@0x1800126c0,[Unknown],0x1800126c0
engine::Search::qsearch,0.346977,6.7,5.1,0.5,0.0,3.6,0.0,0.0,33.4,0.0,0.0,0.0,1145934377,512415372,1100462,frankycpp_v1.8.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x140220ca0
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.344977,0.0,9.4,1.2,0.0,0.0,0.0,0.0,0.0,,,,1218536555,686420592,0,frankycpp_v1.8.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140265580
