Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
engine::TT::probe,5.373644,24.8,2.5,0.4,24.4,9.3,0.1,42.3,0.0,0.0,0.9,0.0,6224786738,5241557242,1100462,frankycpp_v1.8.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14026d5d0
chess::Attacks::`anonymous namespace'::sliderLookup,4.965671,3.0,6.2,0.0,1.4,1.5,0.4,10.0,5.6,0.5,0.1,0.0,21220736603,10535916068,550231,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
engine::TT::put,4.852678,26.6,0.7,0.5,39.8,0.1,0.7,32.8,0.0,0.4,2.8,0.0,4448133440,2931087930,0,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14026d390
"std::_Atomic_storage<unsigned __int64,8>::load",3.982736,80.6,3.4,3.1,7.7,71.0,0.1,39.7,0.0,0.0,11.4,0.0,1053631608,758822764,550231,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026d603
chess::Attacks::attacks,2.542831,5.8,4.5,0.3,3.1,0.7,0.8,9.6,0.0,0.0,0.0,0.0,11508945258,6546396386,0,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
engine::PawnTT::probe,2.034865,12.0,0.0,3.4,20.6,1.9,1.0,20.5,0.0,2.0,1.0,0.0,3393001787,3126893804,550231,frankycpp_v1.8.exe,engine::PawnTT::probe(unsigned __int64),PawnTT.cpp,0x140267540
engine::Evaluator::kingEval,1.984868,0.2,7.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4637239113,1690450712,0,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026ad90
engine::Search::search,1.409906,3.7,8.1,1.4,2.1,0.5,1.1,7.9,16.7,0.0,0.0,0.0,5660369806,2254967647,0,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f280
engine::Search::qsearch,0.946937,5.7,9.1,3.6,4.2,0.8,0.4,15.2,20.5,0.1,0.6,0.0,3149994497,1250237506,0,frankycpp_v1.8.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x140220ca0
engine::Evaluator::pieceEval,0.924939,7.1,6.3,0.0,4.3,0.0,3.9,3.0,0.0,0.0,0.0,0.0,4423332696,3055891674,0,frankycpp_v1.8.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x14026a320
