Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
chess::Bitboard::operator^=,0.173988,0.173988,0.0,0.0,1.1,1.1,7.2,1.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1737100000,0.439655,4389515199.913793
chess::Move::encode,0.172989,0.172989,0.0,0.0,0.0,0.0,7.6,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2120460000,0.471751,5782637773.052023
engine::See::attacksTo,0.171989,0.171989,0.0,0.0,0.0,0.0,7.6,0.0,0.6,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2327115000,0.370656,5015216272.186047
[Loop at line 1025 in chess::MoveGenerator::generateMoves],0.170989,0.170989,0.0,0.0,3.9,3.9,11.2,0.0,1.5,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2021625000,0.508148,6007912995.327486
"std::ranges::_Sort_fn::_Sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",0.169989,0.169989,0.0,0.0,3.6,3.6,7.9,0.0,1.7,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,1991675000,0.443609,5197550523.911765
engine::See::see,0.158989,0.158989,0.0,0.0,7.1,7.1,6.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2291175000,0.352941,5086186313.773585
chess::Bitboard::operator bool,0.151990,0.151990,0.0,0.0,1.0,1.0,12.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2054570000,0.403790,5458355356.177631
chess::MoveGenerator::generateKingMoves,0.151990,0.151990,0.0,0.0,3.3,3.3,6.6,2.9,0.7,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,1773040000,0.390203,4551913672.480263
"std::array<int,64>::operator[]",0.149990,0.149990,0.0,0.0,0.8,0.8,11.7,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2437930000,0.404177,6569468944.686666
[Loop at line 700 in chess::MoveGenerator::fillOnDemandMoveList],0.146990,0.146990,0.0,0.0,3.1,3.1,14.9,0.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,100.0,,,2000660000,0.423653,5766266705.993197
chess::operator&,0.146990,0.146990,0.0,0.0,0.0,0.0,7.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1758065000,0.398637,4767867170.326530
chess::makePiece,0.145990,0.145990,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1200995000,0.591022,4862068971.636987
[Loop at line 894 in chess::MoveGenerator::generatePawnMoves],0.139991,0.139991,0.0,0.0,9.1,9.1,0.7,3.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1473540000,0.493902,5198809010.721429
[Loop at line 839 in engine::Evaluator::kingEval],0.135991,0.135991,0.0,0.0,1.2,1.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2515800000,0.236905,4382680314.654411
engine::See::revealedAttacks,0.132991,0.132991,0.0,0.0,2.3,2.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1919795000,0.386895,5585031988.992481
"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",0.126992,0.126992,0.0,0.0,4.2,4.2,6.1,1.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1066220000,0.542135,4551758513.000000
"std::array<chess::Bitboard,64>::operator[]",0.122992,0.122992,0.0,0.0,8.3,8.3,0.0,0.7,5.0,4.3,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,1799995000,0.394343,5771236340.317073
"std::array<unsigned __int64,64>::operator[]",0.120992,0.120992,0.0,0.0,3.4,3.4,7.7,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1659230000,0.509025,6980545513.834710
std::popcount,0.120992,0.120992,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1862890000,0.311897,4802219254.198347
std::countr_zero,0.116992,0.116992,0.0,0.0,4.9,4.9,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1159065000,0.465116,4607997856.923078
chess::Square::{ctor},0.113992,0.113992,0.0,0.0,4.8,4.8,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1904820000,0.375786,6279407605.903509
chess::Bitboard::shifted,0.112993,0.112993,0.0,0.0,0.0,0.0,14.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1021295000,0.486804,4400026272.230088
engine::Search::sendSearchUpdateToUci,0.112993,0.112993,0.0,0.0,88.2,88.2,22.7,15.9,43.6,5.0,40.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11980000,50.500000,5354248837.292035
engine::TT::Entry::{ctor},0.112993,0.112993,0.0,0.0,100.0,100.0,0.0,13.6,10.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,233610000,2.576923,5327742654.929204
chess::operator*,0.110993,0.110993,0.0,0.0,0.0,0.0,2.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1380695000,0.416486,5180884076.972973
chess::Position::movePiece,0.102993,0.102993,0.0,0.0,15.2,15.2,11.3,0.0,5.7,0.0,3.5,0.0,6.7,13.4,0.0,0.0,0.0,0.0,0.0,,,1260895000,0.427553,5234327662.718447
engine::Search::storeTt,0.102993,0.102993,0.0,0.0,5.0,5.0,11.4,0.0,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1464555000,0.364008,5176168466.466019
std::_Countr_zero_tzcnt<unsigned __int64>,0.098993,0.098993,0.0,0.0,6.4,6.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1242925000,0.404819,5082761272.484849
chess::operator<,0.097994,0.097994,0.0,0.0,2.8,2.8,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1030280000,0.465116,4890120174.693877
chess::Position::getPiece,0.095994,0.095994,0.0,0.0,1.6,1.6,15.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1018300000,0.570588,6052797184.979167
[Loop at line 546 in engine::Evaluator::pieceEval],0.092994,0.092994,0.0,0.0,11.8,11.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1186020000,0.401515,5120823424.870968
"std::array<chess::Value,25>::operator[]",0.090994,0.090994,0.0,0.0,0.0,0.0,4.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1000330000,0.416168,4575083586.516483
chess::MoveGenerator::generateMoves,0.088994,0.088994,0.0,0.0,14.9,14.9,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1719130000,0.353659,6831745137.314607
engine::Search::goodCapture,0.087994,0.087994,0.0,0.0,2.1,2.1,5.1,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,976370000,0.401840,4458761562.693182
chess::Move::operator==,0.085994,0.085994,0.0,0.0,1.6,1.6,4.7,0.0,0.0,0.0,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1419630000,0.305907,5050044162.965117
[Loop at line 245 in engine::TT::probe],0.082994,0.082994,0.0,0.0,71.7,71.7,0.0,0.0,41.4,40.2,32.1,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,98835000,4.181818,4979968768.265060
chess::Position::hasCheck,0.079995,0.079995,0.0,0.0,31.2,31.2,1.1,0.0,14.3,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,667885000,0.690583,5765757318.475000
chess::MoveGenerator::isPseudoLegal,0.078995,0.078995,0.0,0.0,18.3,18.3,0.0,11.9,10.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,572045000,0.968586,7014072687.278481
chess::StaticMoveList<256>::push_back,0.077995,0.077995,0.0,0.0,9.1,9.1,9.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,808650000,0.481481,4991997678.333334
chess::Position::getPieceBb,0.072995,0.072995,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,763725000,0.525490,5498035799.150685
chess::typeOf,0.072995,0.072995,0.0,0.0,12.8,12.8,17.0,0.0,6.8,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,844590000,0.521277,6031427331.904110
func@0x1400e34a0,0.072995,0.072995,0.0,0.0,100.0,100.0,0.0,90.2,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5990000,74.000000,6072457449.808220
chess::Bitboard::popLSB,0.070995,0.070995,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,398335000,0.864662,4851378025.422535
chess::operator&,0.070995,0.070995,0.0,0.0,4.7,4.7,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1395670000,0.283262,5568538255.267606
[Loop at line 881 in engine::Evaluator::kingEval],0.068995,0.068995,0.0,0.0,2.0,2.0,23.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,946420000,0.370253,5078815029.260870
[Loop at line 891 in engine::Evaluator::kingEval],0.067995,0.067995,0.0,0.0,0.0,0.0,4.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,814640000,0.415441,4977315332.220589
chess::Move::encode,0.065996,0.065996,0.0,0.0,1.7,1.7,9.6,5.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,778700000,0.603846,7124942140.893940
chess::Bitboard::operator|=,0.064996,0.064996,0.0,0.0,5.9,5.9,10.4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,919465000,0.416938,5898237256.861539
chess::operator+,0.063996,0.063996,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,736770000,0.402439,4633197845.203125
chess::operator<,0.063996,0.063996,0.0,0.0,2.6,2.6,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,991345000,0.320242,4960797692.843750
std::countr_zero,0.063996,0.063996,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,560065000,0.609626,5335197518.718750
_security_check_cookie,0.061996,0.061996,0.0,0.0,43.2,43.2,3.4,0.0,23.6,3.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,302495000,0.980198,4782655840.209677
engine::PawnTT::put,0.060996,0.060996,0.0,0.0,35.5,35.5,0.0,0.0,40.9,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,AVX(128),,68885000,4.434783,5008364883.836066
std::countr_zero,0.060996,0.060996,0.0,0.0,0.0,0.0,36.6,2.9,1.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,2039595000,0.167401,5597584281.934426
engine::See::getLeastValuablePiece,0.059996,0.059996,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1482525000,0.288889,7138556680.016666
std::countr_zero,0.058996,0.058996,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1877865000,0.178628,5685800745.491526
chess::Color::sign,0.056996,0.056996,0.0,0.0,34.2,34.2,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,100.0,,,631945000,0.492891,5464923774.175438
chess::Position::attacksTo,0.055996,0.055996,0.0,0.0,11.4,11.4,17.5,0.0,5.8,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,850580000,0.313380,4760226357.553571
chess::typeOf,0.055996,0.055996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,646920000,0.342593,3957941016.392857
