Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
engine::TT::put,5.734620,5.734620,0.0,0.0,33.1,33.1,1.2,2.3,41.6,0.0,34.9,1.6,0.6,20.4,0.0,0.0,0.6,0.0,100.0,AVX(128),,12746720000,2.486137,5526102259.924499
chess::Attacks::`anonymous namespace'::sliderLookup,5.305648,5.305648,0.0,0.0,3.6,3.6,6.0,0.3,1.4,1.4,12.6,11.1,5.6,3.0,0.0,0.0,0.0,0.0,0.0,,,76336560000,0.369390,5314699375.217678
"std::_Atomic_storage<unsigned __int64,8>::load",4.644692,4.644692,0.0,0.0,62.9,62.9,1.8,0.8,8.7,66.1,67.0,0.0,0.0,18.2,1.3,0.0,0.0,0.0,0.0,,,13651210000,1.881308,5529349419.811625
engine::TT::probe,3.580763,3.580763,0.0,0.0,25.0,25.0,0.0,2.2,22.9,13.4,42.4,0.0,0.4,16.6,0.0,0.0,0.0,0.0,0.0,,,8038580000,2.434799,5465965623.218375
chess::Attacks::attacks,2.685822,2.685822,0.0,0.0,6.4,6.4,5.5,0.8,1.8,2.0,6.3,2.1,2.9,3.6,0.4,0.0,0.0,0.0,0.0,,,40016195000,0.360901,5377084021.948623
engine::TT::prefetch,2.160857,2.160857,0.0,0.0,24.2,24.2,0.5,0.0,32.0,0.0,63.6,0.0,5.2,14.8,0.0,0.0,0.0,0.0,0.0,,,5495825000,2.187466,5563501716.102730
engine::TT::prefetch,2.036865,2.036865,0.0,0.0,23.1,23.1,4.6,0.0,37.4,0.0,56.6,2.9,1.8,8.2,0.0,0.0,0.0,0.0,0.0,,,6199650000,1.822222,5546337332.157094
[Loop at line 149 in engine::TT::put],1.219919,1.219919,0.0,0.0,49.2,49.2,2.9,2.7,49.0,0.0,33.4,0.0,1.1,71.2,0.0,0.0,0.0,0.0,0.0,,,3306480000,1.878623,5091837631.900000
engine::Evaluator::kingEval,1.098927,1.098927,0.0,0.0,0.7,0.7,6.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14645550000,0.441104,5878656410.645132
engine::PawnTT::probe,1.089928,1.089928,0.0,0.0,39.6,39.6,8.6,1.0,38.8,1.0,52.6,0.0,0.0,5.0,0.0,0.0,2.1,0.0,100.0,,,8730425000,0.718353,5754078791.796330
[Loop at line 1661 in engine::Search::search],1.032932,1.032932,0.0,0.0,8.2,8.2,7.9,1.4,1.6,0.3,12.3,15.4,2.3,0.8,0.0,0.0,0.0,0.0,0.0,,,14082490000,0.393024,5358303025.881898
engine::Evaluator::pieceEval,0.983935,0.983935,0.0,0.0,13.4,13.4,8.3,0.0,1.7,0.1,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14052540000,0.390026,5570338872.774390
engine::Search::thread,0.918939,0.918939,0.0,0.0,77.7,77.7,12.7,8.1,43.2,0.9,50.9,57.8,0.1,9.4,0.0,0.0,0.0,0.0,0.0,,,413310000,12.144928,5462407905.693145
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.915939,0.915939,0.0,0.0,3.2,3.2,10.4,0.2,0.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,,,14630575000,0.339816,5427980008.318777
"std::_Atomic_storage<unsigned __int64,8>::store",0.832945,0.832945,0.0,0.0,79.2,79.2,41.9,0.8,25.6,0.0,72.5,66.8,0.0,23.4,0.0,0.0,0.0,0.0,0.0,,,1141095000,4.160105,5699147409.477791
engine::Evaluator::rookEval,0.813946,0.813946,0.0,0.0,5.1,5.1,6.4,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13744055000,0.317716,5364864335.388206
chess::MoveGenerator::getNextPseudoLegalMove,0.764949,0.764949,0.0,0.0,7.3,7.3,9.2,0.7,1.0,0.6,19.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,,,10838905000,0.382979,5426595123.270588
chess::Position::givesCheck,0.739951,0.739951,0.0,0.0,4.3,4.3,5.8,1.2,0.1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11557705000,0.367194,5735400575.836487
std::_Checked_popcount<unsigned __int64>,0.737951,0.737951,0.0,0.0,1.8,1.8,11.8,0.0,0.5,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,10623265000,0.392444,5649480299.382114
engine::Search::thread,0.718952,0.718952,0.0,0.0,58.9,58.9,10.7,5.1,38.3,1.5,100.0,56.3,0.6,12.2,0.0,0.0,0.0,0.0,0.0,,,634940000,6.754717,5965402510.742699
chess::MoveGenerator::fillOnDemandMoveList,0.679955,0.679955,0.0,0.0,7.3,7.3,8.3,1.2,1.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,100.0,,,8374020000,0.413805,5096242335.733824
"std::_Atomic_storage<unsigned __int64,8>::load",0.671955,0.671955,0.0,0.0,64.0,64.0,2.8,0.0,25.8,42.9,100.0,40.1,8.0,64.1,0.0,0.0,6.2,0.0,100.0,,,527120000,6.710227,5263883266.171131
"std::_Atomic_storage<unsigned __int64,8>::store",0.647957,0.647957,0.0,0.0,40.2,40.2,42.0,0.4,18.8,0.0,23.2,9.1,1.8,5.5,0.0,0.0,0.0,0.0,0.0,,,2234270000,1.585791,5468086345.804012
engine::Search::qsearch,0.634958,0.634958,0.0,0.0,27.4,27.4,16.3,3.6,10.7,2.3,12.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,100.0,,,5849235000,0.603687,5561164027.800000
[Loop at line 803 in chess::MoveGenerator::updateSortValues],0.614959,0.614959,0.0,0.0,6.1,6.1,3.8,0.8,2.6,4.1,14.3,0.0,21.5,4.8,2.4,0.0,0.0,0.0,0.0,,,7164040000,0.466137,5430319425.699187
engine::Evaluator::threatEval,0.610959,0.610959,0.0,0.0,0.2,0.2,14.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8688495000,0.395036,5617835685.142389
engine::Evaluator::evaluate,0.603960,0.603960,0.0,0.0,5.7,5.7,15.7,0.1,1.4,0.0,33.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,AVX(128); AVX(256),,9925430000,0.356065,5851546947.450331
engine::Evaluator::coordinationEval,0.596960,0.596960,0.0,0.0,0.7,0.7,21.8,0.0,0.2,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,,,7086170000,0.463229,5498723070.807370
chess::Position::doMove,0.503967,0.503967,0.0,0.0,5.5,5.5,11.4,0.4,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6609965000,0.429995,5639768805.640873
[Loop at line 818 in engine::Evaluator::kingEval],0.497967,0.497967,0.0,0.0,0.6,0.6,12.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5969035000,0.457602,5485182991.132530
chess::Position::removePiece,0.457970,0.457970,0.0,0.0,8.5,8.5,12.2,1.7,0.8,0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5316125000,0.452394,5251407164.674672
engine::PawnTT::Entry::Entry,0.450970,0.450970,0.0,0.0,76.1,76.1,7.4,0.0,10.2,1.4,53.4,66.8,0.0,0.0,0.0,0.0,2.4,0.0,100.0,AVX(128),,2914135000,0.860226,5558716705.230598
[Loop at line 1029 in chess::MoveGenerator::generateMoves],0.434971,0.434971,0.0,0.0,0.7,0.7,15.1,0.4,0.6,0.0,5.0,0.0,10.0,7.5,0.0,0.0,0.0,0.0,0.0,,,5705475000,0.415748,5453327118.951724
func@0x1800126c0,0.430971,0.430971,0.0,0.0,62.0,62.0,2.1,0.0,0.4,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,5420545042.830626
engine::Search::search,0.419972,0.419972,0.0,0.0,21.3,21.3,17.7,5.5,7.2,0.4,45.3,73.8,0.4,4.1,0.2,0.0,0.0,0.0,0.0,,,3878525000,0.626255,5783585881.611905
chess::Position::putPiece,0.418972,0.418972,0.0,0.0,8.6,8.6,19.8,0.5,3.2,0.0,2.2,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,,,4492500000,0.461333,4946724191.035800
chess::Position::isAttacked,0.416972,0.416972,0.0,0.0,9.7,9.7,4.7,2.1,1.9,7.4,2.0,0.0,0.0,4.2,7.6,0.0,0.0,0.0,0.0,,,5969035000,0.410938,5882656256.913669
"[Loop at line 8440 in std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>]",0.401973,0.401973,0.0,0.0,0.8,0.8,10.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3629940000,0.614686,5550803388.594527
[Loop at line 2212 in engine::Search::qsearch],0.370975,0.370975,0.0,0.0,23.7,23.7,8.6,0.0,11.3,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,,,4267875000,0.475088,5465631959.404312
"[Loop at line 8440 in std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>]",0.364976,0.364976,0.0,0.0,0.8,0.8,9.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3629940000,0.545380,5424181586.923287
engine::PawnTT::prefetch,0.353977,0.353977,0.0,0.0,28.2,28.2,8.5,0.0,36.0,6.1,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,92845000,20.451613,5364282250.954803
chess::MoveGenerator::generatePawnMoves,0.339977,0.339977,0.0,0.0,43.7,43.7,7.4,0.3,1.5,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,100.0,,,3546080000,0.558277,5823018468.314706
engine::Evaluator::bishopEval,0.325978,0.325978,0.0,0.0,8.5,8.5,7.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5786340000,0.341097,6054711294.518405
engine::Evaluator::knightEval,0.318979,0.318979,0.0,0.0,8.2,8.2,6.9,1.8,0.0,0.9,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,,,4444580000,0.378706,5276807577.222570
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.286981,0.286981,0.0,0.0,47.1,47.1,5.3,0.0,24.5,13.2,20.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,100.0,,,1623290000,0.983395,5562511698.714286
engine::Evaluator::queenEval,0.276982,0.276982,0.0,0.0,0.0,0.0,8.3,0.0,0.7,0.0,4.5,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,,,4519455000,0.327369,5341617732.339351
std::optional<engine::PawnTT::Entry>::{ctor},0.253983,0.253983,0.0,0.0,44.2,44.2,0.0,5.9,31.1,1.7,,0.0,,,,0.0,1.4,0.0,100.0,,,718800000,1.991667,5636633599.000000
chess::MoveGenerator::updateSortValues,0.252983,0.252983,0.0,0.0,3.7,3.7,6.7,0.4,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3144750000,0.405714,5043298840.245059
chess::Position::wasLegalMove,0.252983,0.252983,0.0,0.0,0.5,0.5,1.6,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4372700000,0.352740,6096945781.047430
engine::Evaluator::pawnEval,0.246984,0.246984,0.0,0.0,36.6,36.6,4.1,5.9,8.8,0.4,30.1,50.1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,,2291175000,0.594771,5517471118.157894
chess::Bitboard::shifted,0.227985,0.227985,0.0,0.0,5.5,5.5,7.3,1.7,2.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3153735000,0.375119,5189050218.267544
std::_Unchecked_popcount<unsigned __int64>,0.199987,0.199987,0.0,0.0,0.8,0.8,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2614635000,0.465063,6080253172.209999
[Loop at line 55 in engine::See::see],0.184988,0.184988,0.0,0.0,1.7,1.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2605650000,0.386207,5439928280.821622
chess::moveValueGreaterComparator::operator(),0.181988,0.181988,0.0,0.0,0.7,0.7,7.7,0.9,0.0,0.4,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,,,2375035000,0.493064,6434739864.489011
chess::Position::undoMove,0.175988,0.175988,0.0,0.0,26.1,26.1,18.1,0.0,11.1,0.0,2.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1940760000,0.521605,5752142779.352273
