Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
engine::TT::put,9.583364,9.583364,0.0,0.0,19506435000,6.7,6.7,2.706587,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14026d390
engine::TT::probe,7.186523,7.186523,0.0,0.0,10746060000,5.3,5.3,3.598941,frankycpp_v1.8.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14026d5d0
chess::Attacks::`anonymous namespace'::sliderLookup,5.803615,5.803615,0.0,0.0,86564485000,42.5,42.5,0.359374,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
"std::_Atomic_storage<unsigned __int64,8>::load",5.022667,5.022667,0.0,0.0,15729740000,10.3,10.3,1.716679,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026d603
chess::Attacks::attacks,3.052798,3.052798,0.0,0.0,47012515000,46.1,46.1,0.361725,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
engine::TT::prefetch,2.952804,2.952804,0.0,0.0,6957385000,7.5,7.5,2.373655,frankycpp_v1.8.exe,engine::TT::prefetch,TT.h,0x1402212b3
engine::TT::prefetch,2.660824,2.660824,0.0,0.0,6777685000,8.0,8.0,2.161290,frankycpp_v1.8.exe,engine::TT::prefetch,TT.h,0x1402205ee
"std::_Atomic_storage<unsigned __int64,8>::store",2.499834,2.499834,0.0,0.0,2159395000,3.0,3.0,6.334258,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d593
engine::Evaluator::kingEval,2.295848,2.295848,0.0,0.0,28967640000,36.2,36.2,0.426799,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026ad90
engine::PawnTT::probe,1.561896,1.561896,0.0,0.0,9299475000,19.8,19.8,0.933011,frankycpp_v1.8.exe,engine::PawnTT::probe(unsigned __int64),PawnTT.cpp,0x140267540
engine::Search::search,1.478902,1.478902,0.0,0.0,19925735000,38.3,38.3,0.437998,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f280
engine::Evaluator::pieceEval,1.428905,1.428905,0.0,0.0,18500115000,45.9,45.9,0.389024,frankycpp_v1.8.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x14026a320
engine::Search::qsearch,1.187921,1.187921,0.0,0.0,11635575000,28.8,28.8,0.525611,frankycpp_v1.8.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x140220ca0
std::_Checked_x86_x64_countr_zero<unsigned __int64>,1.032931,1.032931,0.0,0.0,17062515000,48.8,48.8,0.333509,frankycpp_v1.8.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140265580
engine::Search::thread,1.023932,1.023932,0.0,0.0,539100000,2.0,2.0,11.083333,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x1402212c6
chess::MoveGenerator::updateSortValues,0.995934,0.995934,0.0,0.0,12498135000,35.7,35.7,0.445004,frankycpp_v1.8.exe,"chess::MoveGenerator::updateSortValues(class chess::Position const &,class chess::StaticMoveList<256> *)",MoveGenerator.cpp,0x140262e70
"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",0.988934,0.988934,0.0,0.0,9140740000,25.8,25.8,0.594692,frankycpp_v1.8.exe,"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x140236d80
chess::MoveGenerator::fillOnDemandMoveList,0.961936,0.961936,0.0,0.0,12237570000,38.7,38.7,0.396721,frankycpp_v1.8.exe,"chess::MoveGenerator::fillOnDemandMoveList(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140262b20
chess::MoveGenerator::getNextPseudoLegalMove,0.937938,0.937938,0.0,0.0,13252875000,42.2,42.2,0.374463,frankycpp_v1.8.exe,"chess::MoveGenerator::getNextPseudoLegalMove(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140260df0
engine::Evaluator::rookEval,0.927938,0.927938,0.0,0.0,16313765000,48.9,48.9,0.323297,frankycpp_v1.8.exe,"engine::Evaluator::rookEval(class chess::Position const &,struct chess::Score &,class chess::Color,class chess::Color,class chess::Square)",Evaluator.cpp,0x14026a9c0
chess::Position::givesCheck,0.862943,0.862943,0.0,0.0,13088150000,44.1,44.1,0.359954,frankycpp_v1.8.exe,chess::Position::givesCheck(class chess::Move),Position.cpp,0x14025c510
chess::MoveGenerator::generateMoves,0.852943,0.852943,0.0,0.0,10886825000,40.1,40.1,0.418157,frankycpp_v1.8.exe,"chess::MoveGenerator::generateMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x140263ad0
std::_Checked_popcount<unsigned __int64>,0.843944,0.843944,0.0,0.0,12021930000,40.6,40.6,0.405082,frankycpp_v1.8.exe,std::_Checked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241510
engine::Search::thread,0.811946,0.811946,0.0,0.0,649915000,2.7,2.7,7.262673,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x140220604
engine::Evaluator::coordinationEval,0.804947,0.804947,0.0,0.0,8670525000,31.5,31.5,0.515026,frankycpp_v1.8.exe,"engine::Evaluator::coordinationEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b380
"std::_Atomic_storage<unsigned __int64,8>::store",0.793947,0.793947,0.0,0.0,2677530000,9.0,9.0,1.544743,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d478
engine::Evaluator::threatEval,0.745951,0.745951,0.0,0.0,9967360000,45.6,45.6,0.410156,frankycpp_v1.8.exe,"engine::Evaluator::threatEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b1e0
engine::Evaluator::evaluate,0.698954,0.698954,0.0,0.0,11267190000,50.6,50.6,0.342903,frankycpp_v1.8.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x140269890
chess::Position::doMove,0.681955,0.681955,0.0,0.0,8520775000,38.1,38.1,0.421441,frankycpp_v1.8.exe,chess::Position::doMove(class chess::Move),Position.cpp,0x14025b980
"std::_Atomic_storage<unsigned __int64,8>::load",0.653957,0.653957,0.0,0.0,503160000,2.6,2.6,7.130952,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140267581
