Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
engine::TT::put,7.209522,7.209522,0.0,0.0,15544050000,7.4,7.4,2.564933,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14026d390
engine::TT::probe,5.277650,5.277650,0.0,0.0,8008630000,5.2,5.2,3.568437,frankycpp_v1.8.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14026d5d0
chess::Attacks::`anonymous namespace'::sliderLookup,4.880676,4.880676,0.0,0.0,72841395000,43.7,43.7,0.369228,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
"std::_Atomic_storage<unsigned __int64,8>::load",3.959737,3.959737,0.0,0.0,11033580000,8.9,8.9,1.989685,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026d603
chess::Attacks::attacks,2.529832,2.529832,0.0,0.0,39222520000,46.7,46.7,0.354383,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
engine::TT::prefetch,2.131859,2.131859,0.0,0.0,6325440000,9.3,9.3,1.816761,frankycpp_v1.8.exe,engine::TT::prefetch,TT.h,0x1402205ee
engine::TT::prefetch,2.128859,2.128859,0.0,0.0,6247570000,9.5,9.5,1.837488,frankycpp_v1.8.exe,engine::TT::prefetch,TT.h,0x1402212b3
"std::_Atomic_storage<unsigned __int64,8>::store",1.867876,1.867876,0.0,0.0,1853905000,3.2,3.2,5.602585,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d593
engine::Evaluator::kingEval,1.849877,1.849877,0.0,0.0,24367320000,35.9,35.9,0.411750,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026ad90
engine::Search::search,1.353910,1.353910,0.0,0.0,16523415000,37.2,37.2,0.430306,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f280
engine::PawnTT::probe,1.169922,1.169922,0.0,0.0,8167365000,24.3,24.3,0.775578,frankycpp_v1.8.exe,engine::PawnTT::probe(unsigned __int64),PawnTT.cpp,0x140267540
engine::Search::stopConditions,1.123925,1.123925,0.0,0.0,4729105000,14.5,14.5,1.302723,frankycpp_v1.8.exe,engine::Search::stopConditions(void),Search.cpp,0x140225a60
engine::Evaluator::pieceEval,1.098927,1.098927,0.0,0.0,15067845000,45.0,45.0,0.389783,frankycpp_v1.8.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x14026a320
