Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
chess::Attacks::`anonymous namespace'::sliderLookup,8.435440,8.435440,0.0,0.0,123930105000,43.6,43.6,0.370985,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
"std::_Atomic_storage<unsigned __int64,8>::load",5.992602,5.992602,0.0,0.0,15295465000,8.2,8.2,2.125710,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026da82
engine::TT::put,5.042665,5.042665,0.0,0.0,20611590000,14.9,14.9,1.305289,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value,int)",TT.cpp,0x14026d800
chess::Attacks::attacks,4.549698,4.549698,0.0,0.0,67651060000,46.7,46.7,0.359970,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
engine::Search::stopConditions,3.892742,3.892742,0.0,0.0,17949035000,14.9,14.9,1.166861,frankycpp_v1.8.exe,engine::Search::stopConditions(void),Search.cpp,0x140225c90
engine::Evaluator::kingEval,3.239785,3.239785,0.0,0.0,40255795000,35.5,35.5,0.425564,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b1c0
engine::Search::search,2.736818,2.736818,0.0,0.0,30998250000,35.8,35.8,0.464251,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f460
engine::Search::qsearch,1.947871,1.947871,0.0,0.0,16026245000,27.5,27.5,0.626238,frankycpp_v1.8.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x140220e90
engine::Evaluator::pieceEval,1.903874,1.903874,0.0,0.0,26742355000,43.4,43.4,0.386157,frankycpp_v1.8.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x14026a750
"std::_Atomic_storage<unsigned __int64,8>::store",1.687888,1.687888,0.0,0.0,3605980000,7.3,7.3,2.399502,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d9fc
chess::Position::givesCheck,1.596894,1.596894,0.0,0.0,21704765000,42.0,42.0,0.384297,frankycpp_v1.8.exe,chess::Position::givesCheck(class chess::Move),Position.cpp,0x14025c850
chess::MoveGenerator::getNextPseudoLegalMove,1.470902,1.470902,0.0,0.0,18832560000,40.8,40.8,0.407125,frankycpp_v1.8.exe,"chess::MoveGenerator::getNextPseudoLegalMove(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140261130
"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",1.469902,1.469902,0.0,0.0,13004290000,25.4,25.4,0.621142,frankycpp_v1.8.exe,"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x1402370d0
std::_Checked_x86_x64_countr_zero<unsigned __int64>,1.405907,1.405907,0.0,0.0,21231555000,46.9,46.9,0.357032,frankycpp_v1.8.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x1402658c0
chess::MoveGenerator::updateSortValues,1.336911,1.336911,0.0,0.0,16499455000,37.1,37.1,0.461790,frankycpp_v1.8.exe,"chess::MoveGenerator::updateSortValues(class chess::Position const &,class chess::StaticMoveList<256> *)",MoveGenerator.cpp,0x1402631b0
chess::MoveGenerator::fillOnDemandMoveList,1.313913,1.313913,0.0,0.0,16113100000,38.5,38.5,0.406691,frankycpp_v1.8.exe,"chess::MoveGenerator::fillOnDemandMoveList(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140262e60
chess::MoveGenerator::generateMoves,1.288914,1.288914,0.0,0.0,15349375000,40.1,40.1,0.432195,frankycpp_v1.8.exe,"chess::MoveGenerator::generateMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x140263e10
engine::Evaluator::coordinationEval,1.286915,1.286915,0.0,0.0,12300465000,30.4,30.4,0.585829,frankycpp_v1.8.exe,"engine::Evaluator::coordinationEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b7b0
engine::Evaluator::rookEval,1.284915,1.284915,0.0,0.0,20345035000,50.5,50.5,0.339909,frankycpp_v1.8.exe,"engine::Evaluator::rookEval(class chess::Position const &,struct chess::Score &,class chess::Color,class chess::Color,class chess::Square)",Evaluator.cpp,0x14026adf0
engine::Search::thread,1.239918,1.239918,0.0,0.0,9661870000,26.1,26.1,0.707688,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x1402214b6
chess::Position::removePiece,1.180922,1.180922,0.0,0.0,11395975000,28.8,28.8,0.555059,frankycpp_v1.8.exe,chess::Position::removePiece(class chess::Square),Position.cpp,0x14025da60
std::_Checked_popcount<unsigned __int64>,1.147924,1.147924,0.0,0.0,14229245000,40.1,40.1,0.422858,frankycpp_v1.8.exe,std::_Checked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241860
chess::Position::doMove,1.091928,1.091928,0.0,0.0,11168355000,32.1,32.1,0.516761,frankycpp_v1.8.exe,chess::Position::doMove(class chess::Move),Position.cpp,0x14025bcc0
engine::Evaluator::evaluate,1.054930,1.054930,0.0,0.0,16927740000,51.1,51.1,0.343949,frankycpp_v1.8.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x140269cc0
engine::Search::thread,1.046931,1.046931,0.0,0.0,7948730000,25.7,25.7,0.700829,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x1402207e3
engine::Evaluator::threatEval,1.009933,1.009933,0.0,0.0,14019595000,47.9,47.9,0.366588,frankycpp_v1.8.exe,"engine::Evaluator::threatEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b610
chess::Position::putPiece,0.871942,0.871942,0.0,0.0,8844235000,36.0,36.0,0.502540,frankycpp_v1.8.exe,"chess::Position::putPiece(enum chess::Piece,class chess::Square)",Position.cpp,0x14025d950
chess::Position::isAttacked,0.765949,0.765949,0.0,0.0,11012615000,48.1,48.1,0.383193,frankycpp_v1.8.exe,"chess::Position::isAttacked(class chess::Square,class chess::Color)",Position.cpp,0x14025c520
"std::_Atomic_storage<unsigned __int64,8>::load",0.686954,0.686954,0.0,0.0,2437930000,12.3,12.3,1.552826,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140267927
engine::PawnTT::probe,0.656956,0.656956,0.0,0.0,6358385000,35.2,35.2,0.542157,frankycpp_v1.8.exe,"engine::PawnTT::probe(unsigned __int64,int)",PawnTT.cpp,0x1402678f0
engine::See::see,0.624959,0.624959,0.0,0.0,8772355000,45.3,45.3,0.405258,frankycpp_v1.8.exe,"engine::See::see(class chess::Position const &,class chess::Move)",See.cpp,0x14029eaf0
engine::Evaluator::knightEval,0.607960,0.607960,0.0,0.0,8934085000,47.6,47.6,0.360375,frankycpp_v1.8.exe,"engine::Evaluator::knightEval(class chess::Position const &,struct chess::Score &,class chess::Color,class chess::Color,class chess::Square)",Evaluator.cpp,0x14026ab00
engine::Evaluator::bishopEval,0.587961,0.587961,0.0,0.0,8757380000,47.0,47.0,0.352257,frankycpp_v1.8.exe,engine::Evaluator::bishopEval,Evaluator.cpp,0x14026a9e8
chess::MoveGenerator::generatePawnMoves,0.536964,0.536964,0.0,0.0,7092160000,40.6,40.6,0.406250,frankycpp_v1.8.exe,"chess::MoveGenerator::generatePawnMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x1402633e0
func@0x1800126c0,0.416972,0.416972,0.0,0.0,0,1.2,1.2,,vcruntime140.dll,func@0x1800126c0,[Unknown],0x1800126c0
chess::Position::undoMove,0.413973,0.413973,0.0,0.0,4109140000,33.6,33.6,0.496356,frankycpp_v1.8.exe,chess::Position::undoMove(void),Position.cpp,0x14025c1a0
chess::Position::wasLegalMove,0.409973,0.409973,0.0,0.0,5888170000,54.3,54.3,0.348932,frankycpp_v1.8.exe,chess::Position::wasLegalMove(void),Position.cpp,0x14025ca10
chess::moveValueGreaterComparator::operator(),0.403973,0.403973,0.0,0.0,4303815000,33.6,33.6,0.496173,frankycpp_v1.8.exe,chess::moveValueGreaterComparator::operator(),move.h,0x1402370f0
"std::_Atomic_storage<unsigned __int64,8>::store",0.403973,0.403973,0.0,0.0,3492170000,21.8,21.8,0.650943,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d8ed
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.396974,0.396974,0.0,0.0,3426280000,27.2,27.2,0.710664,frankycpp_v1.8.exe,"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",xatomic.h,0x140269150
std::_Unchecked_popcount<unsigned __int64>,0.381975,0.381975,0.0,0.0,4426610000,41.6,41.6,0.452639,frankycpp_v1.8.exe,std::_Unchecked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241850
engine::Evaluator::queenEval,0.376975,0.376975,0.0,0.0,6978350000,50.9,50.9,0.333047,frankycpp_v1.8.exe,engine::Evaluator::queenEval,Evaluator.cpp,0x14026a7e9
chess::Move::encode,0.336978,0.336978,0.0,0.0,3267545000,33.8,33.8,0.541705,frankycpp_v1.8.exe,chess::Move::encode,move.h,0x140263f65
engine::TT::probe,0.317979,0.317979,0.0,0.0,1323790000,11.7,11.7,1.468326,frankycpp_v1.8.exe,"engine::TT::probe(unsigned __int64 const &,int)",TT.cpp,0x14026da40
engine::Evaluator::pawnEval,0.315979,0.315979,0.0,0.0,4588340000,50.0,50.0,0.356397,frankycpp_v1.8.exe,"engine::Evaluator::pawnEval(class chess::Position const &,struct chess::Score &)",Evaluator.cpp,0x14026a290
chess::Position::hasCheck,0.304980,0.304980,0.0,0.0,1856900000,15.8,15.8,0.859677,frankycpp_v1.8.exe,chess::Position::hasCheck(void),Position.cpp,0x14025c800
engine::See::attacksTo,0.297980,0.297980,0.0,0.0,4528440000,52.1,52.1,0.331349,frankycpp_v1.8.exe,"engine::See::attacksTo(class chess::Position const &,class chess::Square,class chess::Color)",See.cpp,0x14029ee60
chess::operator&,0.292981,0.292981,0.0,0.0,3240590000,34.4,34.4,0.453789,frankycpp_v1.8.exe,chess::operator&,bitboard.h,0x14026b6c6
"std::ranges::_Sort_fn::_Sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",0.291981,0.291981,0.0,0.0,3291505000,32.7,32.7,0.468608,frankycpp_v1.8.exe,"std::ranges::_Sort_fn::_Sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, __int64, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x140264620
chess::Bitboard::operator^=,0.288981,0.288981,0.0,0.0,3063885000,39.7,39.7,0.491691,frankycpp_v1.8.exe,chess::Bitboard::operator^=,bitboard.h,0x14025dab5
chess::MoveGenerator::generateKingMoves,0.287981,0.287981,0.0,0.0,3153735000,39.6,39.6,0.457740,frankycpp_v1.8.exe,"chess::MoveGenerator::generateKingMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool)",MoveGenerator.cpp,0x1402640d0
"std::array<int,64>::operator[]",0.279981,0.279981,0.0,0.0,4067210000,42.6,42.6,0.397644,frankycpp_v1.8.exe,"std::array<int,64>::operator[]",array,0x140263277
chess::Bitboard::shifted,0.261983,0.261983,0.0,0.0,4399655000,48.8,48.8,0.304289,frankycpp_v1.8.exe,chess::Bitboard::shifted,bitboard.h,0x1402634dd
chess::Bitboard::operator bool,0.254983,0.254983,0.0,0.0,3312470000,38.6,38.6,0.424955,frankycpp_v1.8.exe,chess::Bitboard::operator bool,bitboard.h,0x140263f04
engine::Search::storeTt,0.234984,0.234984,0.0,0.0,2821290000,37.5,37.5,0.486200,frankycpp_v1.8.exe,"engine::Search::storeTt(class chess::Position const &,enum chess::Depth,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",Search.cpp,0x1402218e0
engine::See::revealedAttacks,0.219985,0.219985,0.0,0.0,3297495000,43.9,43.9,0.382380,frankycpp_v1.8.exe,"engine::See::revealedAttacks(class chess::Position const &,class chess::Square,class chess::Bitboard,class chess::Color)",See.cpp,0x14029efb0
"std::array<unsigned __int64,64>::operator[]",0.219985,0.219985,0.0,0.0,2758395000,36.2,36.2,0.474484,frankycpp_v1.8.exe,"std::array<unsigned __int64,64>::operator[]",array,0x14025daa2
std::_Countr_zero_tzcnt<unsigned __int64>,0.210986,0.210986,0.0,0.0,2728445000,39.1,39.1,0.414929,frankycpp_v1.8.exe,std::_Countr_zero_tzcnt<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x1402658b0
chess::Position::movePiece,0.200987,0.200987,0.0,0.0,2201325000,37.3,37.3,0.429932,frankycpp_v1.8.exe,"chess::Position::movePiece(class chess::Square,class chess::Square)",Position.cpp,0x14025d920
chess::makePiece,0.190987,0.190987,0.0,0.0,2018630000,30.5,30.5,0.537092,frankycpp_v1.8.exe,chess::makePiece,piece.h,0x14026b27c
engine::TT::getClusterIndex,0.189987,0.189987,0.0,0.0,1063225000,20.6,20.6,1.073239,frankycpp_v1.8.exe,engine::TT::getClusterIndex,TT.h,0x14026da6a
chess::Square::{ctor},0.187988,0.187988,0.0,0.0,3078860000,41.4,41.4,0.353113,frankycpp_v1.8.exe,chess::Square::{ctor},square.h,0x14025c885
std::countr_zero,0.183988,0.183988,0.0,0.0,2153405000,42.8,42.8,0.414465,frankycpp_v1.8.exe,std::countr_zero,bit,0x140263eb2
engine::TT::Entry::{ctor},0.180988,0.180988,0.0,0.0,422295000,8.1,8.1,2.297872,frankycpp_v1.8.exe,engine::TT::Entry::{ctor},TT.h,0x14026da8e
chess::MoveGenerator::isPseudoLegal,0.178988,0.178988,0.0,0.0,1251910000,24.1,24.1,0.746411,frankycpp_v1.8.exe,"chess::MoveGenerator::isPseudoLegal(class chess::Position const &,class chess::Move)",MoveGenerator.cpp,0x1402613c0
chess::Move::operator==,0.174988,0.174988,0.0,0.0,2354070000,40.3,40.3,0.377863,frankycpp_v1.8.exe,chess::Move::operator==,PVTable.h,0x1402632e6
chess::operator*,0.167989,0.167989,0.0,0.0,2057565000,38.0,38.0,0.465793,frankycpp_v1.8.exe,chess::operator*,value.h,0x14026a1b5
"std::array<chess::Bitboard,64>::operator[]",0.164989,0.164989,0.0,0.0,2524785000,42.8,42.8,0.373665,frankycpp_v1.8.exe,"std::array<chess::Bitboard,64>::operator[]",array,0x14016ca40
chess::Position::getPiece,0.161989,0.161989,0.0,0.0,1449580000,33.0,33.0,0.570248,frankycpp_v1.8.exe,chess::Position::getPiece,Position.h,0x14026b275
chess::Bitboard::operator|=,0.154990,0.154990,0.0,0.0,1743090000,35.9,35.9,0.426117,frankycpp_v1.8.exe,chess::Bitboard::operator|=,bitboard.h,0x14025d9a2
chess::Bitboard::shifted,0.153990,0.153990,0.0,0.0,1808980000,36.9,36.9,0.476821,frankycpp_v1.8.exe,chess::Bitboard::shifted(class chess::Direction),bitboard.h,0x1402656a0
engine::Search::sendSearchUpdateToUci,0.150990,0.150990,0.0,0.0,488185000,11.5,11.5,1.687117,frankycpp_v1.8.exe,engine::Search::sendSearchUpdateToUci(void),Search.cpp,0x14022acb0
chess::operator<,0.148990,0.148990,0.0,0.0,1823955000,35.0,35.0,0.433498,frankycpp_v1.8.exe,chess::operator<,rank.h,0x14026b264
chess::StaticMoveList<256>::push_back,0.142991,0.142991,0.0,0.0,1374705000,34.8,34.8,0.435730,frankycpp_v1.8.exe,chess::StaticMoveList<256>::push_back,staticmovelist.h,0x140264046
engine::PawnTT::Entry::Entry,0.134991,0.134991,0.0,0.0,1973705000,47.8,47.8,0.330804,frankycpp_v1.8.exe,engine::PawnTT::Entry::Entry(struct engine::PawnTT::Entry const &),PawnTT.cpp,0x140266910
chess::Move::operator==,0.128991,0.128991,0.0,0.0,1740095000,45.9,45.9,0.320138,frankycpp_v1.8.exe,chess::Move::operator==,PVTable.h,0x1402201b8
chess::Position::getPieceBb,0.128991,0.128991,0.0,0.0,1069215000,23.5,23.5,0.641457,frankycpp_v1.8.exe,chess::Position::getPieceBb,Position.h,0x140263411
chess::Value::operator int,0.127992,0.127992,0.0,0.0,892510000,23.8,23.8,0.758389,frankycpp_v1.8.exe,chess::Value::operator int,value.h,0x14025db39
chess::Position::getLastMove,0.126992,0.126992,0.0,0.0,1341760000,34.4,34.4,0.517857,frankycpp_v1.8.exe,chess::Position::getLastMove,Position.h,0x1402632b0
std::popcount,0.120992,0.120992,0.0,0.0,1713140000,42.7,42.7,0.389860,frankycpp_v1.8.exe,std::popcount,bit,0x14026b6df
engine::See::getLeastValuablePiece,0.119992,0.119992,0.0,0.0,2222290000,58.0,58.0,0.291105,frankycpp_v1.8.exe,"engine::See::getLeastValuablePiece(class chess::Position const &,class chess::Bitboard,class chess::Color)",See.cpp,0x14029ede0
chess::Bitboard::popLSB,0.118992,0.118992,0.0,0.0,742760000,21.0,21.0,0.693548,frankycpp_v1.8.exe,chess::Bitboard::popLSB,bitboard.h,0x14026b820
chess::typeOf,0.117992,0.117992,0.0,0.0,1500495000,34.4,34.4,0.455090,frankycpp_v1.8.exe,chess::typeOf,piece.h,0x14025da84
