Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
chess::Attacks::`anonymous namespace'::sliderLookup,8.552433,8.552433,0.0,0.0,2.7,2.7,6.1,0.8,0.7,1.0,5.7,2.0,4.0,0.7,0.0,0.0,0.0,0.0,0.0,,,125349735000,0.369985,5422734761.359756
"std::_Atomic_storage<unsigned __int64,8>::load",6.265585,6.265585,0.0,0.0,51.2,51.2,0.0,0.3,18.8,51.9,70.2,1.9,0.5,25.4,1.4,0.0,0.0,0.0,0.0,,,15894465000,2.133220,5411529431.619215
chess::Attacks::attacks,4.652691,4.652691,0.0,0.0,4.9,4.9,5.7,1.6,0.6,2.1,5.4,0.8,3.2,1.6,0.2,0.0,0.0,0.0,0.0,,,68294985000,0.350612,5146488900.702772
engine::Search::stopConditions,3.714754,3.714754,0.0,0.0,24.3,24.3,0.8,0.0,29.2,5.9,47.3,0.3,0.6,0.5,0.0,0.0,0.0,0.0,0.0,,,17616590000,1.107786,5253489668.020457
[Loop at line 143 in engine::TT::put],3.641759,3.641759,0.0,0.0,32.5,32.5,4.8,0.9,40.8,0.1,31.3,1.0,1.0,5.5,0.0,0.0,0.1,0.0,100.0,,,14130410000,1.345485,5220626235.828666
[Loop at line 1662 in engine::Search::search],1.903874,1.903874,0.0,0.0,3.3,3.3,7.4,0.0,2.4,0.4,8.1,3.2,2.2,1.7,0.0,0.0,0.0,0.0,0.0,,,23411915000,0.434438,5342276505.239496
engine::Evaluator::kingEval,1.843878,1.843878,0.0,0.0,0.3,0.3,6.2,0.1,0.1,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,22914745000,0.431185,5358546746.851410
engine::Evaluator::pieceEval,1.842878,1.842878,0.0,0.0,5.5,5.5,7.3,0.0,1.0,0.1,6.4,0.7,1.1,0.9,0.3,0.0,0.0,0.0,0.0,,,23498770000,0.406322,5181059769.901248
chess::Position::givesCheck,1.606893,1.606893,0.0,0.0,1.1,1.1,8.2,0.3,0.6,0.1,3.5,0.0,4.1,0.8,0.0,0.0,0.0,0.0,0.0,,,21213585000,0.399972,5280272340.260112
"std::_Atomic_storage<unsigned __int64,8>::store",1.461903,1.461903,0.0,0.0,45.9,45.9,14.7,1.5,40.7,0.0,51.5,18.6,1.6,9.8,0.2,0.0,0.0,0.0,0.0,,,3207645000,2.552754,5601144315.187414
