Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
chess::Attacks::`anonymous namespace'::sliderLookup,8.658425,2.5,6.4,0.7,0.7,1.0,0.8,5.9,3.9,0.1,0.0,0.0,34828144813,17226816789,3301386,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
"std::_Atomic_storage<unsigned __int64,8>::load",8.148459,59.0,4.9,0.0,18.2,44.1,0.1,68.9,3.2,0.1,1.1,0.4,9099472976,7446723395,0,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026da82
engine::TT::put,5.243652,27.4,0.0,0.8,35.8,0.0,0.4,33.2,4.4,0.2,1.6,0.0,6962308863,4353030587,0,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value,int)",TT.cpp,0x14026d800
chess::Attacks::attacks,4.475703,3.2,5.5,0.5,0.5,2.0,0.8,5.9,2.3,0.1,0.0,0.0,18993069775,10071302130,550231,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
engine::Evaluator::kingEval,3.085795,0.2,7.5,0.0,0.1,0.1,0.0,1.8,0.6,0.0,0.0,0.0,7003010084,2674980247,0,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b1c0
engine::Search::search,2.644824,3.4,8.1,0.1,1.8,0.3,0.5,10.3,2.7,0.0,0.1,0.0,9375081244,3911617345,550231,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f460
engine::Evaluator::pieceEval,1.951870,5.6,6.0,0.4,0.8,0.2,3.9,4.2,0.9,0.0,0.0,0.0,7029010864,5111753348,550231,frankycpp_v1.8.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x14026a750
engine::Search::qsearch,1.853877,2.4,5.9,0.9,2.2,0.9,0.6,15.8,16.9,0.0,0.3,0.0,5373961214,2332169963,0,frankycpp_v1.8.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x140220e90
chess::Position::givesCheck,1.593894,0.9,4.7,0.7,0.1,0.0,0.7,4.0,3.3,0.1,0.0,0.0,6399991994,2876286286,0,frankycpp_v1.8.exe,chess::Position::givesCheck(class chess::Move),Position.cpp,0x14025c850
"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",1.510900,1.0,12.5,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1840155203,1377741331,550231,frankycpp_v1.8.exe,"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x1402370d0
std::_Checked_x86_x64_countr_zero<unsigned __int64>,1.481902,1.2,8.0,0.6,0.4,0.0,1.7,2.3,0.0,0.0,0.0,0.0,5055451659,3121893654,550231,frankycpp_v1.8.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x1402658c0
chess::MoveGenerator::getNextPseudoLegalMove,1.388908,3.7,7.5,0.0,1.2,0.2,1.4,3.9,3.0,0.1,0.0,0.0,5883776508,2862085860,0,frankycpp_v1.8.exe,"chess::MoveGenerator::getNextPseudoLegalMove(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140261130
engine::Evaluator::coordinationEval,1.381908,0.0,18.0,0.2,0.0,0.2,0.0,4.7,0.0,0.0,0.0,0.0,3059091770,1383741511,0,frankycpp_v1.8.exe,"engine::Evaluator::coordinationEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b7b0
engine::Evaluator::rookEval,1.366909,3.0,5.6,0.5,0.0,0.0,2.3,4.1,1.5,0.1,0.0,0.0,5678870361,3677410319,0,frankycpp_v1.8.exe,"engine::Evaluator::rookEval(class chess::Position const &,struct chess::Score &,class chess::Color,class chess::Color,class chess::Square)",Evaluator.cpp,0x14026adf0
chess::MoveGenerator::updateSortValues,1.349910,1.6,6.7,2.1,1.5,1.5,0.0,8.5,4.2,0.4,0.1,0.0,4153124590,1525145753,0,frankycpp_v1.8.exe,"chess::MoveGenerator::updateSortValues(class chess::Position const &,class chess::StaticMoveList<256> *)",MoveGenerator.cpp,0x1402631b0
chess::MoveGenerator::fillOnDemandMoveList,1.304913,1.6,9.4,1.0,0.0,0.0,0.5,6.0,0.0,0.1,0.1,0.0,4467834031,2987989637,0,frankycpp_v1.8.exe,"chess::MoveGenerator::fillOnDemandMoveList(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140262e60
"std::_Atomic_storage<unsigned __int64,8>::store",1.298914,45.2,16.3,1.4,46.4,0.2,0.3,61.5,2.5,0.9,2.2,0.0,761222836,517115513,0,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d9fc
engine::Search::thread,1.275915,0.9,1.6,2.3,1.2,0.2,0.0,37.1,68.1,0.0,0.0,0.0,3292198763,874626238,0,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x1402214b6
chess::MoveGenerator::generateMoves,1.183921,2.0,5.7,0.7,0.0,0.2,2.9,3.6,1.0,0.1,0.0,0.0,3154094620,2280168403,0,frankycpp_v1.8.exe,"chess::MoveGenerator::generateMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x140263e10
std::_Checked_popcount<unsigned __int64>,1.120926,2.0,13.8,0.2,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4113523402,2229066870,550231,frankycpp_v1.8.exe,std::_Checked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241860
engine::Evaluator::evaluate,1.107926,1.6,15.5,0.2,0.4,0.0,1.8,4.3,1.8,0.0,0.0,0.0,4771543142,2795483862,550231,frankycpp_v1.8.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x140269cc0
engine::Search::thread,1.054930,0.3,2.8,1.8,3.6,0.2,0.0,30.6,74.4,0.0,0.0,0.0,2927687828,744322329,0,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x1402207e3
engine::Evaluator::threatEval,1.005933,0.0,13.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4563036887,2195365859,0,frankycpp_v1.8.exe,"engine::Evaluator::threatEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b610
chess::Position::removePiece,0.884941,7.7,7.9,0.0,2.3,0.3,1.8,2.2,3.1,0.0,0.1,0.0,3307099210,1904557135,0,frankycpp_v1.8.exe,chess::Position::removePiece(class chess::Square),Position.cpp,0x14025da60
chess::Position::doMove,0.810946,5.9,7.1,1.5,0.0,0.0,5.8,3.7,0.0,0.0,0.0,0.0,3397601925,1513145393,0,frankycpp_v1.8.exe,chess::Position::doMove(class chess::Move),Position.cpp,0x14025bcc0
chess::Position::isAttacked,0.765949,8.9,3.3,3.1,3.9,3.1,0.0,3.5,2.9,0.0,0.1,0.8,3660309806,2324369729,0,frankycpp_v1.8.exe,"chess::Position::isAttacked(class chess::Square,class chess::Color)",Position.cpp,0x14025c520
