Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
chess::Attacks::`anonymous namespace'::sliderLookup,8.455439,8.455439,0.0,0.0,125754060000,43.4,43.4,0.369820,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
"std::_Atomic_storage<unsigned __int64,8>::load",6.457572,6.457572,0.0,0.0,15909440000,7.7,7.7,2.225339,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026da82
chess::Attacks::attacks,4.510701,4.510701,0.0,0.0,67989495000,46.9,46.9,0.358839,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
engine::TT::put,4.349712,4.349712,0.0,0.0,20153355000,16.5,16.5,1.156338,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value,int)",TT.cpp,0x14026d800
engine::Search::stopConditions,3.649758,3.649758,0.0,0.0,17191300000,15.2,15.2,1.159233,frankycpp_v1.8.exe,engine::Search::stopConditions(void),Search.cpp,0x140225c90
engine::Evaluator::kingEval,3.240785,3.240785,0.0,0.0,41193230000,36.5,36.5,0.419005,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b1c0
engine::Search::search,2.766817,2.766817,0.0,0.0,30195590000,34.8,34.8,0.475203,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f460
engine::Evaluator::pieceEval,2.009867,2.009867,0.0,0.0,28129040000,44.9,44.9,0.383837,frankycpp_v1.8.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x14026a750
engine::Search::qsearch,1.875876,1.875876,0.0,0.0,15975330000,28.0,28.0,0.595801,frankycpp_v1.8.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x140220e90
chess::MoveGenerator::getNextPseudoLegalMove,1.505900,1.505900,0.0,0.0,18922410000,41.8,41.8,0.400601,frankycpp_v1.8.exe,"chess::MoveGenerator::getNextPseudoLegalMove(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140261130
"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",1.483902,1.483902,0.0,0.0,12836570000,25.7,25.7,0.615726,frankycpp_v1.8.exe,"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x1402370d0
chess::Position::givesCheck,1.478902,1.478902,0.0,0.0,21713750000,41.0,41.0,0.381241,frankycpp_v1.8.exe,chess::Position::givesCheck(class chess::Move),Position.cpp,0x14025c850
chess::MoveGenerator::updateSortValues,1.461903,1.461903,0.0,0.0,16837890000,38.6,38.6,0.431341,frankycpp_v1.8.exe,"chess::MoveGenerator::updateSortValues(class chess::Position const &,class chess::StaticMoveList<256> *)",MoveGenerator.cpp,0x1402631b0
std::_Checked_x86_x64_countr_zero<unsigned __int64>,1.453904,1.453904,0.0,0.0,22240870000,47.5,47.5,0.354026,frankycpp_v1.8.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x1402658c0
engine::Evaluator::rookEval,1.358910,1.358910,0.0,0.0,21144700000,50.8,50.8,0.347592,frankycpp_v1.8.exe,"engine::Evaluator::rookEval(class chess::Position const &,struct chess::Score &,class chess::Color,class chess::Color,class chess::Square)",Evaluator.cpp,0x14026adf0
engine::Evaluator::coordinationEval,1.353910,1.353910,0.0,0.0,13106120000,30.0,30.0,0.558044,frankycpp_v1.8.exe,"engine::Evaluator::coordinationEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b7b0
chess::MoveGenerator::fillOnDemandMoveList,1.256917,1.256917,0.0,0.0,16969670000,41.3,41.3,0.400459,frankycpp_v1.8.exe,"chess::MoveGenerator::fillOnDemandMoveList(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140262e60
chess::MoveGenerator::generateMoves,1.242918,1.242918,0.0,0.0,15933400000,39.8,39.8,0.415602,frankycpp_v1.8.exe,"chess::MoveGenerator::generateMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x140263e10
engine::Search::thread,1.207920,1.207920,0.0,0.0,9595980000,25.8,25.8,0.710986,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x1402214b6
"std::_Atomic_storage<unsigned __int64,8>::store",1.193921,1.193921,0.0,0.0,2890175000,7.8,7.8,2.172021,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d9fc
std::_Checked_popcount<unsigned __int64>,1.131925,1.131925,0.0,0.0,15400290000,40.1,40.1,0.419292,frankycpp_v1.8.exe,std::_Checked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241860
engine::Evaluator::evaluate,1.070929,1.070929,0.0,0.0,17397955000,51.1,51.1,0.315201,frankycpp_v1.8.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x140269cc0
