Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
engine::TT::put,15.430976,15.430976,0.0,0.0,18598950000,4.5,4.5,4.375040,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14026d390
engine::TT::probe,14.167060,14.167060,0.0,0.0,17556690000,4.3,4.3,4.273627,frankycpp_v1.8.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14026d5d0
chess::Attacks::`anonymous namespace'::sliderLookup,6.731553,6.731553,0.0,0.0,97864620000,45.0,45.0,0.357847,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
chess::Attacks::attacks,3.871743,3.871743,0.0,0.0,58459405000,49.0,49.0,0.347661,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
engine::Evaluator::kingEval,2.572829,2.572829,0.0,0.0,31288765000,36.4,36.4,0.420312,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026ad90
engine::PawnTT::probe,2.552831,2.552831,0.0,0.0,11974010000,16.4,16.4,1.118059,frankycpp_v1.8.exe,engine::PawnTT::probe(unsigned __int64),PawnTT.cpp,0x140267540
"std::_Atomic_storage<unsigned __int64,8>::load",2.387842,2.387842,0.0,0.0,2884185000,4.2,4.2,4.410177,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026d603
engine::Search::stopConditions,2.381842,2.381842,0.0,0.0,11605625000,16.9,16.9,1.067871,frankycpp_v1.8.exe,engine::Search::stopConditions(void),Search.cpp,0x140225a60
"std::_Atomic_storage<unsigned __int64,8>::store",2.253850,2.253850,0.0,0.0,3078860000,4.3,4.3,3.945525,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d593
engine::Search::search,2.180855,2.180855,0.0,0.0,28170970000,42.5,42.5,0.397300,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f280
engine::PawnTT::prefetch,1.804880,1.804880,0.0,0.0,904490000,1.7,1.7,11.450331,frankycpp_v1.8.exe,engine::PawnTT::prefetch,PawnTT.h,0x1402212e0
engine::Search::qsearch,1.618893,1.618893,0.0,0.0,13354705000,25.7,25.7,0.636690,frankycpp_v1.8.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x140220ca0
engine::Evaluator::pieceEval,1.600894,1.600894,0.0,0.0,19635220000,42.6,42.6,0.417023,frankycpp_v1.8.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x14026a320
chess::MoveGenerator::getNextPseudoLegalMove,1.277915,1.277915,0.0,0.0,16769005000,44.8,44.8,0.388462,frankycpp_v1.8.exe,"chess::MoveGenerator::getNextPseudoLegalMove(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140260df0
chess::MoveGenerator::updateSortValues,1.239918,1.239918,0.0,0.0,14609610000,37.9,37.9,0.435424,frankycpp_v1.8.exe,"chess::MoveGenerator::updateSortValues(class chess::Position const &,class chess::StaticMoveList<256> *)",MoveGenerator.cpp,0x140262e70
"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",1.194921,1.194921,0.0,0.0,11689485000,26.3,26.3,0.578273,frankycpp_v1.8.exe,"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x140236d80
chess::Position::givesCheck,1.175922,1.175922,0.0,0.0,16900785000,47.3,47.3,0.344498,frankycpp_v1.8.exe,chess::Position::givesCheck(class chess::Move),Position.cpp,0x14025c510
engine::Evaluator::rookEval,1.135925,1.135925,0.0,0.0,17098455000,49.3,49.3,0.348923,frankycpp_v1.8.exe,"engine::Evaluator::rookEval(class chess::Position const &,struct chess::Score &,class chess::Color,class chess::Color,class chess::Square)",Evaluator.cpp,0x14026a9c0
chess::MoveGenerator::fillOnDemandMoveList,1.126925,1.126925,0.0,0.0,13884820000,37.4,37.4,0.437015,frankycpp_v1.8.exe,"chess::MoveGenerator::fillOnDemandMoveList(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140262b20
engine::Search::thread,1.114926,1.114926,0.0,0.0,7634255000,23.5,23.5,0.778344,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x1402212c6
chess::MoveGenerator::generateMoves,1.113926,1.113926,0.0,0.0,12977335000,39.9,39.9,0.433418,frankycpp_v1.8.exe,"chess::MoveGenerator::generateMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x140263ad0
"std::_Atomic_storage<unsigned __int64,8>::store",1.104927,1.104927,0.0,0.0,2168380000,5.4,5.4,2.679558,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d478
engine::Search::thread,1.048930,1.048930,0.0,0.0,7352725000,25.9,25.9,0.738900,frankycpp_v1.8.exe,engine::Search::thread,Search.h,0x140220604
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.994934,0.994934,0.0,0.0,17898120000,49.6,49.6,0.333835,frankycpp_v1.8.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140265580
chess::Position::doMove,0.986935,0.986935,0.0,0.0,10964695000,33.2,33.2,0.499317,frankycpp_v1.8.exe,chess::Position::doMove(class chess::Move),Position.cpp,0x14025b980
engine::Evaluator::coordinationEval,0.927938,0.927938,0.0,0.0,9311455000,32.6,32.6,0.513670,frankycpp_v1.8.exe,"engine::Evaluator::coordinationEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b380
engine::Evaluator::evaluate,0.911939,0.911939,0.0,0.0,12342395000,48.1,48.1,0.371026,frankycpp_v1.8.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x140269890
std::_Checked_popcount<unsigned __int64>,0.907940,0.907940,0.0,0.0,12357370000,42.7,42.7,0.403539,frankycpp_v1.8.exe,std::_Checked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241510
engine::Evaluator::threatEval,0.773949,0.773949,0.0,0.0,10668190000,46.6,46.6,0.395845,frankycpp_v1.8.exe,"engine::Evaluator::threatEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026b1e0
"std::_Atomic_storage<unsigned __int64,8>::load",0.689954,0.689954,0.0,0.0,443260000,2.4,2.4,8.027027,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140267581
chess::Position::isAttacked,0.678955,0.678955,0.0,0.0,9302470000,47.1,47.1,0.393110,frankycpp_v1.8.exe,"chess::Position::isAttacked(class chess::Square,class chess::Color)",Position.cpp,0x14025c1e0
engine::Evaluator::pawnEval,0.674955,0.674955,0.0,0.0,4028275000,18.9,18.9,0.928625,frankycpp_v1.8.exe,"engine::Evaluator::pawnEval(class chess::Position const &,struct chess::Score &)",Evaluator.cpp,0x140269e60
chess::Position::removePiece,0.654957,0.654957,0.0,0.0,7772025000,38.9,38.9,0.441233,frankycpp_v1.8.exe,chess::Position::removePiece(class chess::Square),Position.cpp,0x14025d720
chess::Position::putPiece,0.629958,0.629958,0.0,0.0,6849565000,39.9,39.9,0.450809,frankycpp_v1.8.exe,"chess::Position::putPiece(enum chess::Piece,class chess::Square)",Position.cpp,0x14025d610
chess::MoveGenerator::generatePawnMoves,0.622959,0.622959,0.0,0.0,6714790000,34.1,34.1,0.534344,frankycpp_v1.8.exe,"chess::MoveGenerator::generatePawnMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x1402630a0
engine::See::see,0.549964,0.549964,0.0,0.0,7469530000,46.5,46.5,0.399358,frankycpp_v1.8.exe,"engine::See::see(class chess::Position const &,class chess::Move)",See.cpp,0x14029e620
engine::Evaluator::bishopEval,0.429971,0.429971,0.0,0.0,6388335000,48.8,48.8,0.354430,frankycpp_v1.8.exe,engine::Evaluator::bishopEval,Evaluator.cpp,0x14026a5b8
func@0x1800126c0,0.423972,0.423972,0.0,0.0,8985000,0.8,0.8,258.000000,vcruntime140.dll,func@0x1800126c0,[Unknown],0x1800126c0
std::optional<engine::PawnTT::Entry>::{ctor},0.411973,0.411973,0.0,0.0,512145000,3.8,3.8,4.362573,frankycpp_v1.8.exe,std::optional<engine::PawnTT::Entry>::{ctor},optional,0x1402675a0
engine::Evaluator::knightEval,0.402973,0.402973,0.0,0.0,5190335000,46.0,46.0,0.371610,frankycpp_v1.8.exe,"engine::Evaluator::knightEval(class chess::Position const &,struct chess::Score &,class chess::Color,class chess::Color,class chess::Square)",Evaluator.cpp,0x14026a6d0
engine::PawnTT::Entry::Entry,0.376975,0.376975,0.0,0.0,796670000,6.9,6.9,2.548872,frankycpp_v1.8.exe,engine::PawnTT::Entry::Entry(struct engine::PawnTT::Entry const &),PawnTT.cpp,0x1402665d0
engine::Evaluator::queenEval,0.347977,0.347977,0.0,0.0,5438920000,51.8,51.8,0.328194,frankycpp_v1.8.exe,engine::Evaluator::queenEval,Evaluator.cpp,0x14026a3b9
chess::Position::wasLegalMove,0.344977,0.344977,0.0,0.0,4983680000,48.4,48.4,0.371394,frankycpp_v1.8.exe,chess::Position::wasLegalMove(void),Position.cpp,0x14025c6d0
std::_Unchecked_popcount<unsigned __int64>,0.325978,0.325978,0.0,0.0,3429275000,39.0,39.0,0.452402,frankycpp_v1.8.exe,std::_Unchecked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241500
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.304980,0.304980,0.0,0.0,1111145000,12.1,12.1,1.539084,frankycpp_v1.8.exe,"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",xatomic.h,0x140268d20
chess::Position::undoMove,0.295980,0.295980,0.0,0.0,3435265000,37.9,37.9,0.413252,frankycpp_v1.8.exe,chess::Position::undoMove(void),Position.cpp,0x14025be60
"std::ranges::_Sort_fn::_Sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",0.288981,0.288981,0.0,0.0,2887180000,29.4,29.4,0.463693,frankycpp_v1.8.exe,"std::ranges::_Sort_fn::_Sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, __int64, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x1402642e0
chess::moveValueGreaterComparator::operator(),0.284981,0.284981,0.0,0.0,3201655000,33.2,33.2,0.484565,frankycpp_v1.8.exe,chess::moveValueGreaterComparator::operator(),move.h,0x140236da0
chess::Move::encode,0.277982,0.277982,0.0,0.0,2995000000,34.3,34.3,0.502000,frankycpp_v1.8.exe,chess::Move::encode,move.h,0x140263c25
chess::Bitboard::shifted,0.248983,0.248983,0.0,0.0,4390670000,50.8,50.8,0.329468,frankycpp_v1.8.exe,chess::Bitboard::shifted,bitboard.h,0x14026319d
chess::MoveGenerator::generateKingMoves,0.242984,0.242984,0.0,0.0,2650575000,41.3,41.3,0.475706,frankycpp_v1.8.exe,"chess::MoveGenerator::generateKingMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140263d90
chess::Position::hasCheck,0.240984,0.240984,0.0,0.0,1542425000,18.2,18.2,0.819417,frankycpp_v1.8.exe,chess::Position::hasCheck(void),Position.cpp,0x14025c4c0
engine::See::attacksTo,0.240984,0.240984,0.0,0.0,3498160000,53.4,53.4,0.351884,frankycpp_v1.8.exe,"engine::See::attacksTo(class chess::Position const &,class chess::Square,class chess::Color)",See.cpp,0x14029e990
"std::array<int,64>::operator[]",0.226985,0.226985,0.0,0.0,3297495000,39.7,39.7,0.419619,frankycpp_v1.8.exe,"std::array<int,64>::operator[]",array,0x140262f37
engine::See::revealedAttacks,0.213986,0.213986,0.0,0.0,2638595000,49.9,49.9,0.382520,frankycpp_v1.8.exe,"engine::See::revealedAttacks(class chess::Position const &,class chess::Square,class chess::Bitboard,class chess::Color)",See.cpp,0x14029eae0
"std::array<chess::Bitboard,64>::operator[]",0.187988,0.187988,0.0,0.0,2416965000,49.9,49.9,0.338290,frankycpp_v1.8.exe,"std::array<chess::Bitboard,64>::operator[]",array,0x14016ca40
chess::Bitboard::operator bool,0.186988,0.186988,0.0,0.0,2578695000,37.2,37.2,0.430894,frankycpp_v1.8.exe,chess::Bitboard::operator bool,bitboard.h,0x140263bc4
chess::Bitboard::operator^=,0.173988,0.173988,0.0,0.0,2138430000,38.2,38.2,0.432773,frankycpp_v1.8.exe,chess::Bitboard::operator^=,bitboard.h,0x14025d775
chess::Position::movePiece,0.167989,0.167989,0.0,0.0,2021625000,42.2,42.2,0.434074,frankycpp_v1.8.exe,"chess::Position::movePiece(class chess::Square,class chess::Square)",Position.cpp,0x14025d5e0
chess::operator&,0.164989,0.164989,0.0,0.0,2069545000,36.3,36.3,0.435601,frankycpp_v1.8.exe,chess::operator&,bitboard.h,0x14026b296
"std::array<unsigned __int64,64>::operator[]",0.160989,0.160989,0.0,0.0,2174370000,39.6,39.6,0.444904,frankycpp_v1.8.exe,"std::array<unsigned __int64,64>::operator[]",array,0x14025d762
chess::makePiece,0.153990,0.153990,0.0,0.0,1593340000,32.9,32.9,0.620301,frankycpp_v1.8.exe,chess::makePiece,piece.h,0x14026ae4c
