Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
engine::TT::probe,26.002276,26.002276,0.0,0.0,60.2,60.2,0.4,0.0,62.5,5.8,66.2,0.2,0.6,23.3,0.0,0.0,0.0,0.0,0.0,,,17116425000,7.957305,5238026949.966467
engine::TT::put,24.331386,24.331386,0.0,0.0,62.3,62.3,0.0,0.4,70.3,0.0,42.5,0.3,1.1,17.9,0.0,0.0,0.3,0.0,100.0,AVX(128),,22261835000,5.832235,5336163059.319772
engine::TT::prefetch,9.106396,9.106396,0.0,0.0,62.7,62.7,0.0,0.3,70.9,0.0,74.3,0.1,2.2,13.0,0.0,0.0,0.0,0.0,0.0,,,10545395000,4.479409,5187248573.714286
engine::TT::prefetch,8.238454,8.238454,0.0,0.0,62.4,62.4,2.6,0.8,67.3,0.0,67.0,0.6,2.4,17.1,0.0,0.0,0.0,0.0,0.0,,,9823600000,4.414939,5264409677.396286
chess::Attacks::`anonymous namespace'::sliderLookup,7.609495,7.609495,0.0,0.0,4.7,4.7,7.5,0.6,1.5,1.4,9.5,3.0,6.3,1.1,0.0,0.0,0.0,0.0,0.0,,,108781395000,0.370557,5297290188.469382
"std::_Atomic_storage<unsigned __int64,8>::store",6.180590,6.180590,0.0,0.0,97.5,97.5,75.9,0.6,18.9,0.0,57.8,51.2,1.0,10.0,0.0,0.0,0.0,0.0,0.0,,,2830275000,11.415873,5227665879.123767
chess::Attacks::attacks,4.222720,4.222720,0.0,0.0,8.5,8.5,5.4,0.0,4.1,0.3,8.4,0.8,1.5,2.6,0.1,0.0,0.0,0.0,0.0,,,62730275000,0.361566,5371214589.117689
"std::_Atomic_storage<unsigned __int64,8>::load",3.722753,3.722753,0.0,0.0,66.8,66.8,6.9,0.7,15.5,56.5,66.4,6.0,1.8,65.1,0.0,0.0,0.0,0.0,0.0,,,9913450000,2.046224,5448960598.292775
engine::Search::stopConditions,2.445838,2.445838,0.0,0.0,17.1,17.1,0.0,0.0,27.0,8.4,38.2,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,,,9592985000,1.329379,5214045690.116108
engine::PawnTT::probe,2.417840,2.417840,0.0,0.0,34.2,34.2,1.6,3.6,26.6,0.8,29.3,0.0,1.6,0.7,0.4,0.0,1.8,0.0,100.0,,,15301455000,0.879428,5565520031.267162
[Loop at line 1661 in engine::Search::search],1.843878,1.843878,0.0,0.0,16.3,16.3,9.1,1.1,2.8,0.1,10.2,3.5,0.9,1.0,0.0,0.0,0.0,0.0,0.0,,,23771315000,0.398891,5142515648.724512
"std::_Atomic_storage<unsigned __int64,8>::store",1.683888,1.683888,0.0,0.0,57.9,57.9,62.4,0.0,18.1,0.1,75.8,69.1,1.5,29.9,0.0,0.0,0.0,0.0,0.0,,,3495165000,2.644387,5488825989.315914
[Loop at line 149 in engine::TT::put],1.655890,1.655890,0.0,0.0,54.6,54.6,7.7,3.1,48.5,0.1,32.9,1.3,1.3,53.3,0.0,0.0,0.0,0.0,0.0,,,2593670000,3.467667,5431510555.485507
engine::Evaluator::kingEval,1.606893,1.606893,0.0,0.0,0.3,0.3,7.6,0.2,0.0,0.1,2.0,0.7,1.7,0.1,0.0,0.0,0.0,0.0,0.0,,,20662505000,0.420641,5408877671.721220
engine::Search::thread,1.501900,1.501900,0.0,0.0,75.7,75.7,12.0,9.5,52.9,0.6,90.5,70.0,0.4,11.4,0.0,0.0,0.0,0.0,0.0,,,302495000,26.415842,5320366138.151797
chess::MoveGenerator::getNextPseudoLegalMove,1.417906,1.417906,0.0,0.0,15.7,15.7,8.0,0.1,2.8,0.3,10.3,1.3,1.9,1.3,0.2,0.0,0.1,0.0,100.0,,,18008935000,0.394479,5010304051.915374
engine::Search::thread,1.400907,1.400907,0.0,0.0,79.4,79.4,16.1,5.7,50.7,0.6,89.1,59.8,0.5,15.2,0.0,0.0,0.0,0.0,0.0,,,449250000,16.220000,5201511964.256959
engine::Evaluator::pieceEval,1.308913,1.308913,0.0,0.0,8.6,8.6,3.0,0.1,2.3,0.1,7.1,1.4,0.4,0.5,0.1,0.0,0.0,0.0,0.0,,,18802610000,0.409844,5887430152.669213
chess::Position::givesCheck,1.296914,1.296914,0.0,0.0,10.1,10.1,6.3,0.0,1.1,0.1,5.8,0.4,4.6,1.0,0.1,0.0,0.0,0.0,0.0,,,17397955000,0.381133,5112852553.887433
chess::Position::doMove,1.267916,1.267916,0.0,0.0,32.8,32.8,3.8,0.8,2.0,0.3,7.9,0.9,6.0,1.2,0.0,0.0,0.0,0.0,0.0,,,11749385000,0.586796,5437655553.356467
std::_Checked_x86_x64_countr_zero<unsigned __int64>,1.218919,1.218919,0.0,0.0,5.9,5.9,8.9,1.3,1.7,0.2,2.2,0.9,1.8,0.1,0.0,0.0,0.2,0.0,100.0,,,19233890000,0.324198,5115671487.691550
chess::MoveGenerator::fillOnDemandMoveList,1.181922,1.181922,0.0,0.0,27.6,27.6,7.1,0.6,1.7,0.0,7.4,0.0,0.6,0.4,0.1,0.0,0.2,0.0,100.0,,,12743725000,0.495417,5341690954.165821
engine::Evaluator::rookEval,1.115926,1.115926,0.0,0.0,2.6,2.6,6.6,0.0,0.5,0.1,3.9,0.6,4.0,0.9,0.2,0.0,0.0,0.0,0.0,,,19018250000,0.304882,5195971813.448029
engine::Search::qsearch,1.079928,1.079928,0.0,0.0,44.5,44.5,20.0,0.0,14.3,1.2,20.7,3.1,0.3,7.2,0.0,0.0,0.6,0.0,100.0,,,8448895000,0.722439,5652050744.318519
chess::Position::removePiece,1.033931,1.033931,0.0,0.0,15.4,15.4,9.4,0.4,9.4,0.2,20.6,4.3,3.4,5.8,0.0,0.0,0.0,0.0,0.0,,,8676515000,0.624784,5243045954.235977
[Loop at line 803 in chess::MoveGenerator::updateSortValues],1.026932,1.026932,0.0,0.0,5.1,5.1,4.1,0.6,5.5,5.0,13.3,2.4,12.7,5.9,1.2,0.0,0.0,0.0,0.0,,,11497805000,0.450899,5048382497.631938
engine::Evaluator::evaluate,1.024932,1.024932,0.0,0.0,9.8,9.8,11.4,0.3,2.4,0.0,44.0,4.9,0.8,0.5,0.3,0.0,0.0,0.0,0.0,AVX(128); AVX(256),,13225920000,0.435236,5616362695.625365
engine::PawnTT::Entry::Entry,0.938938,0.938938,0.0,0.0,78.8,78.8,3.3,0.0,11.0,0.4,59.4,0.0,2.0,20.8,45.5,0.0,0.0,0.0,0.0,AVX(128),,599000000,8.645000,5515120796.391906
std::_Checked_popcount<unsigned __int64>,0.929938,0.929938,0.0,0.0,1.1,1.1,11.2,0.6,0.7,0.0,3.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13887815000,0.375243,5603920013.677419
engine::Evaluator::threatEval,0.869942,0.869942,0.0,0.0,0.9,0.9,18.2,0.1,0.1,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.0,0.0,0.0,,,11392980000,0.441115,5776946319.291954
engine::Evaluator::coordinationEval,0.855943,0.855943,0.0,0.0,1.0,1.0,17.5,0.2,0.1,0.0,2.5,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9314450000,0.486495,5294083556.266356
engine::Search::search,0.798947,0.798947,0.0,0.0,42.5,42.5,25.0,0.9,14.5,0.3,47.0,38.1,0.5,6.3,0.0,0.0,0.0,0.0,0.0,,,5729435000,0.740721,5311885426.628285
chess::MoveGenerator::generatePawnMoves,0.742951,0.742951,0.0,0.0,64.2,64.2,3.0,0.0,2.0,0.1,11.7,1.2,1.5,0.3,0.0,0.0,0.0,0.0,0.0,,,4717125000,0.858413,5450213385.001347
chess::Position::isAttacked,0.733951,0.733951,0.0,0.0,12.2,12.2,5.7,0.0,11.2,0.8,6.3,2.7,0.2,1.8,0.1,0.0,0.0,0.0,0.0,,,9356380000,0.408451,5206912056.305177
[Loop at line 1029 in chess::MoveGenerator::generateMoves],0.710953,0.710953,0.0,0.0,6.5,6.5,3.3,1.6,0.5,0.0,3.0,2.3,3.2,0.5,0.1,0.0,0.0,0.0,0.0,,,8233255000,0.489996,5674448033.637131
chess::Position::putPiece,0.700954,0.700954,0.0,0.0,20.4,20.4,18.2,2.6,9.7,0.2,21.0,0.0,3.3,4.3,0.0,0.0,0.0,0.0,0.0,,,7277850000,0.488477,5071755736.713266
[Loop at line 818 in engine::Evaluator::kingEval],0.689954,0.689954,0.0,0.0,1.2,1.2,9.1,0.1,0.1,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.0,0.0,0.0,,,7870860000,0.464231,5295858443.710145
engine::Evaluator::pawnEval,0.689954,0.689954,0.0,0.0,78.6,78.6,3.4,1.4,1.7,0.1,22.6,0.0,0.2,12.9,0.3,0.0,1.0,0.0,100.0,,,3513135000,1.059676,5395698397.976811
