Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
engine::TT::probe,29.347054,29.347054,0.0,0.0,19847865000,2.7,2.7,7.716312,frankycpp_v1.8.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14026d5d0
engine::TT::put,29.208063,29.208063,0.0,0.0,27628875000,3.5,3.5,5.595664,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14026d390
engine::TT::prefetch,9.585364,9.585364,0.0,0.0,11845225000,4.4,4.4,4.187611,frankycpp_v1.8.exe,engine::TT::prefetch,TT.h,0x1402205ee
engine::TT::prefetch,8.846413,8.846413,0.0,0.0,10841900000,4.3,4.3,4.282873,frankycpp_v1.8.exe,engine::TT::prefetch,TT.h,0x1402212b3
chess::Attacks::`anonymous namespace'::sliderLookup,8.268452,8.268452,0.0,0.0,114504840000,42.5,42.5,0.379708,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
"std::_Atomic_storage<unsigned __int64,8>::store",6.698556,6.698556,0.0,0.0,2926115000,1.6,1.6,11.953941,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d593
chess::Attacks::attacks,4.911674,4.911674,0.0,0.0,67752890000,46.0,46.0,0.382327,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
"std::_Atomic_storage<unsigned __int64,8>::load",3.336779,3.336779,0.0,0.0,8098480000,8.0,8.0,2.185651,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026d603
engine::Search::search,3.003801,3.003801,0.0,0.0,32346000000,34.4,34.4,0.489167,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f280
engine::Evaluator::kingEval,2.990802,2.990802,0.0,0.0,35898070000,35.7,35.7,0.428667,frankycpp_v1.8.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x14026ad90
