Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
engine::TT::probe,23.140465,58.4,1.0,0.0,59.5,6.8,0.2,70.7,0.8,0.2,5.2,0.0,4489134670,3776713298,1650693,frankycpp_v1.8.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14026d5d0
engine::TT::put,22.427513,60.4,1.0,0.6,66.8,0.0,0.5,47.2,1.4,0.3,5.3,0.0,6790603712,4387931634,0,frankycpp_v1.8.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14026d390
engine::TT::prefetch,7.745486,64.6,0.0,0.0,71.2,0.0,0.1,73.8,1.1,0.7,3.0,0.0,3414102420,1037331119,0,frankycpp_v1.8.exe,engine::TT::prefetch,TT.h,0x1402205ee
chess::Attacks::`anonymous namespace'::sliderLookup,7.321514,4.4,5.3,0.8,1.6,1.2,1.4,9.0,5.6,0.2,0.0,0.0,27667129989,14557836722,400012,frankycpp_v1.8.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x14016c950
engine::TT::prefetch,7.201522,58.3,0.0,0.0,67.1,0.1,0.4,69.2,1.5,0.5,3.7,0.0,2774983247,982329469,0,frankycpp_v1.8.exe,engine::TT::prefetch,TT.h,0x1402212b3
"std::_Atomic_storage<unsigned __int64,8>::store",5.076663,80.9,65.9,1.5,20.3,0.0,0.4,60.0,46.2,0.0,0.3,0.0,737022110,417412522,0,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14026d593
chess::Attacks::attacks,4.036732,7.5,5.2,0.7,3.7,0.3,3.0,10.2,1.3,0.2,0.3,0.0,16595497850,9436283080,400012,frankycpp_v1.8.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x14016c9b0
"std::_Atomic_storage<unsigned __int64,8>::load",3.528766,74.2,4.7,1.0,19.5,57.0,0.1,70.0,7.5,0.4,12.9,0.0,2576777301,1995259856,0,frankycpp_v1.8.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14026d603
engine::Search::search,2.609827,22.8,11.3,0.0,6.1,0.7,6.7,24.7,16.7,0.0,0.2,0.0,8854765635,3452203563,0,frankycpp_v1.8.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14021f280
engine::Search::stopConditions,2.486835,16.6,0.0,5.5,24.8,8.9,1.0,45.5,0.0,0.1,0.1,0.0,2799283976,2232266966,0,frankycpp_v1.8.exe,engine::Search::stopConditions(void),Search.cpp,0x140225a60
