Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
engine::TT::put,19.191722,19.191722,0.0,0.0,19296785000,4.0,4.0,5.132237,frankycpp_v1.5.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14024a8c0
engine::TT::probe,18.615760,18.615760,0.0,0.0,27757660000,5.4,5.4,3.521256,frankycpp_v1.5.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14024ab00
chess::Attacks::`anonymous namespace'::sliderLookup,5.496634,5.496634,0.0,0.0,81461005000,47.9,47.9,0.364205,frankycpp_v1.5.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x1401694e0
chess::Attacks::attacks,3.800747,3.800747,0.0,0.0,57012820000,52.0,52.0,0.339882,frankycpp_v1.5.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x140169540
"std::_Atomic_storage<unsigned __int64,8>::store",2.342844,2.342844,0.0,0.0,2902155000,4.4,4.4,4.285862,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024aac3
"std::_Atomic_storage<unsigned __int64,8>::load",2.157856,2.157856,0.0,0.0,1805985000,3.0,3.0,6.165837,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14024ab33
engine::PawnTT::probe,1.914872,1.914872,0.0,0.0,6424275000,12.9,12.9,1.595338,frankycpp_v1.5.exe,engine::PawnTT::probe(unsigned __int64),PawnTT.cpp,0x140246da0
engine::Search::search,1.879875,1.879875,0.0,0.0,23097440000,42.8,42.8,0.416234,frankycpp_v1.5.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14020a770
engine::PawnTT::prefetch,1.825878,1.825878,0.0,0.0,805655000,1.6,1.6,11.631970,frankycpp_v1.5.exe,engine::PawnTT::prefetch,PawnTT.h,0x14020c6f7
engine::Search::qsearch,1.807880,1.807880,0.0,0.0,13839895000,27.1,27.1,0.677775,frankycpp_v1.5.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x14020c130
