Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
engine::TT::probe,29.220054,68.6,0.5,0.7,63.0,7.4,0.2,67.2,1.1,0.2,4.6,0.0,5534566032,4521435639,550231,frankycpp_v1.5.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14024ab00
engine::TT::put,27.971137,63.9,3.4,0.0,69.1,0.0,0.4,45.5,1.2,0.3,4.8,0.0,8299248970,5228556852,0,frankycpp_v1.5.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14024a8c0
engine::TT::prefetch,9.581362,68.2,1.3,2.5,68.4,0.1,0.6,73.4,0.8,0.5,3.3,0.0,4099422979,1350940527,0,frankycpp_v1.5.exe,engine::TT::prefetch,TT.h,0x14020c6ca
engine::TT::prefetch,8.675422,62.1,1.2,0.0,69.7,0.2,0.2,83.6,0.6,0.6,3.0,0.0,4248827461,1343740311,0,frankycpp_v1.5.exe,engine::TT::prefetch,TT.h,0x14020bac1
chess::Attacks::`anonymous namespace'::sliderLookup,6.644557,12.3,5.1,0.0,2.5,2.3,6.8,11.0,6.3,0.2,0.1,0.0,26647999416,14725941765,550231,frankycpp_v1.5.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x1401694e0
"std::_Atomic_storage<unsigned __int64,8>::store",5.834611,89.3,65.9,0.2,18.5,0.1,0.4,49.2,43.7,0.0,0.3,0.0,616518495,466814004,0,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024aac3
chess::Attacks::attacks,4.731685,19.4,4.0,0.0,4.5,0.1,17.6,9.5,1.6,0.1,0.3,0.0,19191575730,11378641349,550231,frankycpp_v1.5.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x140169540
"std::_Atomic_storage<unsigned __int64,8>::load",3.223785,78.5,1.5,0.9,21.1,57.0,0.2,71.7,9.5,0.6,14.1,0.0,2107663228,1500445012,0,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14024ab33
engine::Evaluator::pieceEval,2.806813,69.5,3.1,0.2,1.2,0.2,68.6,12.6,3.4,0.1,0.1,0.0,5141054227,2674480232,0,frankycpp_v1.5.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x140248df0
engine::PawnTT::prefetch,2.789814,51.0,0.0,0.0,40.5,14.9,0.2,62.3,1.7,0.3,4.2,0.0,292508775,5300159,0,frankycpp_v1.5.exe,engine::PawnTT::prefetch,PawnTT.h,0x14020c6f7
engine::Search::stopConditions,2.463836,20.9,0.0,2.0,24.6,9.8,0.6,34.6,1.9,0.1,0.1,0.0,2976589295,2456073680,0,frankycpp_v1.5.exe,engine::Search::stopConditions(void),Search.cpp,0x14020ed20
engine::Search::search,2.306846,23.7,13.8,0.1,6.1,0.8,9.7,26.2,18.8,0.0,0.2,0.0,7506625192,3342100260,400012,frankycpp_v1.5.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14020a770
engine::Search::qsearch,2.172855,39.7,14.1,2.9,16.9,4.1,4.8,38.8,33.1,0.0,0.6,0.0,5093752808,2458773761,0,frankycpp_v1.5.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x14020c130
"std::_Atomic_storage<unsigned __int64,8>::store",1.825878,68.8,64.4,1.6,17.9,0.0,0.7,55.9,41.7,0.1,1.0,0.0,764922947,403712111,0,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024a9a8
engine::PawnTT::probe,1.816879,30.4,9.8,0.0,28.4,0.7,7.5,64.0,1.2,0.3,0.3,0.0,1944258326,1481544445,0,frankycpp_v1.5.exe,engine::PawnTT::probe(unsigned __int64),PawnTT.cpp,0x140246da0
engine::Search::thread,1.627892,77.0,8.6,3.2,61.7,2.4,1.1,83.0,59.0,0.2,3.5,0.0,133504005,32900987,0,frankycpp_v1.5.exe,engine::Search::thread,Search.h,0x14020c6dd
chess::MoveGenerator::updateSortValues,1.614892,11.9,6.2,0.0,3.3,9.0,2.0,11.3,6.2,0.6,0.2,0.0,3914017417,1412142363,0,frankycpp_v1.5.exe,"chess::MoveGenerator::updateSortValues(class chess::Position const &,class chess::StaticMoveList<256> *)",MoveGenerator.cpp,0x1402426a0
chess::MoveGenerator::getNextPseudoLegalMove,1.607893,22.6,5.5,1.5,2.5,0.4,16.0,18.3,1.4,0.1,0.0,0.0,5597467919,2672080160,550231,frankycpp_v1.5.exe,"chess::MoveGenerator::getNextPseudoLegalMove(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140240620
engine::Evaluator::evaluate,1.564896,52.8,2.4,0.0,3.0,0.0,51.9,54.2,2.6,0.0,0.0,0.0,3592207763,1821854654,0,frankycpp_v1.5.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x1402486d0
"std::_Atomic_storage<unsigned __int64,8>::load",1.508899,49.0,2.0,0.0,41.6,13.1,3.3,61.1,13.2,0.1,5.2,0.0,654019620,383711511,0,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246dd2
engine::Search::thread,1.385908,87.5,13.9,5.4,58.1,1.5,1.5,89.4,62.0,0.3,4.0,0.0,127803834,15900477,0,frankycpp_v1.5.exe,engine::Search::thread,Search.h,0x14020bad7
chess::Position::doMove,1.382908,26.4,4.2,0.3,2.2,0.0,28.5,8.0,0.6,0.2,0.1,0.0,3897316916,1748252446,0,frankycpp_v1.5.exe,chess::Position::doMove(class chess::Move),Position.cpp,0x14023b0b0
"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>",1.371909,5.3,9.0,0.3,0.2,0.0,1.1,0.9,1.0,0.0,0.0,0.0,1915257456,1312939387,550231,frankycpp_v1.5.exe,"std::ranges::_Insertion_sort_common<chess::Move *,chess::moveValueGreaterComparator,std::identity>(class chess::Move *, class chess::Move *, struct chess::moveValueGreaterComparator, struct std::identity)",algorithm,0x14021b030
chess::MoveGenerator::fillOnDemandMoveList,1.362909,26.9,3.7,1.3,1.6,0.2,20.4,7.5,1.3,0.1,0.0,0.0,4328229843,2784983547,0,frankycpp_v1.5.exe,"chess::MoveGenerator::fillOnDemandMoveList(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140242350
chess::Position::givesCheck,1.345910,6.0,8.5,0.9,0.4,0.0,5.3,9.9,2.6,0.1,0.0,0.0,5439163170,2460273806,0,frankycpp_v1.5.exe,chess::Position::givesCheck(class chess::Move),Position.cpp,0x14023bc40
"std::_Atomic_storage<unsigned __int64,8>::store",1.269915,75.6,66.8,2.5,11.2,0.2,0.2,51.2,61.2,0.0,0.0,0.0,135304059,127803834,0,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024aa26
chess::MoveGenerator::generateMoves,1.218919,13.3,8.2,2.0,0.6,0.0,9.8,4.9,3.6,0.1,0.0,0.0,3488304646,2438473152,0,frankycpp_v1.5.exe,"chess::MoveGenerator::generateMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x140243300
engine::Evaluator::rookEval,1.108926,34.1,7.6,0.7,0.0,0.5,32.3,2.2,2.5,0.2,0.1,0.0,2899986997,1535946077,0,frankycpp_v1.5.exe,engine::Evaluator::rookEval,Evaluator.cpp,0x140248f98
engine::Evaluator::kingEval,1.070929,4.9,4.7,0.0,0.0,0.4,5.5,2.7,1.0,0.0,0.0,0.0,3470504112,1303339099,0,frankycpp_v1.5.exe,"engine::Evaluator::kingEval(class chess::Position const &,struct chess::Score &,class chess::Color)",Evaluator.cpp,0x140249640
