Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
engine::TT::put,33.616761,33.616761,0.0,0.0,26439860000,3.0,3.0,6.748188,frankycpp_v1.5.exe,"engine::TT::put(unsigned __int64,enum chess::Depth,class chess::Move,class chess::Value,enum chess::ValueType,class chess::Value)",TT.cpp,0x14024a8c0
engine::TT::probe,20.524633,20.524633,0.0,0.0,18928400000,3.5,3.5,5.732120,frankycpp_v1.5.exe,engine::TT::probe(unsigned __int64 const &),TT.cpp,0x14024ab00
engine::TT::prefetch,10.533298,10.533298,0.0,0.0,13076170000,4.2,4.2,4.316995,frankycpp_v1.5.exe,engine::TT::prefetch,TT.h,0x14020c6ca
engine::TT::prefetch,10.175322,10.175322,0.0,0.0,13270845000,4.8,4.8,4.055969,frankycpp_v1.5.exe,engine::TT::prefetch,TT.h,0x14020bac1
chess::Attacks::`anonymous namespace'::sliderLookup,6.848544,6.848544,0.0,0.0,92326865000,44.2,44.2,0.383171,frankycpp_v1.5.exe,"chess::Attacks::`anonymous namespace'::sliderLookup(const chess::PieceType, const class chess::Square, const class chess::Bitboard)",attacks.cpp,0x1401694e0
chess::Attacks::attacks,4.928672,4.928672,0.0,0.0,66429100000,45.1,45.1,0.385798,frankycpp_v1.5.exe,"chess::Attacks::attacks(enum chess::PieceType,class chess::Square,class chess::Bitboard)",attacks.cpp,0x140169540
"std::_Atomic_storage<unsigned __int64,8>::store",4.209720,4.209720,0.0,0.0,1988680000,1.9,1.9,11.397590,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024aac3
"std::_Atomic_storage<unsigned __int64,8>::load",3.153790,3.153790,0.0,0.0,6738750000,7.0,7.0,2.524000,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14024ab33
engine::Evaluator::pieceEval,2.755816,2.755816,0.0,0.0,18730730000,21.1,21.1,0.788615,frankycpp_v1.5.exe,"engine::Evaluator::pieceEval(class chess::Position const &,struct chess::Score &,class chess::Color,enum chess::PieceType)",Evaluator.cpp,0x140248df0
engine::Search::search,2.636824,2.636824,0.0,0.0,26347015000,34.0,34.0,0.495396,frankycpp_v1.5.exe,"engine::Search::search(class chess::Position &,enum chess::Depth,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType,enum engine::Search::Do_Null)",Search.cpp,0x14020a770
engine::Search::stopConditions,2.420839,2.420839,0.0,0.0,8634585000,13.9,13.9,1.497745,frankycpp_v1.5.exe,engine::Search::stopConditions(void),Search.cpp,0x14020ed20
engine::Search::qsearch,2.330845,2.330845,0.0,0.0,16631235000,25.5,25.5,0.700702,frankycpp_v1.5.exe,"engine::Search::qsearch(class chess::Position &,enum chess::Depth,class chess::Value,class chess::Value,enum engine::Search::NodeType)",Search.cpp,0x14020c130
"std::_Atomic_storage<unsigned __int64,8>::store",2.288848,2.288848,0.0,0.0,2920125000,3.7,3.7,4.266667,frankycpp_v1.5.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x14024a9a8
engine::Evaluator::evaluate,1.869875,1.869875,0.0,0.0,16427575000,27.8,27.8,0.599088,frankycpp_v1.5.exe,engine::Evaluator::evaluate(class chess::Position const &),Evaluator.cpp,0x1402486d0
engine::PawnTT::prefetch,1.648890,1.648890,0.0,0.0,368385000,1.1,1.1,24.495935,frankycpp_v1.5.exe,engine::PawnTT::prefetch,PawnTT.h,0x14020c6f7
engine::PawnTT::probe,1.579895,1.579895,0.0,0.0,7014290000,15.4,15.4,1.240393,frankycpp_v1.5.exe,engine::PawnTT::probe(unsigned __int64),PawnTT.cpp,0x140246da0
chess::MoveGenerator::getNextPseudoLegalMove,1.544897,1.544897,0.0,0.0,18185640000,37.1,37.1,0.452569,frankycpp_v1.5.exe,"chess::MoveGenerator::getNextPseudoLegalMove(class chess::Position const &,enum chess::GenMode,bool)",MoveGenerator.cpp,0x140240620
engine::Search::thread,1.503900,1.503900,0.0,0.0,338435000,1.0,1.0,24.000000,frankycpp_v1.5.exe,engine::Search::thread,Search.h,0x14020c6dd
chess::MoveGenerator::generatePawnMoves,1.481901,1.481901,0.0,0.0,8775350000,18.5,18.5,0.891809,frankycpp_v1.5.exe,"chess::MoveGenerator::generatePawnMoves(class chess::Position const &,class chess::StaticMoveList<256> *,enum chess::GenMode,bool,class chess::Bitboard)",MoveGenerator.cpp,0x1402428d0
