Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
engine::TT::put,31.598895,31.598895,0.0,0.0,62.7,62.7,1.3,0.0,70.8,0.0,45.4,0.3,1.3,18.4,0.0,0.0,0.2,0.0,100.0,AVX(128),,23897105000,6.752350,5106558732.056391
engine::TT::probe,19.234719,19.234719,0.0,0.0,58.9,58.9,0.0,1.3,52.4,9.9,61.8,0.2,0.7,22.7,0.0,0.0,0.0,0.0,0.0,,,23591615000,4.313063,5290024287.870035
engine::TT::prefetch,10.770283,10.770283,0.0,0.0,64.9,64.9,0.6,0.0,64.2,0.1,69.5,0.4,2.8,16.9,0.0,0.0,0.0,0.0,0.0,,,12740730000,4.413258,5220673574.883298
engine::TT::prefetch,9.640358,9.640358,0.0,0.0,64.6,64.6,2.4,0.0,69.3,0.1,74.9,0.0,2.6,16.7,0.0,0.0,0.0,0.0,0.0,,,13010280000,3.840239,5182648870.316772
chess::Attacks::`anonymous namespace'::sliderLookup,7.159523,7.159523,0.0,0.0,9.2,9.2,5.9,0.9,2.2,2.3,10.3,5.4,8.3,1.0,0.1,0.0,0.0,0.0,100.0,,,93995080000,0.386407,5073014541.650000
chess::Attacks::attacks,5.221652,5.221652,0.0,0.0,22.3,22.3,4.7,0.7,3.7,0.8,5.8,1.6,2.3,2.6,0.2,0.0,0.1,0.0,100.0,,,66923275000,0.380622,4878240443.203753
"std::_Atomic_storage<unsigned __int64,8>::store",3.741751,3.741751,0.0,0.0,90.6,90.6,63.8,0.0,24.6,0.0,50.4,65.3,1.5,16.9,0.0,0.0,0.0,0.0,0.0,,,2144420000,9.500000,5444507449.642972
"std::_Atomic_storage<unsigned __int64,8>::load",3.640758,3.640758,0.0,0.0,67.1,67.1,4.4,1.8,17.2,57.9,63.2,5.5,1.5,37.8,0.4,0.0,0.0,0.0,0.0,,,8996980000,2.265646,5598826606.561934
engine::Evaluator::pieceEval,2.427838,2.427838,0.0,0.0,65.4,65.4,2.6,0.2,2.0,0.0,10.1,2.6,0.3,2.0,0.0,0.0,0.6,0.0,100.0,,,17457855000,0.750386,5395800055.299835
"std::_Atomic_storage<unsigned __int64,8>::store",2.373842,2.373842,0.0,0.0,75.5,75.5,61.8,0.6,18.2,0.2,81.8,80.6,0.7,32.3,0.0,0.0,0.0,0.0,0.0,,,3339425000,3.806278,5354518366.304971
