Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
Position::removePiece,1.152922,1.152922,0.0,0.0,26.0,26.0,7.8,0.0,16.1,0.7,20.4,0.0,2.8,16.0,0.3,0.0,0.0,0.0,0.0,,,9344400000,0.631731,5120159251.527320
Search::thread,1.150922,1.150922,0.0,0.0,80.8,80.8,5.2,16.6,51.4,4.4,100.0,87.2,0.3,17.2,0.0,0.0,0.0,0.0,0.0,,,604990000,9.361386,4920875271.703735
Search::qsearch,1.107925,1.107925,0.0,0.0,45.1,45.1,12.8,6.1,17.6,2.5,19.4,1.5,0.6,15.9,1.6,0.0,0.5,0.0,100.0,,,6975355000,0.833405,5247010423.990072
Position::givesCheck,1.053929,1.053929,0.0,0.0,8.6,8.6,7.5,1.5,2.4,0.1,6.8,0.0,1.0,2.1,0.1,0.0,0.0,0.0,0.0,,,15918425000,0.313641,4737193677.179317
MoveGenerator::fillOnDemandMoveList,0.977934,0.977934,0.0,0.0,20.6,20.6,3.8,1.5,2.9,0.3,7.3,0.0,1.8,2.7,0.4,0.0,0.2,0.0,100.0,,,11698470000,0.443420,5304386790.809815
[Loop at line 604 in MoveGenerator::updateSortValues],0.897939,0.897939,0.0,0.0,7.7,7.7,7.1,2.9,3.1,6.7,12.8,5.6,15.0,5.0,0.6,0.0,0.0,0.0,0.0,,,10973680000,0.450328,5503433961.748329
Evaluator::evaluate,0.883940,0.883940,0.0,0.0,17.9,17.9,11.1,0.0,3.6,1.5,13.8,2.3,1.4,4.3,3.0,0.0,0.2,0.0,100.0,AVX(128),,15190640000,0.302642,5200945067.799774
Evaluator::rookEval,0.881940,0.881940,0.0,0.0,4.6,4.6,6.8,0.3,0.0,0.2,1.4,0.0,2.2,0.9,0.2,0.0,0.0,0.0,0.0,,,12192645000,0.369934,5114256887.693877
[Loop at line 2076 in Search::qsearch],0.784947,0.784947,0.0,0.0,28.6,28.6,3.7,6.2,9.5,3.8,13.5,14.3,1.6,8.4,0.0,0.0,0.0,0.0,0.0,,,8661540000,0.487898,5383732945.287898
Position::putPiece,0.745950,0.745950,0.0,0.0,28.7,28.7,6.2,1.7,15.2,0.4,41.5,0.0,3.6,5.1,0.0,0.0,0.0,0.0,0.0,,,7125105000,0.555696,5307851692.495978
[Loop at line 414 in Evaluator::kingEval],0.707952,0.707952,0.0,0.0,0.4,0.4,7.3,0.1,0.1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,12258535000,0.350599,6070784203.156779
[Loop at line 827 in MoveGenerator::generateMoves],0.666955,0.666955,0.0,0.0,11.8,11.8,9.3,0.6,0.9,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8655550000,0.407612,5289877421.136432
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.620958,0.620958,0.0,0.0,9.8,9.8,3.2,1.2,1.5,0.0,3.1,9.1,0.0,0.0,0.0,0.0,0.2,0.0,100.0,,,10599305000,0.356598,6086868322.289856
Position::isAttacked,0.613959,0.613959,0.0,0.0,23.5,23.5,8.8,0.0,15.2,3.0,12.4,2.2,0.4,3.9,0.3,0.0,0.0,0.0,0.0,,,7310795000,0.455141,5419657475.164495
MoveGenerator::generatePawnMoves,0.576961,0.576961,0.0,0.0,53.0,53.0,3.9,1.8,3.1,0.2,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,,,4887840000,0.678922,5751618861.400347
PawnTT::clear::__l2::<lambda_1>::operator(),0.529964,0.529964,0.0,0.0,100.0,100.0,1.7,0.0,1.2,2.0,52.0,0.0,1.4,2.0,0.0,0.0,0.0,0.0,0.0,,,596005000,4.809045,5408318008.749057
Evaluator::bishopEval,0.494967,0.494967,0.0,0.0,19.6,19.6,8.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,100.0,,,7463540000,0.356340,5373211292.945455
Evaluator::queenEval,0.474968,0.474968,0.0,0.0,3.3,3.3,2.5,0.2,0.7,0.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8568695000,0.264593,4773406518.814737
MoveGenerator::updateSortValues,0.461969,0.461969,0.0,0.0,30.0,30.0,6.3,0.2,1.7,0.0,6.0,0.0,16.0,6.0,2.0,0.0,0.0,0.0,0.0,,,4968705000,0.468354,5037385587.136364
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.450970,0.450970,0.0,0.0,78.6,78.6,9.0,0.0,10.3,1.6,52.6,0.4,0.1,0.1,1.7,0.0,0.0,0.0,0.0,,,1674205000,1.153846,4283604091.895787
"[Loop at line 8440 in std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>]",0.400973,0.400973,0.0,0.0,1.2,1.2,14.7,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4190005000,0.572552,5982935149.728180
See::see,0.380974,0.380974,0.0,0.0,39.1,39.1,2.8,0.0,0.3,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4121120000,0.493459,5337906356.007874
"[Loop at line 8440 in std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>]",0.376975,0.376975,0.0,0.0,1.6,1.6,8.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3773700000,0.623016,6236694321.445623
std::_Checked_popcount<unsigned __int64>,0.363975,0.363975,0.0,0.0,23.5,23.5,6.4,0.7,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,,,6064875000,0.333333,5554289869.986264
Evaluator::kingEval,0.356976,0.356976,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5612630000,0.347385,5461839380.647058
Search::search,0.348976,0.348976,0.0,0.0,52.8,52.8,20.6,1.8,24.2,2.8,27.8,3.7,1.9,17.9,0.6,0.0,0.0,0.0,0.0,,,2881190000,0.708940,5853088619.948424
Position::wasLegalMove,0.345977,0.345977,0.0,0.0,3.2,3.2,5.0,0.0,3.9,0.0,10.3,0.0,4.6,3.1,0.0,0.0,0.0,0.0,0.0,,,5774360000,0.298755,4986232632.416185
"std::_Atomic_storage<unsigned __int64,8>::load",0.325978,0.325978,0.0,0.0,53.8,53.8,0.0,0.0,16.1,40.2,64.7,54.6,0.9,4.6,0.0,0.0,1.1,0.0,100.0,,,1868880000,1.067308,6119032799.098160
Position::undoMove,0.322978,0.322978,0.0,0.0,35.7,35.7,0.3,3.6,28.1,0.0,41.9,0.0,1.0,8.9,0.1,0.0,0.0,0.0,0.0,,,2881190000,0.608108,5424747092.832817
Move::encode,0.304979,0.304979,0.0,0.0,5.2,5.2,3.9,2.3,1.0,2.0,2.7,13.7,6.4,0.9,0.0,0.0,0.0,0.0,0.0,,,3072870000,0.518519,5224418335.121312
[Loop at line 53 in See::see],0.301980,0.301980,0.0,0.0,1.7,1.7,3.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5945075000,0.342065,6734246098.142385
Position::getPieceBb,0.295980,0.295980,0.0,0.0,19.0,19.0,4.5,0.4,28.0,0.0,20.0,0.0,6.7,2.2,0.0,0.0,0.5,0.0,100.0,,,1955735000,0.698315,4614230479.378379
See::attacksTo,0.291980,0.291980,0.0,0.0,9.7,9.7,1.4,0.0,0.9,0.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5262215000,0.340353,6134010068.897260
[Loop at line 823 in MoveGenerator::generateMoves],0.261982,0.261982,0.0,0.0,16.0,16.0,7.2,2.5,0.3,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3650905000,0.446267,6219045874.442748
"std::array<int,64>::operator[]",0.249983,0.249983,0.0,0.0,2.0,2.0,11.4,2.7,0.5,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2863220000,0.391213,4480822552.536000
See::revealedAttacks,0.248983,0.248983,0.0,0.0,0.7,0.7,6.3,0.4,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,,,3596995000,0.340550,4919830187.024096
MoveGenerator::generateMoves,0.247983,0.247983,0.0,0.0,21.9,21.9,2.3,0.4,10.3,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3183685000,0.425212,5458997632.790322
"std::_Atomic_storage<unsigned __int64,8>::store",0.246983,0.246983,0.0,0.0,97.3,97.3,15.6,0.0,0.4,0.0,38.0,0.0,0.7,1.4,0.0,0.0,0.0,0.0,0.0,,,679865000,1.770925,4874782594.663968
Position::hasCheck,0.237984,0.237984,0.0,0.0,35.0,35.0,0.0,11.1,24.4,7.2,7.3,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,,,625955000,2.148325,5650612631.130252
Bitboard::shifted,0.233984,0.233984,0.0,0.0,5.8,5.8,12.5,0.0,4.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3716795000,0.370669,5888004405.384615
moveValueGreaterComparator::operator(),0.222985,0.222985,0.0,0.0,1.3,1.3,11.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2929110000,0.432515,5681482277.771300
Bitboard::operator^=,0.215985,0.215985,0.0,0.0,18.2,18.2,3.7,0.0,4.5,0.0,7.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2434935000,0.520295,5865604388.625000
Evaluator::knightEval,0.210986,0.210986,0.0,0.0,17.1,17.1,8.5,2.4,0.0,1.4,11.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,100.0,,,5013630000,0.216249,5138688204.938389
Position::getPieceBb,0.210986,0.210986,0.0,0.0,15.5,15.5,6.4,0.0,1.0,0.0,8.6,0.0,5.7,2.9,2.9,0.0,0.0,0.0,0.0,,,3318460000,0.311372,4897368593.104265
Search::sendSearchUpdateToUci,0.210986,0.210986,0.0,0.0,85.7,85.7,38.1,18.9,32.4,2.5,51.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,44925000,27.866667,5933623396.862559
Position::movePiece,0.208986,0.208986,0.0,0.0,30.9,30.9,0.0,0.0,21.5,0.0,35.4,0.0,0.3,10.0,0.0,0.0,0.0,0.0,0.0,,,1572375000,0.634286,4772260029.918660
std::popcount,0.208986,0.208986,0.0,0.0,4.4,4.4,2.6,0.0,0.5,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,2384020000,0.409548,4671942251.511962
Bitboard::operator bool,0.207986,0.207986,0.0,0.0,5.6,5.6,11.1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3330440000,0.395683,6336004740.576923
[Loop at line 692 in MoveGenerator::generatePawnMoves],0.201986,0.201986,0.0,0.0,19.7,19.7,0.0,3.0,4.7,0.0,10.0,0.0,1.7,8.3,0.0,0.0,0.0,0.0,0.0,,,2264220000,0.378307,4240731885.772277
[Loop at line 501 in MoveGenerator::fillOnDemandMoveList],0.199986,0.199986,0.0,0.0,4.8,4.8,9.5,0.0,5.3,0.0,30.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,100.0,,,2809310000,0.342217,4807299596.805000
func@0x1400e0a60,0.187987,0.187987,0.0,0.0,100.0,100.0,11.8,77.3,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11980000,98.750000,6293111091.462766
std::popcount,0.184988,0.184988,0.0,0.0,34.4,34.4,4.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2303155000,0.461638,5747550246.243243
"std::array<unsigned __int64,64>::operator[]",0.182988,0.182988,0.0,0.0,10.8,10.8,10.8,0.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2174370000,0.300275,3568055128.622951
MoveGenerator::generateKingMoves,0.175988,0.175988,0.0,0.0,11.1,11.1,12.8,0.0,4.3,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2237265000,0.487282,6194622816.613637
makePiece,0.172988,0.172988,0.0,0.0,1.0,1.0,5.9,1.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3168710000,0.270321,4951606016.913295
"std::array<Bitboard,64>::operator[]",0.162989,0.162989,0.0,0.0,11.2,11.2,6.0,0.5,8.8,1.4,0.0,0.0,2.7,8.2,0.0,0.0,0.0,0.0,0.0,,,2267215000,0.482166,6707047962.975460
Search::storeTt,0.158989,0.158989,0.0,0.0,13.5,13.5,16.7,0.0,22.7,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1826950000,0.580328,6668563479.962264
_security_check_cookie,0.155989,0.155989,0.0,0.0,19.2,19.2,11.1,2.6,10.1,0.5,20.0,16.7,0.0,6.7,0.0,0.0,0.0,0.0,0.0,,,1299830000,0.739631,6163204611.288461
std::_Unchecked_popcount<unsigned __int64>,0.155989,0.155989,0.0,0.0,6.3,6.3,5.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2887180000,0.354772,6566404912.961539
operator*,0.154990,0.154990,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3546080000,0.195946,4483141418.787097
Bitboard::operator|=,0.151990,0.151990,0.0,0.0,26.9,26.9,8.7,0.0,5.0,0.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1497500000,0.546000,5379540867.059211
Square::{ctor},0.144990,0.144990,0.0,0.0,0.0,0.0,14.4,0.0,0.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2093505000,0.331903,4792323585.600000
std::countr_zero,0.144990,0.144990,0.0,0.0,71.0,71.0,1.8,0.6,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,973375000,0.867692,5825151944.565516
"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>",0.138991,0.138991,0.0,0.0,6.6,6.6,6.0,1.2,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,1605320000,0.531716,6141242004.928058
operator<,0.137991,0.137991,0.0,0.0,0.0,0.0,5.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2632605000,0.341297,6511309219.565217
Move::operator==,0.135991,0.135991,0.0,0.0,0.0,0.0,5.3,0.0,3.2,0.0,12.5,0.0,2.5,3.8,0.0,0.0,0.0,0.0,0.0,,,1584355000,0.327032,3810073438.919117
Value::operator int,0.134991,0.134991,0.0,0.0,26.3,26.3,0.0,6.2,11.7,0.0,20.0,0.0,40.1,60.1,0.0,0.0,0.0,0.0,0.0,,,922460000,0.698052,4770136902.333333
Bitboard::shifted,0.128991,0.128991,0.0,0.0,15.6,15.6,31.0,7.3,1.8,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1533440000,0.375000,4457975428.465117
_chkstk,0.128991,0.128991,0.0,0.0,7.7,7.7,3.2,2.6,5.8,0.0,26.7,0.0,6.7,13.4,0.0,0.0,0.7,0.0,100.0,,,1323790000,0.588235,6036841726.046512
std::countr_zero,0.126991,0.126991,0.0,0.0,21.1,21.1,7.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1497500000,0.548000,6462089874.283465
See::getLeastValuablePiece,0.122992,0.122992,0.0,0.0,1.5,1.5,9.4,0.0,0.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,2683520000,0.208705,4553681455.829268
Search::goodCapture,0.120992,0.120992,0.0,0.0,23.9,23.9,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1617300000,0.388889,5198284881.074380
MoveGenerator::resetOnDemand,0.117992,0.117992,0.0,0.0,3.7,3.7,0.0,0.0,29.7,0.0,2.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,551080000,0.847826,3959758894.881356
"std::array<Value,25>::operator[]",0.117992,0.117992,0.0,0.0,1.3,1.3,1.6,0.8,1.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1895835000,0.325434,5228912386.830508
StaticMoveList<256>::push_back,0.114992,0.114992,0.0,0.0,18.5,18.5,2.9,2.9,5.9,3.9,0.0,16.7,20.0,0.0,3.3,0.0,0.0,0.0,0.0,,,1135105000,0.467018,4610006927.452174
Value::operator int,0.113992,0.113992,0.0,0.0,31.8,31.8,0.8,3.9,26.5,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,766720000,0.843750,5675120035.578947
Position::getPiece,0.112992,0.112992,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1338765000,0.384787,4559068897.805309
operator<,0.111992,0.111992,0.0,0.0,0.0,0.0,4.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1940760000,0.302469,5241603921.750000
"std::array<Move,64>::operator[]",0.111992,0.111992,0.0,0.0,0.0,0.0,4.7,0.0,0.8,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,1770045000,0.363790,5749718587.633928
typeOf,0.108993,0.108993,0.0,0.0,35.2,35.2,19.6,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1018300000,0.467647,4369148223.110091
Position::getLastMove,0.102993,0.102993,0.0,0.0,3.7,3.7,9.7,4.8,2.4,0.0,3.6,0.0,5.5,1.8,1.8,0.0,0.0,0.0,0.0,,,1566385000,0.284895,4332865377.757281
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.101993,0.101993,0.0,0.0,41.8,41.8,6.1,8.5,43.9,4.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,796670000,0.530075,4140426627.264706
std::_Countr_zero_tzcnt<unsigned __int64>,0.101993,0.101993,0.0,0.0,12.3,12.3,8.1,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1147085000,0.490862,5520568836.352941
Color::sign,0.098993,0.098993,0.0,0.0,14.0,14.0,0.0,0.0,5.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1338765000,0.219239,2964947672.909091
"std::_Atomic_address_as<char,struct std::_Atomic_padded<bool> >",0.098993,0.098993,0.0,0.0,53.8,53.8,20.0,16.7,16.7,0.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1048250000,0.460000,4870985462.636364
Position::checkRepetitions,0.097993,0.097993,0.0,0.0,100.0,100.0,59.6,18.9,32.8,2.0,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,59900000,8.550000,5226322277.663265
Value::{ctor},0.097993,0.097993,0.0,0.0,35.3,35.3,2.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1012310000,0.591716,6112657634.693877
operator*,0.096993,0.096993,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,1650245000,0.288566,4909661405.350515
"std::_Atomic_storage<unsigned __int64,8>::store",0.096993,0.096993,0.0,0.0,35.7,35.7,0.0,7.8,6.2,6.2,24.2,0.0,0.2,0.1,15.6,0.0,0.0,0.0,0.0,,,853575000,0.526316,4631756042.783505
operator&,0.094994,0.094994,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1524455000,0.343811,5517477812.368421
operator+=,0.094994,0.094994,0.0,0.0,37.2,37.2,7.2,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,1189015000,0.586902,7346127601.610526
Position::attacksTo,0.093994,0.093994,0.0,0.0,29.1,29.1,7.5,0.0,3.8,0.0,25.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,,,1171045000,0.470588,5862949067.489362
std::atomic<bool>::operator bool,0.091994,0.091994,0.0,0.0,45.1,45.1,10.9,3.0,11.9,2.0,8.2,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,,,1114140000,0.470430,5697395567.119565
Position::getNextPlayer,0.089994,0.089994,0.0,0.0,11.5,11.5,0.0,4.1,14.7,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,443260000,1.405405,6922245179.200000
operator+,0.089994,0.089994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1904820000,0.231132,4892163660.300000
Position::checkInsufficientMaterial,0.085994,0.085994,0.0,0.0,8.9,8.9,8.0,0.0,21.0,1.0,,0.0,,,,0.0,0.0,0.0,0.0,,,661895000,0.755656,5816264816.825582
Evaluator::pawnEval,0.082994,0.082994,0.0,0.0,29.5,29.5,27.1,2.5,0.0,5.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1329780000,0.468468,7506048989.493977
Value::operator int,0.082994,0.082994,0.0,0.0,23.4,23.4,15.3,9.7,22.3,0.0,15.1,0.0,1.8,0.0,1.8,0.0,0.0,0.0,0.0,,,946420000,0.414557,4727367392.421687
PawnTT::getHash,0.081994,0.081994,0.0,0.0,21.7,21.7,20.7,5.9,10.3,1.5,55.2,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1174040000,0.293367,4200588508.719512
operator<,0.080995,0.080995,0.0,0.0,3.9,3.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1356735000,0.253863,4252447626.111111
PawnTT::prefetch,0.079995,0.079995,0.0,0.0,46.9,46.9,0.0,10.1,21.2,9.1,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,,,35940000,13.833333,6215044650.075001
Value::operator int,0.078995,0.078995,0.0,0.0,28.9,28.9,0.0,10.4,23.0,0.0,77.9,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,,,527120000,0.505682,3374341765.177215
