Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
TT::put,10.781272,10.781272,0.0,0.0,51.0,51.0,3.5,0.9,56.9,0.0,28.4,0.9,1.3,20.0,0.1,0.0,0.5,0.0,100.0,,,18811595000,2.955580,5157014876.824708
TT::probe,8.732410,8.732410,0.0,0.0,43.1,43.1,0.0,0.0,40.2,14.2,46.8,0.4,0.5,20.8,20.2,0.0,0.0,0.0,0.0,,,7229930000,6.378210,5280788835.987289
"std::_Atomic_storage<unsigned __int64,8>::load",6.443565,6.443565,0.0,0.0,65.3,65.3,0.0,0.0,21.8,54.9,62.1,1.5,0.9,32.6,0.0,0.0,0.0,0.0,0.0,,,14163355000,2.514062,5526064469.777933
Attacks::`anonymous namespace'::sliderLookup,5.948598,5.948598,0.0,0.0,10.2,10.2,5.1,1.0,3.3,3.4,13.0,5.7,5.7,1.1,0.2,0.0,0.0,0.0,100.0,,,85267650000,0.368880,5287546467.470499
TT::prefetch,4.621688,4.621688,0.0,0.0,38.0,38.0,0.4,1.1,43.1,0.2,43.3,0.0,1.7,14.2,0.0,0.0,0.0,0.0,0.0,,,15523085000,1.612580,5416248448.783643
Search::stopConditions,3.912736,3.912736,0.0,0.0,22.7,22.7,0.0,0.9,29.8,5.9,33.3,0.6,1.0,1.9,0.0,0.0,0.0,0.0,0.0,,,16697125000,1.314798,5610741739.465883
Attacks::attacks,3.851740,3.851740,0.0,0.0,12.7,12.7,4.8,0.5,6.5,1.0,11.0,0.5,1.0,3.5,0.6,0.0,0.1,0.0,100.0,,,59022465000,0.342924,5254822623.228972
TT::prefetch,3.403770,3.403770,0.0,0.0,41.6,41.6,4.5,0.0,47.3,0.1,49.2,0.0,3.6,16.8,0.0,0.0,0.0,0.0,0.0,,,11306125000,1.583311,5259202054.775852
TT::clear::__l2::<lambda_1>::operator(),2.242849,2.242849,0.0,0.0,72.6,72.6,5.7,0.0,54.7,26.1,58.8,0.2,1.4,1.9,19.6,0.0,0.0,0.0,0.0,,,3279525000,3.173516,4640360137.082033
Position::doMove,1.779880,1.779880,0.0,0.0,48.2,48.2,3.7,0.0,3.9,0.1,10.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,13264855000,0.745767,5557951124.732022
Search::thread,1.569894,1.569894,0.0,0.0,89.5,89.5,20.0,4.5,51.7,5.6,69.1,62.7,0.3,13.3,0.0,0.0,0.0,0.0,0.0,,,613975000,14.882927,5820612762.605732
"std::_Atomic_storage<unsigned __int64,8>::load",1.532896,1.532896,0.0,0.0,41.9,41.9,0.0,0.0,50.9,0.0,30.3,0.0,2.0,52.1,0.0,0.0,0.0,0.0,0.0,,,128785000,61.116279,5134632413.142857
Evaluator::pieceEval,1.334910,1.334910,0.0,0.0,39.9,39.9,6.8,0.5,0.4,0.1,9.1,0.0,1.0,1.0,0.0,0.0,0.7,0.0,100.0,,,17628570000,0.423547,5593287780.384270
MoveGenerator::getNextPseudoLegalMove,1.230917,1.230917,0.0,0.0,25.7,25.7,2.8,0.2,4.9,0.4,26.0,1.3,1.6,2.9,0.3,0.0,0.1,0.0,100.0,,,15322420000,0.470680,5859014619.275386
[Loop at line 1542 in Search::search],1.164921,1.164921,0.0,0.0,22.2,22.2,9.9,0.3,5.5,0.3,22.0,12.2,0.9,4.1,0.1,0.0,0.0,0.0,0.0,,,15816595000,0.385344,5231962712.819742
