Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
TT::probe,8.593420,37.5,1.4,0.6,31.1,14.0,0.0,59.9,0.6,0.1,1.1,3.1,7734332023,5985979574,1100462,frankycpp_v1.4.exe,TT::probe(unsigned __int64 const &),TT.cpp,0x1402471a0
Attacks::`anonymous namespace'::sliderLookup,5.277644,6.5,5.7,1.4,2.9,2.4,1.0,9.1,6.3,0.3,0.0,0.0,22498474934,12308969258,550231,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
"std::_Atomic_storage<unsigned __int64,8>::load",5.104655,81.7,0.2,0.3,12.8,74.5,0.0,84.5,6.9,0.1,8.7,0.0,1165934977,787123613,0,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x1402471bd
"std::_Atomic_storage<unsigned __int64,8>::load",4.252713,32.1,3.4,0.4,43.4,0.2,0.8,54.3,0.0,0.7,0.5,0.0,3199895994,1828854864,0,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140247043
Attacks::attacks,3.388771,8.9,3.1,1.6,4.4,2.0,2.3,5.1,1.7,0.2,0.9,0.2,15551266524,8952768575,0,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
TT::put,3.118789,45.7,0.0,0.8,47.0,0.0,1.4,56.1,6.7,0.4,6.3,0.0,2309069270,1216836504,0,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140247020
TT::clear::__l2::<lambda_1>::operator(),2.417837,82.9,0.0,1.0,58.9,30.2,4.7,64.5,0.8,0.8,0.9,4.8,1072632178,1840755221,4401848,frankycpp_v1.4.exe,TT::clear::__l2::<lambda_1>::operator(),TT.cpp,0x140247e2c
Search::qsearch,1.621890,18.0,2.0,1.0,7.6,4.1,4.0,34.0,10.3,0.1,0.5,0.1,4712941384,2008060240,0,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x14020a630
Search::search,1.399905,8.9,1.8,0.6,6.1,0.5,2.4,15.8,3.1,0.1,0.5,0.0,5544866341,2427572825,0,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208cd0
Search::thread,1.206919,6.6,5.8,0.4,4.8,2.1,0.0,34.7,43.9,0.0,0.0,0.0,3274698238,883126493,0,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020abc3
MoveGenerator::updateSortValues,1.189920,11.5,3.9,2.7,0.0,5.8,6.3,10.3,9.1,1.1,0.5,0.0,3494304826,1370041100,0,frankycpp_v1.4.exe,"MoveGenerator::updateSortValues(class Position const &,class StaticMoveList<256> *)",MoveGenerator.cpp,0x140240160
MoveGenerator::getNextPseudoLegalMove,1.069928,7.2,6.4,0.0,3.3,0.6,9.0,8.0,0.0,0.0,0.0,0.0,4757542722,2214766441,950243,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023e320
Evaluator::kingEval,1.002932,0.0,3.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3216696498,1164334929,0,frankycpp_v1.4.exe,"Evaluator::kingEval(class Position const &,struct Score &,class Color)",Evaluator.cpp,0x1402461e0
MoveGenerator::fillOnDemandMoveList,0.983934,4.3,3.4,0.4,2.3,0.2,6.5,7.6,2.7,0.0,0.0,0.0,3348300446,2543276296,0,frankycpp_v1.4.exe,"MoveGenerator::fillOnDemandMoveList(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023fd00
MoveGenerator::generateMoves,0.964935,7.6,7.0,0.0,0.9,0.0,8.1,2.7,2.7,0.3,0.0,0.0,2957388719,1941158233,0,frankycpp_v1.4.exe,"MoveGenerator::generateMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240dc0
Evaluator::pieceEval,0.957935,13.0,9.4,0.0,1.2,0.2,13.8,5.9,0.0,0.0,0.0,0.0,3813014387,2191165733,0,frankycpp_v1.4.exe,"Evaluator::pieceEval(class Position const &,struct Score &,class Color,enum PieceType)",Evaluator.cpp,0x140245990
"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>",0.867941,2.6,9.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344240326,707321219,0,frankycpp_v1.4.exe,"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>(class Move *, class Move *, struct moveValueGreaterComparator, struct std::identity)",algorithm,0x140219000
