Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
TT::put,11.580218,11.580218,0.0,0.0,19012260000,5.9,5.9,3.302615,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140247020
TT::probe,9.242376,9.242376,0.0,0.0,7769030000,3.1,3.1,6.560524,frankycpp_v1.4.exe,TT::probe(unsigned __int64 const &),TT.cpp,0x1402471a0
"std::_Atomic_storage<unsigned __int64,8>::load",7.024526,7.024526,0.0,0.0,15256530000,6.8,6.8,2.498037,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x1402471bd
Attacks::`anonymous namespace'::sliderLookup,6.214580,6.214580,0.0,0.0,88729870000,42.7,42.7,0.383042,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
TT::prefetch,4.779677,4.779677,0.0,0.0,15400290000,10.1,10.1,1.676974,frankycpp_v1.4.exe,TT::prefetch,TT.h,0x14020abb1
Search::stopConditions,4.721681,4.721681,0.0,0.0,19024240000,14.8,14.8,1.364610,frankycpp_v1.4.exe,Search::stopConditions(void),Search.cpp,0x14020d1b0
Attacks::attacks,4.034728,4.034728,0.0,0.0,62999825000,46.9,46.9,0.347373,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
TT::prefetch,3.932734,3.932734,0.0,0.0,12584990000,10.4,10.4,1.693003,frankycpp_v1.4.exe,TT::prefetch,TT.h,0x140209fa9
TT::clear::__l2::<lambda_1>::operator(),2.305844,2.305844,0.0,0.0,3471205000,8.1,8.1,3.088007,frankycpp_v1.4.exe,TT::clear::__l2::<lambda_1>::operator(),TT.cpp,0x140247e2c
Position::doMove,1.968867,1.968867,0.0,0.0,14639560000,22.7,22.7,0.749182,frankycpp_v1.4.exe,Position::doMove(class Move),Position.cpp,0x140238dd0
Search::qsearch,1.894872,1.894872,0.0,0.0,16083150000,27.0,27.0,0.642644,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x14020a630
"std::_Atomic_storage<unsigned __int64,8>::load",1.766881,1.766881,0.0,0.0,95840000,0.7,0.7,103.406250,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140247043
Search::search,1.705885,1.705885,0.0,0.0,19982640000,35.0,35.0,0.478267,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208cd0
Evaluator::pieceEval,1.565894,1.565894,0.0,0.0,19994620000,38.9,38.9,0.413721,frankycpp_v1.4.exe,"Evaluator::pieceEval(class Position const &,struct Score &,class Color,enum PieceType)",Evaluator.cpp,0x140245990
Search::thread,1.546896,1.546896,0.0,0.0,772710000,1.5,1.5,10.976744,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020abc3
MoveGenerator::updateSortValues,1.430903,1.430903,0.0,0.0,17454860000,34.7,34.7,0.431366,frankycpp_v1.4.exe,"MoveGenerator::updateSortValues(class Position const &,class StaticMoveList<256> *)",MoveGenerator.cpp,0x140240160
MoveGenerator::getNextPseudoLegalMove,1.395906,1.395906,0.0,0.0,16673165000,36.5,36.5,0.451590,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023e320
Position::removePiece,1.292913,1.292913,0.0,0.0,10218940000,23.5,23.5,0.685229,frankycpp_v1.4.exe,Position::removePiece(class Square),Position.cpp,0x14023ab70
MoveGenerator::fillOnDemandMoveList,1.286913,1.286913,0.0,0.0,15807610000,38.3,38.3,0.439560,frankycpp_v1.4.exe,"MoveGenerator::fillOnDemandMoveList(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023fd00
MoveGenerator::generateMoves,1.270914,1.270914,0.0,0.0,15328410000,36.9,36.9,0.433959,frankycpp_v1.4.exe,"MoveGenerator::generateMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240dc0
Search::thread,1.207918,1.207918,0.0,0.0,802660000,2.4,2.4,8.246269,frankycpp_v1.4.exe,Search::thread,Search.h,0x140209fbf
Position::givesCheck,1.129924,1.129924,0.0,0.0,16451535000,43.3,43.3,0.369743,frankycpp_v1.4.exe,Position::givesCheck(class Move),Position.cpp,0x140239960
