Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
Position::isAttacked,1.989866,1.989866,0.0,0.0,12.6,12.6,12.5,0.0,11.6,1.1,11.5,1.0,1.5,6.5,0.0,0.0,0.0,0.0,0.0,,,19332725000,0.488459,4745664656.217588
Evaluator::evaluate,1.686886,1.686886,0.0,0.0,9.3,9.3,13.2,0.8,4.4,0.3,20.1,0.7,1.6,3.4,1.7,0.0,0.2,0.0,100.0,AVX(128),,20656515000,0.416993,5106225041.562537
[Loop at line 827 in MoveGenerator::generateMoves],1.650889,1.650889,0.0,0.0,5.2,5.2,11.9,1.2,0.8,0.0,4.2,0.5,3.4,0.3,0.0,0.0,0.0,0.0,0.0,,,15145715000,0.537077,4927298174.776500
Evaluator::rookEval,1.591893,1.591893,0.0,0.0,2.6,2.6,17.8,1.0,0.6,0.1,4.0,3.0,2.8,0.7,0.2,0.0,0.0,0.0,0.0,,,14408945000,0.505508,4575585332.984924
Evaluator::pawnEval,1.492899,1.492899,0.0,0.0,71.2,71.2,0.0,0.0,26.7,0.4,0.8,0.0,2.2,1.8,1.8,0.0,3.3,0.0,100.0,,,3890505000,1.881447,4903063815.809779
[Loop at line 414 in Evaluator::kingEval],1.452902,1.452902,0.0,0.0,1.0,1.0,14.5,0.0,0.1,0.1,1.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,,,17463845000,0.445893,5359618600.550586
std::_Checked_x86_x64_countr_zero<unsigned __int64>,1.350909,1.350909,0.0,0.0,7.8,7.8,13.9,2.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,,,13612275000,0.508471,5123547282.717247
Search::search,1.235917,1.235917,0.0,0.0,29.2,29.2,8.3,2.2,22.4,0.1,29.5,0.7,1.8,13.6,0.0,0.0,0.0,0.0,0.0,,,7487500000,0.820400,4970194009.944175
MoveGenerator::generatePawnMoves,1.150922,1.150922,0.0,0.0,34.4,34.4,11.0,0.1,3.3,0.0,13.8,1.8,2.8,1.2,0.3,0.0,0.2,0.0,100.0,,,9014950000,0.684718,5363259616.595135
MoveGenerator::updateSortValues,1.064928,1.064928,0.0,0.0,14.9,14.9,12.3,1.1,1.1,0.0,3.5,0.3,4.3,1.1,0.6,0.0,0.0,0.0,0.0,,,8397980000,0.685806,5408238412.622536
"[Loop at line 8440 in std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>]",1.029930,1.029930,0.0,0.0,1.6,1.6,17.8,0.5,0.6,0.0,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,7250895000,0.740190,5211070306.671844
"[Loop at line 8440 in std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>]",1.020931,1.020931,0.0,0.0,2.0,2.0,17.5,0.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7397650000,0.627935,4550008497.346719
Evaluator::queenEval,0.933937,0.933937,0.0,0.0,0.9,0.9,10.5,0.0,0.8,0.6,4.8,4.9,5.7,1.4,0.3,0.0,0.0,0.0,0.0,,,10000305000,0.451033,4829523099.513919
