Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
TT::probe,34.913642,34.913642,0.0,0.0,35913045000,5.1,5.1,4.556668,frankycpp_v1.4.exe,TT::probe(unsigned __int64 const &),TT.cpp,0x140247050
"std::_Atomic_storage<unsigned __int64,8>::load",24.901318,24.901318,0.0,0.0,25397600000,5.3,5.3,4.600825,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x140246ef3
Attacks::`anonymous namespace'::sliderLookup,17.339829,17.339829,0.0,0.0,183515630000,49.1,49.1,0.452998,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
Attacks::attacks,13.160111,13.160111,0.0,0.0,144904090000,52.3,52.3,0.416519,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
Search::stopConditions,12.635147,12.635147,0.0,0.0,44287065000,18.2,18.2,1.356800,frankycpp_v1.4.exe,Search::stopConditions(void),Search.cpp,0x14020d0f0
TT::put,11.441227,11.441227,0.0,0.0,6385340000,3.4,3.4,8.238274,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140246ed0
Search::qsearch,6.661550,6.661550,0.0,0.0,44032490000,34.1,34.1,0.691403,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x14020a5b0
Search::search,5.949598,5.949598,0.0,0.0,54688700000,44.7,44.7,0.496331,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208c50
"std::_Atomic_storage<unsigned __int64,8>::load",5.425634,5.425634,0.0,0.0,3144750000,3.3,3.3,8.500952,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x14024706d
MoveGenerator::getNextPseudoLegalMove,4.904669,4.904669,0.0,0.0,38584585000,40.0,40.0,0.588528,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023e1d0
Search::thread,4.238714,4.238714,0.0,0.0,17649535000,20.4,20.4,1.120821,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020ab43
MoveGenerator::updateSortValues,3.891737,3.891737,0.0,0.0,34460470000,39.2,39.2,0.541283,frankycpp_v1.4.exe,"MoveGenerator::updateSortValues(class Position const &,class StaticMoveList<256> *)",MoveGenerator.cpp,0x140240010
Position::putPiece,3.807743,3.807743,0.0,0.0,28509405000,36.8,36.8,0.602059,frankycpp_v1.4.exe,"Position::putPiece(enum Piece,class Square)",Position.cpp,0x14023a910
MoveGenerator::fillOnDemandMoveList,3.568759,3.568759,0.0,0.0,30477120000,42.0,42.0,0.545597,frankycpp_v1.4.exe,"MoveGenerator::fillOnDemandMoveList(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023fbb0
MoveGenerator::generateMoves,3.565759,3.565759,0.0,0.0,32630525000,42.2,42.2,0.512529,frankycpp_v1.4.exe,"MoveGenerator::generateMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240c70
Evaluator::pieceEval,3.357773,3.357773,0.0,0.0,34394580000,47.9,47.9,0.457158,frankycpp_v1.4.exe,"Evaluator::pieceEval(class Position const &,struct Score &,class Color,enum PieceType)",Evaluator.cpp,0x140245840
Position::givesCheck,3.357773,3.357773,0.0,0.0,37221860000,51.0,51.0,0.437399,frankycpp_v1.4.exe,Position::givesCheck(class Move),Position.cpp,0x140239810
Position::doMove,3.313776,3.313776,0.0,0.0,27044850000,37.5,37.5,0.568106,frankycpp_v1.4.exe,Position::doMove(class Move),Position.cpp,0x140238c80
TT::clear::__l2::<lambda_1>::operator(),3.257780,3.257780,0.0,0.0,3596995000,6.8,6.8,4.193172,frankycpp_v1.4.exe,TT::clear::__l2::<lambda_1>::operator(),TT.cpp,0x140247cdc
Position::removePiece,3.035795,3.035795,0.0,0.0,22687125000,37.0,37.0,0.624950,frankycpp_v1.4.exe,Position::removePiece(class Square),Position.cpp,0x14023aa20
"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>",2.877806,2.877806,0.0,0.0,22567325000,34.2,34.2,0.599071,frankycpp_v1.4.exe,"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>(class Move *, class Move *, struct moveValueGreaterComparator, struct std::identity)",algorithm,0x140218eb0
Evaluator::kingEval,2.843808,2.843808,0.0,0.0,35338005000,51.0,51.0,0.392745,frankycpp_v1.4.exe,"Evaluator::kingEval(class Position const &,struct Score &,class Color)",Evaluator.cpp,0x140246090
Search::thread,2.827809,2.827809,0.0,0.0,15535065000,25.4,25.4,0.856757,frankycpp_v1.4.exe,Search::thread,Search.h,0x140209f3f
Position::isAttacked,2.427836,2.427836,0.0,0.0,24172645000,50.6,50.6,0.454219,frankycpp_v1.4.exe,"Position::isAttacked(class Square,class Color)",Position.cpp,0x1402394e0
Evaluator::evaluate,2.312844,2.312844,0.0,0.0,25915735000,50.4,50.4,0.413614,frankycpp_v1.4.exe,Evaluator::evaluate(class Position const &),Evaluator.cpp,0x140245100
Evaluator::rookEval,1.994865,1.994865,0.0,0.0,21360340000,46.5,46.5,0.445317,frankycpp_v1.4.exe,Evaluator::rookEval,Evaluator.cpp,0x1402459e8
Position::undoMove,1.944869,1.944869,0.0,0.0,10239905000,32.3,32.3,0.871015,frankycpp_v1.4.exe,Position::undoMove(void),Position.cpp,0x140239160
See::see,1.852875,1.852875,0.0,0.0,21504100000,54.4,54.4,0.405153,frankycpp_v1.4.exe,"See::see(class Position const &,class Move)",See.cpp,0x140277560
