Function,CPU Time,Performance-core (P-core):Memory Bound(%),Performance-core (P-core):Memory Bound:L1 Bound(%),Performance-core (P-core):Memory Bound:L2 Bound(%),Performance-core (P-core):Memory Bound:L3 Bound(%),Performance-core (P-core):Memory Bound:DRAM Bound(%),Performance-core (P-core):Memory Bound:Store Bound(%),Efficient-core (E-core):Memory Bound(%),Efficient-core (E-core):Memory Bound:L1 Bound(%),Efficient-core (E-core):Memory Bound:L2 Bound(%),Efficient-core (E-core):Memory Bound:L3 Bound(%),Efficient-core (E-core):Memory Bound:DRAM Bound(%),Loads,Stores,LLC Miss Count,Module,Function (Full),Source File,Start Address
"std::_Atomic_storage<unsigned __int64,8>::load",2.731816,72.2,0.4,4.3,0.0,73.2,0.1,78.4,0.0,0.4,0.0,0.0,1955858674,1409742291,0,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x1402471bd
TT::clear::__l2::<lambda_1>::operator(),1.970867,87.6,0.0,0.0,54.5,27.0,6.6,57.6,0.5,1.6,1.6,9.2,896526895,1566046980,2200924,frankycpp_v1.4.exe,TT::clear::__l2::<lambda_1>::operator(),TT.cpp,0x140247e2c
TT::ageEntries::__l2::<lambda_1>::operator(),1.558895,74.2,4.8,0.5,44.0,50.2,0.0,73.2,1.1,0.9,1.1,15.6,545516365,266307989,2200924,frankycpp_v1.4.exe,TT::ageEntries::__l2::<lambda_1>::operator(),TT.cpp,0x140247f30
Attacks::`anonymous namespace'::sliderLookup,1.342909,11.2,7.7,0.4,1.5,9.3,0.0,27.4,7.1,1.8,0.0,0.2,5100453009,2784083520,1650693,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
Attacks::attacks,0.810945,6.5,3.6,0.0,0.0,9.8,0.0,15.1,2.0,0.5,0.2,5.7,3589907694,1934258026,0,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
PawnTT::clear::__l2::<lambda_1>::operator(),0.523965,100.0,0.7,0.7,0.7,2.1,79.0,67.4,0.8,0.0,0.0,0.0,58001740,169005070,0,frankycpp_v1.4.exe,PawnTT::clear::__l2::<lambda_1>::operator(),PawnTT.cpp,0x1402444a7
Search::search,0.493967,3.2,9.6,0.0,1.4,0.0,0.0,14.8,0.0,0.2,0.1,0.6,1642749281,752022560,550231,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208cd0
Search::qsearch,0.402973,14.2,12.5,0.0,0.5,13.5,0.5,24.3,15.3,0.0,0.0,0.0,1058531755,455713671,0,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x14020a630
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.347977,83.8,11.0,0.0,7.3,1.8,62.3,64.1,0.6,0.1,0.1,0.6,306009180,566116983,1100462,frankycpp_v1.4.exe,"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",xatomic.h,0x140245090
Search::thread,0.337977,16.7,13.7,0.0,0.0,17.5,0.0,39.6,51.7,0.0,0.0,0.0,680920427,194605838,0,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020abc3
MoveGenerator::getNextPseudoLegalMove,0.306979,0.0,4.7,0.0,3.1,0.0,0.0,15.4,0.0,0.0,0.0,0.0,1062131863,516315489,0,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023e320
Search::thread,0.305979,14.7,0.0,0.0,5.9,11.8,0.0,53.4,36.4,0.0,0.0,0.0,581517445,175905277,0,frankycpp_v1.4.exe,Search::thread,Search.h,0x140209fbf
MoveGenerator::updateSortValues,0.269982,4.0,10.1,0.0,3.9,0.0,0.0,23.4,0.0,7.5,0.6,0.0,802024060,302309069,0,frankycpp_v1.4.exe,"MoveGenerator::updateSortValues(class Position const &,class StaticMoveList<256> *)",MoveGenerator.cpp,0x140240160
MoveGenerator::fillOnDemandMoveList,0.261982,1.7,10.2,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,776523295,594117823,0,frankycpp_v1.4.exe,"MoveGenerator::fillOnDemandMoveList(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023fd00
Position::givesCheck,0.256983,0.0,9.6,2.6,0.0,0.0,0.0,7.4,0.0,0.1,0.4,0.1,918927567,384011520,0,frankycpp_v1.4.exe,Position::givesCheck(class Move),Position.cpp,0x140239960
Evaluator::kingEval,0.245983,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781123433,319009570,0,frankycpp_v1.4.exe,"Evaluator::kingEval(class Position const &,struct Score &,class Color)",Evaluator.cpp,0x1402461e0
MoveGenerator::generateMoves,0.240984,0.0,15.0,0.0,0.0,0.0,0.0,3.8,9.5,0.7,0.0,0.0,661219836,418612558,0,frankycpp_v1.4.exe,"MoveGenerator::generateMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240dc0
"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>",0.235984,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309709291,158504755,0,frankycpp_v1.4.exe,"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>(class Move *, class Move *, struct moveValueGreaterComparator, struct std::identity)",algorithm,0x140219000
Evaluator::rookEval,0.206986,0.0,5.8,1.2,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,705321159,366610998,0,frankycpp_v1.4.exe,Evaluator::rookEval,Evaluator.cpp,0x140245b38
Position::removePiece,0.184988,0.0,9.0,0.0,1.3,1.3,0.0,13.4,0.0,1.1,0.0,0.0,717821534,380911427,0,frankycpp_v1.4.exe,Position::removePiece(class Square),Position.cpp,0x14023ab70
"std::_Atomic_storage<unsigned __int64,8>::store",0.183988,80.0,17.1,0.0,0.0,0.0,54.9,49.3,0.0,0.0,0.0,0.0,58301749,183305499,0,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x1402444a7
Evaluator::pieceEval,0.180988,1.7,10.7,0.0,0.0,1.1,0.0,0.0,6.1,0.0,0.0,0.0,939028170,588117643,400012,frankycpp_v1.4.exe,"Evaluator::pieceEval(class Position const &,struct Score &,class Color,enum PieceType)",Evaluator.cpp,0x140245990
Evaluator::evaluate,0.165989,10.4,1.3,0.0,9.3,4.0,0.0,10.3,0.0,0.0,0.0,0.0,698520955,351710551,0,frankycpp_v1.4.exe,Evaluator::evaluate(class Position const &),Evaluator.cpp,0x140245250
"std::_Atomic_storage<unsigned __int64,8>::load",0.164989,76.3,18.4,0.0,24.9,60.3,0.0,78.1,20.5,2.2,0.0,0.0,168705061,105803174,0,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x1402455ef
Position::doMove,0.158989,0.0,11.8,1.3,0.0,1.3,0.0,0.0,0.0,1.4,0.3,0.0,599517985,301009030,0,frankycpp_v1.4.exe,Position::doMove(class Move),Position.cpp,0x140238dd0
Position::putPiece,0.157989,0.0,15.3,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.0,0.0,467814034,402512075,0,frankycpp_v1.4.exe,"Position::putPiece(enum Piece,class Square)",Position.cpp,0x14023aa60
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.143990,4.9,9.7,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,553516605,301609048,0,frankycpp_v1.4.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241ac0
TT::put,0.126991,0.0,3.0,3.0,0.0,1.5,0.0,0.0,22.3,0.0,0.0,0.0,615018450,291708751,0,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140247020
Position::isAttacked,0.123992,24.1,1.7,0.0,13.7,10.3,0.0,26.7,0.0,1.2,1.2,5.9,503915117,338510155,0,frankycpp_v1.4.exe,"Position::isAttacked(class Square,class Color)",Position.cpp,0x140239630
Evaluator::queenEval,0.117992,0.0,14.5,0.0,5.4,0.0,0.0,2.2,0.0,0.0,0.0,0.0,446313389,249207476,0,frankycpp_v1.4.exe,Evaluator::queenEval,Evaluator.cpp,0x140245a18
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.109993,47.4,3.0,0.0,23.9,23.9,0.0,22.3,0.0,0.1,0.0,10.1,318509555,130403912,3301386,frankycpp_v1.4.exe,"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",xatomic.h,0x1402451a0
See::see,0.107993,2.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509115273,259307779,0,frankycpp_v1.4.exe,"See::see(class Position const &,class Move)",See.cpp,0x1402776b0
MoveGenerator::generatePawnMoves,0.086994,4.2,4.2,4.2,0.0,2.1,2.1,53.4,0.0,0.0,0.0,0.0,297108913,295408862,0,frankycpp_v1.4.exe,"MoveGenerator::generatePawnMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240390
Evaluator::bishopEval,0.085994,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500815024,271308139,0,frankycpp_v1.4.exe,Evaluator::bishopEval,Evaluator.cpp,0x140245c88
"std::_Atomic_storage<unsigned __int64,8>::store",0.083994,22.2,0.0,0.0,5.7,5.7,17.2,39.0,0.0,0.0,0.2,5.6,251507545,496814904,1650693,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x140247e2c
Position::undoMove,0.082994,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280708421,198905967,0,frankycpp_v1.4.exe,Position::undoMove(void),Position.cpp,0x1402392b0
std::_Checked_popcount<unsigned __int64>,0.081994,7.1,5.1,0.0,0.0,10.3,0.0,0.0,0.0,0.0,,0.0,391311739,206506195,0,frankycpp_v1.4.exe,std::_Checked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x14021e6d0
TT::probe,0.074995,41.2,0.0,0.0,36.3,56.5,0.0,0.0,0.0,6.7,0.0,13.4,68702061,51601548,0,frankycpp_v1.4.exe,TT::probe(unsigned __int64 const &),TT.cpp,0x1402471a0
Bitboard::shifted,0.072995,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194705841,278008340,0,frankycpp_v1.4.exe,Bitboard::shifted,bitboard.h,0x14024048d
Bitboard::operator^=,0.067995,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305709171,152004560,0,frankycpp_v1.4.exe,Bitboard::operator^=,bitboard.h,0x14023abc5
Position::wasLegalMove,0.062996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323709711,229806894,0,frankycpp_v1.4.exe,Position::wasLegalMove(void),Position.cpp,0x140239b20
Evaluator::pawnEval,0.059996,12.5,0.0,9.1,0.0,9.1,0.0,0.0,0.0,7.4,0.0,7.4,170805124,44301329,550231,frankycpp_v1.4.exe,"Evaluator::pawnEval(class Position const &,struct Score &)",Evaluator.cpp,0x140245590
See::attacksTo,0.059996,0.0,8.4,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198705961,197905937,0,frankycpp_v1.4.exe,"See::attacksTo(class Position const &,class Square,class Color)",See.cpp,0x140277a20
moveValueGreaterComparator::operator(),0.059996,5.6,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80102403,33100993,0,frankycpp_v1.4.exe,moveValueGreaterComparator::operator(),move.h,0x140219020
Move::encode,0.058996,15.0,0.0,12.5,0.0,3.1,0.0,7.6,0.0,0.0,0.0,0.0,134604038,94802844,0,frankycpp_v1.4.exe,Move::encode,move.h,0x140240f15
"std::_For_each_ivdep<TT::Entry *,`TT::clear'::`2'::<lambda_1> >",0.056996,50.0,24.0,8.0,0.0,0.0,39.9,42.9,3.1,0.7,0.2,10.8,124003720,187005610,0,frankycpp_v1.4.exe,"std::_For_each_ivdep<TT::Entry *,`TT::clear'::`2'::<lambda_1> >(struct TT::Entry *, struct TT::Entry *, class TT::clear::__l2::<lambda_1>)",execution,0x140247e10
Evaluator::knightEval,0.053996,0.0,0.0,5.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,292508775,184005520,550231,frankycpp_v1.4.exe,Evaluator::knightEval,Evaluator.cpp,0x140245d40
