Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
"std::_Atomic_storage<unsigned __int64,8>::load",2.851807,2.851807,0.0,0.0,61.3,61.3,3.2,0.0,1.8,68.4,67.4,1.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,,6864540000,2.261780,5444294663.764376
TT::clear::__l2::<lambda_1>::operator(),1.876873,1.876873,0.0,0.0,70.6,70.6,0.3,1.0,51.7,24.0,59.2,0.3,1.5,1.9,19.4,0.0,0.0,0.0,0.0,,,3324450000,2.800901,4961152767.984017
TT::ageEntries::__l2::<lambda_1>::operator(),1.522897,1.522897,0.0,0.0,78.7,78.7,0.0,1.1,35.5,48.9,88.3,0.7,1.1,1.4,22.4,0.0,0.0,0.0,0.0,,,2210310000,3.252033,4719950992.514773
Attacks::`anonymous namespace'::sliderLookup,1.409905,1.409905,0.0,0.0,10.3,10.3,7.1,0.3,0.0,11.7,21.9,2.8,3.6,0.2,0.2,0.0,0.0,0.0,0.0,,,19497450000,0.393548,5442346186.885107
Attacks::attacks,0.804946,0.804946,0.0,0.0,6.3,6.3,5.1,0.0,0.7,7.2,6.0,0.0,0.9,0.6,9.7,0.0,0.0,0.0,0.0,,,13456535000,0.344981,5767159580.993789
PawnTT::clear::__l2::<lambda_1>::operator(),0.489967,0.489967,0.0,0.0,78.5,78.5,8.7,0.0,0.0,4.7,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,596005000,3.678392,4474465378.138775
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.357976,0.357976,0.0,0.0,69.8,69.8,14.0,0.0,5.0,0.8,56.1,0.0,0.3,0.3,4.8,0.0,0.0,0.0,0.0,,,1808980000,1.023179,5170488772.659218
[Loop at line 1542 in Search::search],0.338977,0.338977,0.0,0.0,1.4,1.4,9.1,2.9,0.0,0.9,12.3,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4582350000,0.391503,5292407487.215339
Search::thread,0.322978,0.322978,0.0,0.0,16.5,16.5,3.9,0.0,1.8,19.6,74.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2252240000,0.878989,6129500546.978329
Search::thread,0.318978,0.318978,0.0,0.0,21.4,21.4,5.5,0.0,5.2,16.6,56.9,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2132440000,0.705056,4713453045.354232
