Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
"std::_Atomic_storage<unsigned __int64,8>::load",2.801811,2.801811,0.0,0.0,6723775000,7.6,7.6,2.231626,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x1402471bd
TT::clear::__l2::<lambda_1>::operator(),2.076860,2.076860,0.0,0.0,3489175000,8.2,8.2,2.817167,frankycpp_v1.4.exe,TT::clear::__l2::<lambda_1>::operator(),TT.cpp,0x140247e2c
TT::ageEntries::__l2::<lambda_1>::operator(),1.611891,1.611891,0.0,0.0,2330110000,5.9,5.9,3.299486,frankycpp_v1.4.exe,TT::ageEntries::__l2::<lambda_1>::operator(),TT.cpp,0x140247f30
Attacks::`anonymous namespace'::sliderLookup,1.459901,1.459901,0.0,0.0,19413590000,42.2,42.2,0.409750,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
Attacks::attacks,0.921938,0.921938,0.0,0.0,13639230000,51.4,51.4,0.327404,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
Search::qsearch,0.474968,0.474968,0.0,0.0,3770705000,29.6,29.6,0.664019,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x14020a630
Search::search,0.471968,0.471968,0.0,0.0,6214625000,37.8,37.8,0.426506,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208cd0
PawnTT::clear::__l2::<lambda_1>::operator(),0.461969,0.461969,0.0,0.0,661895000,4.4,4.4,3.570136,frankycpp_v1.4.exe,PawnTT::clear::__l2::<lambda_1>::operator(),PawnTT.cpp,0x1402444a7
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.457969,0.457969,0.0,0.0,1791010000,17.4,17.4,1.215719,frankycpp_v1.4.exe,"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",xatomic.h,0x140245090
Search::thread,0.411972,0.411972,0.0,0.0,2141425000,17.9,17.9,1.009790,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020abc3
Search::thread,0.305979,0.305979,0.0,0.0,2084520000,21.9,21.9,0.757184,frankycpp_v1.4.exe,Search::thread,Search.h,0x140209fbf
