Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,Microarchitecture Usage(%),Microarchitecture Usage:Microarchitecture Usage(%),Microarchitecture Usage:CPI Rate,Module,Function (Full),Source File,Start Address
"std::_Atomic_storage<unsigned __int64,8>::load",2.793811,2.793811,0.0,0.0,6852560000,7.6,7.6,2.205420,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x1402471bd
TT::clear::__l2::<lambda_1>::operator(),2.079860,2.079860,0.0,0.0,3453235000,8.8,8.8,2.897658,frankycpp_v1.4.exe,TT::clear::__l2::<lambda_1>::operator(),TT.cpp,0x140247e2c
TT::ageEntries::__l2::<lambda_1>::operator(),1.563894,1.563894,0.0,0.0,2240260000,6.2,6.2,3.286096,frankycpp_v1.4.exe,TT::ageEntries::__l2::<lambda_1>::operator(),TT.cpp,0x140247f30
Attacks::`anonymous namespace'::sliderLookup,1.429903,1.429903,0.0,0.0,19931725000,42.8,42.8,0.390684,frankycpp_v1.4.exe,"Attacks::`anonymous namespace'::sliderLookup(const PieceType, const class Square, const class Bitboard)",attacks.cpp,0x140166d80
Attacks::attacks,0.796946,0.796946,0.0,0.0,13489480000,50.7,50.7,0.315497,frankycpp_v1.4.exe,"Attacks::attacks(enum PieceType,class Square,class Bitboard)",attacks.cpp,0x140166de0
PawnTT::clear::__l2::<lambda_1>::operator(),0.488967,0.488967,0.0,0.0,619965000,4.4,4.4,4.106280,frankycpp_v1.4.exe,PawnTT::clear::__l2::<lambda_1>::operator(),PawnTT.cpp,0x1402444a7
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.474968,0.474968,0.0,0.0,1734105000,17.3,17.3,1.248705,frankycpp_v1.4.exe,"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",xatomic.h,0x140245090
Search::search,0.447970,0.447970,0.0,0.0,5822280000,,,0.443416,frankycpp_v1.4.exe,"Search::search(class Position &,enum Depth,enum Depth,class Value,class Value,enum Search::NodeType,enum Search::Do_Null)",Search.cpp,0x140208cd0
Search::qsearch,0.373975,0.373975,0.0,0.0,3375365000,,,0.675244,frankycpp_v1.4.exe,"Search::qsearch(class Position &,enum Depth,class Value,class Value,enum Search::NodeType)",Search.cpp,0x14020a630
Search::thread,0.343977,0.343977,0.0,0.0,2132440000,20.8,20.8,0.918539,frankycpp_v1.4.exe,Search::thread,Search.h,0x14020abc3
Evaluator::kingEval,0.273981,0.273981,0.0,0.0,4411635000,47.0,47.0,0.339443,frankycpp_v1.4.exe,"Evaluator::kingEval(class Position const &,struct Score &,class Color)",Evaluator.cpp,0x1402461e0
Search::thread,0.260982,0.260982,0.0,0.0,1976700000,,,0.756061,frankycpp_v1.4.exe,Search::thread,Search.h,0x140209fbf
MoveGenerator::getNextPseudoLegalMove,0.254983,0.254983,0.0,0.0,3848575000,42.1,42.1,0.361089,frankycpp_v1.4.exe,"MoveGenerator::getNextPseudoLegalMove(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023e320
MoveGenerator::updateSortValues,0.251983,0.251983,0.0,0.0,3650905000,,,0.382281,frankycpp_v1.4.exe,"MoveGenerator::updateSortValues(class Position const &,class StaticMoveList<256> *)",MoveGenerator.cpp,0x140240160
"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>",0.239984,0.239984,0.0,0.0,2234270000,,,0.525469,frankycpp_v1.4.exe,"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>(class Move *, class Move *, struct moveValueGreaterComparator, struct std::identity)",algorithm,0x140219000
MoveGenerator::fillOnDemandMoveList,0.236984,0.236984,0.0,0.0,3306480000,,,0.405797,frankycpp_v1.4.exe,"MoveGenerator::fillOnDemandMoveList(class Position const &,enum GenMode,bool)",MoveGenerator.cpp,0x14023fd00
Position::givesCheck,0.232984,0.232984,0.0,0.0,3725780000,42.7,42.7,0.356913,frankycpp_v1.4.exe,Position::givesCheck(class Move),Position.cpp,0x140239960
MoveGenerator::generateMoves,0.202986,0.202986,0.0,0.0,3147745000,48.5,48.5,0.390105,frankycpp_v1.4.exe,"MoveGenerator::generateMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240dc0
Evaluator::rookEval,0.193987,0.193987,0.0,0.0,3183685000,,,0.335842,frankycpp_v1.4.exe,Evaluator::rookEval,Evaluator.cpp,0x140245b38
"std::_Atomic_storage<unsigned __int64,8>::load",0.193987,0.193987,0.0,0.0,751745000,12.7,12.7,1.314741,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::load",atomic,0x1402455ef
Evaluator::pieceEval,0.192987,0.192987,0.0,0.0,4219955000,60.4,60.4,0.251952,frankycpp_v1.4.exe,"Evaluator::pieceEval(class Position const &,struct Score &,class Color,enum PieceType)",Evaluator.cpp,0x140245990
Position::doMove,0.192987,0.192987,0.0,0.0,2294170000,41.4,41.4,0.362924,frankycpp_v1.4.exe,Position::doMove(class Move),Position.cpp,0x140238dd0
Position::removePiece,0.174988,0.174988,0.0,0.0,2318130000,46.7,46.7,0.426357,frankycpp_v1.4.exe,Position::removePiece(class Square),Position.cpp,0x14023ab70
"std::_Atomic_storage<unsigned __int64,8>::store",0.173988,0.173988,0.0,0.0,533110000,16.2,16.2,1.724719,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x1402444a7
Position::putPiece,0.159989,0.159989,0.0,0.0,1823955000,,,0.397373,frankycpp_v1.4.exe,"Position::putPiece(enum Piece,class Square)",Position.cpp,0x14023aa60
Evaluator::evaluate,0.146990,0.146990,0.0,0.0,3483185000,,,0.255374,frankycpp_v1.4.exe,Evaluator::evaluate(class Position const &),Evaluator.cpp,0x140245250
Position::isAttacked,0.130991,0.130991,0.0,0.0,1698165000,,,0.409171,frankycpp_v1.4.exe,"Position::isAttacked(class Square,class Color)",Position.cpp,0x140239630
TT::put,0.125991,0.125991,0.0,0.0,1662225000,,,0.470270,frankycpp_v1.4.exe,"TT::put(unsigned __int64,enum Depth,class Move,class Value,enum ValueType,class Value)",TT.cpp,0x140247020
std::_Checked_x86_x64_countr_zero<unsigned __int64>,0.122992,0.122992,0.0,0.0,2491840000,,,0.293269,frankycpp_v1.4.exe,std::_Checked_x86_x64_countr_zero<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x140241ac0
MoveGenerator::generatePawnMoves,0.104993,0.104993,0.0,0.0,1431610000,,,0.378661,frankycpp_v1.4.exe,"MoveGenerator::generatePawnMoves(class Position const &,class StaticMoveList<256> *,enum GenMode,bool,class Bitboard)",MoveGenerator.cpp,0x140240390
Evaluator::queenEval,0.099993,0.099993,0.0,0.0,2363055000,56.3,56.3,0.263625,frankycpp_v1.4.exe,Evaluator::queenEval,Evaluator.cpp,0x140245a18
See::see,0.099993,0.099993,0.0,0.0,1788015000,,,0.313233,frankycpp_v1.4.exe,"See::see(class Position const &,class Move)",See.cpp,0x1402776b0
"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",0.099993,0.099993,0.0,0.0,1257900000,43.4,43.4,0.452381,frankycpp_v1.4.exe,"std::_Atomic_address_as<__int64,std::_Atomic_padded<unsigned __int64> >",xatomic.h,0x1402451a0
Position::wasLegalMove,0.087994,0.087994,0.0,0.0,1482525000,57.5,57.5,0.353535,frankycpp_v1.4.exe,Position::wasLegalMove(void),Position.cpp,0x140239b20
Evaluator::bishopEval,0.081994,0.081994,0.0,0.0,2081525000,,,0.202878,frankycpp_v1.4.exe,Evaluator::bishopEval,Evaluator.cpp,0x140245c88
std::_Checked_popcount<unsigned __int64>,0.071995,0.071995,0.0,0.0,1599330000,64.8,64.8,0.264045,frankycpp_v1.4.exe,std::_Checked_popcount<unsigned __int64>(unsigned __int64),__msvc_bit_utils.hpp,0x14021e6d0
"std::_Atomic_storage<unsigned __int64,8>::store",0.069995,0.069995,0.0,0.0,1084190000,55.3,55.3,0.408840,frankycpp_v1.4.exe,"std::_Atomic_storage<unsigned __int64,8>::store",atomic,0x140247e2c
Position::undoMove,0.064996,0.064996,0.0,0.0,859565000,43.8,43.8,0.508711,frankycpp_v1.4.exe,Position::undoMove(void),Position.cpp,0x1402392b0
Bitboard::operator^=,0.063996,0.063996,0.0,0.0,946420000,40.7,40.7,0.367089,frankycpp_v1.4.exe,Bitboard::operator^=,bitboard.h,0x14023abc5
Bitboard::operator bool,0.061996,0.061996,0.0,0.0,862560000,45.6,45.6,0.326389,frankycpp_v1.4.exe,Bitboard::operator bool,bitboard.h,0x140240eb4
Move::encode,0.060996,0.060996,0.0,0.0,730780000,38.2,38.2,0.495902,frankycpp_v1.4.exe,Move::encode,move.h,0x140240f15
